순번,개봉연도,영화명,감독,배급사,개봉일,국적,전국스크린수,전국매출액,전국관객수,장르,등급,영화구분
681,2013,타이치0 3D,풍덕륜,(주)영화사 빅,2013-07-04,홍콩,116,76315000,11414,코미디,12세이상관람가,일반영화
682,2013,소명 하늘의 별,신현원,(주)에스피엠,2013-03-21,한국,33,75082000,11666,다큐멘터리,12세이상관람가,독립/예술영화
683,2013,슈퍼히어로,에두와르도 슐츠,(주)영화사 빅,2013-07-31,페루,74,73535000,11469,애니메이션,전체관람가,일반영화
684,2013,파라노만,"샘 펠,크리스 버틀러",유니버설픽쳐스인터내셔널 코리아(유),2013-02-07,미국,54,73311000,10654,애니메이션,12세이상관람가,일반영화
685,2013,당신에게도 사랑이 다시 찾아올까요?,가브리엘 무치노,(주)영화사 빅,2013-10-17,미국,104,70430500,10328,멜로/로맨스,15세이상관람가,일반영화
686,2013,로봇 앤 프랭크,제이크 슈레이어,(주)마인스 엔터테인먼트,2013-01-17,미국,38,69243000,10379,코미디,12세이상관람가,독립/예술영화
687,2013,콜렉션,마커스 던스탠,(주)팝엔터테인먼트,2013-05-02,미국,62,69000552,9518,액션,청소년관람불가,일반영화
688,2013,드림팀,올리비에 다한,(주)싸이더스,2013-03-21,프랑스,97,68051500,9483,드라마,12세이상관람가,일반영화
689,2013,라스트 엑소시즘: 잠들지 않는 영혼,에드 게스-도넬리,(주)팝파트너스,2013-06-27,미국,92,65939500,9442,공포(호러),15세이상관람가,일반영화
690,2013,연애의 기술,이수성,(주)팝엔터테인먼트,2013-10-30,한국,63,64882000,8913,멜로/로맨스,청소년관람불가,일반영화
691,2013,초한지: 영웅의 부활,루 추안,(주)인벤트스톤,2013-03-28,중국,75,60679500,8722,액션,15세이상관람가,일반영화
692,2013,"패션, 위험한 열정",브라이언 드 팔마,판씨네마(주),2013-08-14,독일,33,58729000,8098,스릴러,청소년관람불가,독립/예술영화
693,2013,폭스파이어,로랑 캉테,그린나래미디어(주),2013-08-22,프랑스,30,56081000,7730,드라마,15세이상관람가,독립/예술영화
694,2013,유다의 사자 : 부활절 대모험,"데릭 브룸,로저 호킨스",예지림엔터테인먼트,2013-03-28,미국,63,54146500,8180,애니메이션,전체관람가,일반영화
695,2013,환상속의 그대,강진아,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),2013-05-16,한국,32,53202700,7482,멜로/로맨스,청소년관람불가,독립/예술영화
696,2013,라자르 선생님,필리프 팔라도,프리비젼엔터테인먼트,2013-05-09,캐나다,52,52975000,7810,코미디,12세이상관람가,독립/예술영화
697,2013,페이머스 파이브 : 키린섬의 비밀,마이크 마주크,예지림엔터테인먼트,2013-10-17,독일,71,50861000,7638,가족,전체관람가,독립/예술영화
698,2013,버니,리차드 링클레이터,(주)미디어데이,2013-06-20,미국,30,50100000,7385,코미디,15세이상관람가,독립/예술영화
699,2013,투건스,발타자르 코루마쿠르,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-11-07,미국,58,49731500,7806,액션,청소년관람불가,일반영화
700,2013,코알라,김주환,"어뮤즈,(주)엣나인필름",2013-10-24,한국,65,47015000,6287,드라마,15세이상관람가,독립/예술영화
701,2013,"마진 콜: 24시간, 조작된 진실",J.C 챈더,(주)팝파트너스,2013-01-03,미국,30,45934500,6342,스릴러,15세이상관람가,독립/예술영화
702,2013,영웅 - 샐러멘더의 비밀,"알렉산드르 야킴추크,엘레나 코발레바",익스트림 필름,2013-03-14,러시아,39,44081500,5987,액션,15세이상관람가,일반영화
703,2013,저스트 어 이어,댄 마저,타임스토리그룹(주),2013-05-30,영국,48,43897500,6312,코미디,청소년관람불가,일반영화
704,2013,킬링 소프틀리,앤드류 도미닉,(주)쇼박스,2013-04-04,미국,32,43220547,6232,액션,청소년관람불가,일반영화
705,2013,헨리스 크라임,말콤 벤빌,(주)팝파트너스,2013-01-31,미국,65,41616000,5663,범죄,15세이상관람가,일반영화
706,2013,날아라! 호빵맨 극장판: 구하라! 코코링과 기적의 별,야노 히로유키,씨너스엔터테인먼트(주),2013-02-07,일본,114,41055250,8397,애니메이션,전체관람가,일반영화
707,2013,체브라시카,나카무라 마코토,브릿지웍스 엔터테인먼트(주),2013-11-14,일본,73,41034500,6261,애니메이션,전체관람가,일반영화
708,2013,말하는 건축 시티:홀,정재은,(주)미디어데이,2013-10-24,한국,31,40850800,5488,다큐멘터리,전체관람가,독립/예술영화
709,2013,야관문: 욕망의 꽃,임경수,주식회사 마운틴픽쳐스,2013-11-07,한국,90,38906500,5491,미스터리,청소년관람불가,독립/예술영화
710,2013,뒷담화: 감독이 미쳤어요,이재용,필라멘트픽쳐스,2013-02-28,한국,39,38535100,5284,드라마,12세이상관람가,독립/예술영화
711,2013,짚의 방패,미이케 다카시,(주)미디어데이,2013-08-29,일본,30,38366000,5870,액션,15세이상관람가,독립/예술영화
712,2013,킬링시즌,마크 스티븐 존슨,(주)팝파트너스,2013-09-05,미국,102,37128000,5598,액션,청소년관람불가,일반영화
713,2013,극장판 요술공주 밍키: 꿈 속의 윤무,유야마 쿠니히코,에이원엔터테인먼트,2013-11-14,일본,105,35856500,5438,애니메이션,전체관람가,일반영화
714,2013,블링 링,소피아 코폴라,찬란,2013-09-05,미국,30,34907000,4641,범죄,청소년관람불가,독립/예술영화
715,2013,후세: 말하지 못한 내 사랑,미야지 마사유키,(주)미디어데이,2013-03-28,일본,49,32394000,4601,애니메이션,15세이상관람가,독립/예술영화
716,2013,동사서독 리덕스,왕가위,"(주)디스테이션,(주)엔케이컨텐츠,(주)앤드플러스미디어웍스",2013-12-05,홍콩,37,31942500,4341,액션,15세이상관람가,일반영화
717,2013,미스터 빌리:하일랜드의 수호자,샤샤 하트만,예지림엔터테인먼트,2013-05-30,영국,61,31869500,5085,애니메이션,전체관람가,일반영화
718,2013,문빔베어: 달을 사랑한 작은 곰,"마이크 마우루스,토마스 보덴스타인",(주)시너지하우스 (시너지),2013-05-01,독일,93,31145000,4747,가족,전체관람가,일반영화
719,2013,장강7호 : 내친구 마법요정,원건도,(주)마인스 엔터테인먼트,2013-08-22,홍콩,64,30521500,5104,애니메이션,전체관람가,일반영화
720,2013,그 강아지 그 고양이,민병우,(주)씨제이이엔엠,2013-12-12,한국,33,29340500,3919,멜로/로맨스,12세이상관람가,독립/예술영화
721,2013,컨빅션,토니 골드윈,(주)시너지하우스 (시너지),2013-01-03,미국,37,29338500,4060,드라마,15세이상관람가,일반영화
722,2013,사랑해! 진영아,이성은,"㈜인디스토리,(주)인디플러그",2013-11-07,한국,79,26852000,3823,드라마,15세이상관람가,독립/예술영화
723,2013,극장판 쥬얼펫: 스위트댄스 프린세스,사쿠라이 히로아키,(주)머스트씨무비,2013-11-07,일본,41,26768000,4277,애니메이션,전체관람가,일반영화
724,2013,디아틀로프,레니 할린,(주)팝엔터테인먼트,2013-06-13,미국,41,25555500,3707,스릴러,15세이상관람가,일반영화
725,2013,미스체인지,정초신,브릿지웍스 엔터테인먼트(주),2013-09-05,한국,41,23494500,3344,코미디,청소년관람불가,일반영화
726,2013,팬텀: 라스트 커맨더,토드 로빈슨,브릿지웍스 엔터테인먼트(주),2013-07-04,미국,46,19102500,2684,액션,15세이상관람가,일반영화
727,2013,매니악 : 슬픈 살인의 기록,프랭크 칼폰,(주)퍼스트런,2013-07-04,미국,34,19046000,2578,공포(호러),청소년관람불가,일반영화
728,2013,극장판 헌터X헌터 : 팬텀루즈,사토 유조,씨너스엔터테인먼트(주),2013-06-27,일본,47,18568000,2988,애니메이션,15세이상관람가,일반영화
729,2013,도리안 그레이,올리버 파커,(주)영화사 빅,2013-05-30,영국,53,14780500,2153,드라마,청소년관람불가,일반영화
730,2013,그녀가 부른다,박은형,(주)미디어데이,2013-12-26,한국,32,12535000,2150,멜로/로맨스,15세이상관람가,독립/예술영화
731,2013,붓다:싯다르타 왕자의 모험,모리시타 코조,(주)나이너스엔터테인먼트,2013-05-17,일본,30,7788000,1196,애니메이션,15세이상관람가,일반영화
732,2014,명량,김한민,(주)씨제이이엔엠,2014-07-30,한국,1587,135748398910,17613682,사극,15세이상관람가,일반영화
733,2014,겨울왕국,"크리스 벅,제니퍼 리",소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-01-16,미국,1010,82461504400,10296101,애니메이션,전체관람가,일반영화
734,2014,인터스텔라,크리스토퍼 놀란,워너브러더스 코리아(주),2014-11-06,미국,1342,80654690300,10103568,SF,12세이상관람가,일반영화
735,2014,해적: 바다로 간 산적,이석훈,롯데쇼핑㈜롯데엔터테인먼트,2014-08-06,한국,838,66240631706,8646758,어드벤처,12세이상관람가,일반영화
736,2014,수상한 그녀,황동혁,(주)씨제이이엔엠,2014-01-22,한국,692,62696639249,8656397,드라마,15세이상관람가,일반영화
737,2014,트랜스포머: 사라진 시대,마이클 베이,(주)씨제이이엔엠,2014-06-25,미국,1602,44012272845,5295801,액션,12세이상관람가,일반영화
738,2014,국제시장,윤제균,(주)씨제이이엔엠,2014-12-17,한국,966,41004121596,5334561,드라마,12세이상관람가,일반영화
739,2014,엣지 오브 투모로우,더그 라이만,워너브러더스 코리아(주),2014-06-04,미국,801,38703942201,4697142,액션,12세이상관람가,일반영화
740,2014,군도: 민란의 시대,윤종빈,(주)쇼박스,2014-07-23,한국,1394,36987755999,4774895,사극,15세이상관람가,일반영화
741,2014,어메이징 스파이더맨 2,마크 웹,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-04-23,미국,1312,34869056800,4168350,액션,12세이상관람가,일반영화
742,2014,엑스맨: 데이즈 오브 퓨처 패스트,브라이언 싱어,이십세기폭스코리아(주),2014-05-22,미국,1056,34654558766,4313871,액션,12세이상관람가,일반영화
743,2014,타짜-신의 손,강형철,"롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스",2014-09-03,한국,890,32267244827,4001813,드라마,청소년관람불가,일반영화
744,2014,캡틴 아메리카: 윈터 솔져,"조 루소,안소니 루소",소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-03-26,미국,1106,31710585385,3963220,액션,15세이상관람가,일반영화
745,2014,혹성탈출: 반격의 서막,맷 리브스,이십세기폭스코리아(주),2014-07-10,미국,922,31509793095,4002134,액션,12세이상관람가,일반영화
746,2014,역린,이재규,롯데쇼핑㈜롯데엔터테인먼트,2014-04-30,한국,1054,29893297890,3849433,사극,15세이상관람가,일반영화
747,2014,"님아, 그 강을 건너지 마오",진모영,"CGV아트하우스,(주)대명문화공장",2014-11-27,한국,206,29845004479,3846206,다큐멘터리,전체관람가,독립/예술영화
748,2014,신의 한 수,조범구,(주)쇼박스,2014-07-03,한국,794,28777712256,3562123,범죄,청소년관람불가,일반영화
749,2014,비긴 어게인,존 카니,판씨네마(주),2014-08-13,미국,213,27091263504,3426679,멜로/로맨스,15세이상관람가,독립/예술영화
750,2014,끝까지 간다,김성훈,(주)쇼박스,2014-05-29,한국,645,27006007900,3450143,액션,15세이상관람가,일반영화
751,2014,드래곤 길들이기 2,딘 데블로이스,(주)씨제이이엔엠,2014-07-23,미국,829,23979935189,3000056,애니메이션,전체관람가,일반영화
752,2014,표적,창,(주)씨제이이엔엠,2014-04-30,한국,665,22256359300,2841788,액션,15세이상관람가,일반영화
753,2014,메이즈 러너,웨스 볼,이십세기폭스코리아(주),2014-09-18,미국,648,21489367677,2812427,액션,12세이상관람가,일반영화
754,2014,호빗: 다섯 군대 전투,피터 잭슨,워너브러더스 코리아(주),2014-12-17,미국,926,21428483344,2509887,어드벤처,12세이상관람가,일반영화
755,2014,나의 사랑 나의 신부,임찬상,씨네그루(주)다우기술,2014-10-08,한국,629,16592056305,2135614,멜로/로맨스,15세이상관람가,일반영화
756,2014,루시,뤽 베송,유니버설픽쳐스인터내셔널 코리아(유),2014-09-03,미국,641,16439450039,1971837,액션,청소년관람불가,일반영화
757,2014,인투 더 스톰,스티븐 쿼일,워너브러더스 코리아(주),2014-08-28,미국,585,16155930332,2078492,액션,12세이상관람가,일반영화
758,2014,논스톱,자움 콜렛 세라,(주)넥스트엔터테인먼트월드(NEW),2014-02-27,미국,582,16066174940,2084457,액션,15세이상관람가,일반영화
759,2014,노아,대런 아로노프스키,(주)씨제이이엔엠,2014-03-20,미국,952,15514083500,2026574,어드벤처,15세이상관람가,일반영화
760,2014,남자가 사랑할 때,한동욱,(주)넥스트엔터테인먼트월드(NEW),2014-01-22,한국,531,14510222300,1979311,멜로/로맨스,15세이상관람가,일반영화
761,2014,나를 찾아줘,데이빗 핀처,이십세기폭스코리아(주),2014-10-23,미국,658,14017716731,1764233,스릴러,청소년관람불가,일반영화
762,2014,기술자들,김홍선,롯데쇼핑㈜롯데엔터테인먼트,2014-12-24,한국,641,13652480148,1778083,범죄,15세이상관람가,일반영화
763,2014,300: 제국의 부활,노암 머로,워너브러더스 코리아(주),2014-03-06,미국,720,13395159700,1593116,액션,청소년관람불가,일반영화
764,2014,제보자,임순례,메가박스중앙(주)플러스엠,2014-10-02,한국,676,13371522302,1735640,드라마,12세이상관람가,일반영화
765,2014,엑소더스: 신들과 왕들,리들리 스콧,이십세기폭스코리아(주),2014-12-03,미국,865,12438481926,1510495,드라마,12세이상관람가,일반영화
766,2014,두근두근 내 인생,이재용,(주)씨제이이엔엠,2014-09-03,한국,629,12191623034,1611519,드라마,12세이상관람가,일반영화
767,2014,우아한 거짓말,이한,CGV아트하우스,2014-03-13,한국,555,11694011300,1613392,드라마,12세이상관람가,일반영화
768,2014,피끓는 청춘,이연우,롯데쇼핑㈜롯데엔터테인먼트,2014-01-22,한국,679,11688382888,1676040,코미디,15세이상관람가,일반영화
769,2014,해무(海霧),심성보,(주)넥스트엔터테인먼트월드(NEW),2014-08-13,한국,584,11631310219,1466830,드라마,청소년관람불가,일반영화
770,2014,인간중독,김대우,(주)넥스트엔터테인먼트월드(NEW),2014-05-14,한국,682,11284787400,1441964,멜로/로맨스,청소년관람불가,일반영화
771,2014,가디언즈 오브 갤럭시,제임스 건,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-07-31,미국,539,11098239184,1311190,액션,12세이상관람가,일반영화
772,2014,말레피센트,로버트 스트롬버그,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-05-29,미국,554,10776965900,1397526,액션,12세이상관람가,일반영화
773,2014,드라큘라: 전설의 시작,개리 쇼어,유니버설픽쳐스인터내셔널 코리아(유),2014-10-08,미국,477,10607703908,1321751,판타지,15세이상관람가,일반영화
774,2014,퓨리,데이비드 에이어,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-11-20,미국,590,10367640686,1362114,액션,15세이상관람가,일반영화
775,2014,폼페이: 최후의 날,폴 W.S. 앤더슨,롯데쇼핑㈜롯데엔터테인먼트,2014-02-20,미국,561,10303127700,1373873,액션,15세이상관람가,일반영화
776,2014,찌라시: 위험한 소문,김광식,(주)씨제이이엔엠,2014-02-20,한국,560,9111648087,1221420,범죄,15세이상관람가,일반영화
777,2014,빅매치,최호,(주)넥스트엔터테인먼트월드(NEW),2014-11-27,한국,627,8952096578,1177438,액션,15세이상관람가,일반영화
778,2014,슬로우 비디오,김영탁,이십세기폭스코리아(주),2014-10-02,한국,618,8840530219,1159787,드라마,12세이상관람가,일반영화
779,2014,방황하는 칼날,이정호,(주)씨제이이엔엠,2014-04-10,한국,594,7806377800,987420,범죄,청소년관람불가,일반영화
780,2014,로보캅,호세 파딜라,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-02-13,미국,627,7299641958,979509,액션,12세이상관람가,일반영화
781,2014,우리는 형제입니다,장진,(주)쇼박스,2014-10-23,한국,566,7263255399,970373,코미디,12세이상관람가,일반영화
782,2014,애나벨,존 R. 레오네티,워너브러더스 코리아(주),2014-10-02,미국,464,7081566943,925813,공포(호러),15세이상관람가,일반영화
783,2014,헝거게임: 모킹제이,프란시스 로렌스,롯데쇼핑㈜롯데엔터테인먼트,2014-11-20,미국,630,6400058044,854377,어드벤처,15세이상관람가,일반영화
784,2014,그랜드 부다페스트 호텔,웨스 앤더슨,"(주)피터팬픽쳐스,이십세기폭스코리아(주)",2014-03-20,미국,163,6012395982,773649,미스터리,"청소년관람불가,15세이상관람가",독립/예술영화
785,2014,고질라,가렛 에드워즈,워너브러더스 코리아(주),2014-05-15,미국,610,5972847963,709734,액션,12세이상관람가,일반영화
786,2014,관능의 법칙,권칠인,롯데쇼핑㈜롯데엔터테인먼트,2014-02-13,한국,591,5808789500,773996,드라마,청소년관람불가,일반영화
787,2014,"안녕, 헤이즐",조쉬 분,이십세기폭스코리아(주),2014-08-13,미국,323,5795507000,744387,드라마,12세이상관람가,일반영화
788,2014,카트,부지영,(주)리틀빅픽쳐스,2014-11-13,한국,544,5795494633,797532,드라마,12세이상관람가,일반영화
789,2014,리오 2,카를로스 살다나,이십세기폭스코리아(주),2014-05-01,미국,598,5631146900,761404,애니메이션,전체관람가,일반영화
790,2014,트랜센던스,월리 피스터,롯데쇼핑㈜롯데엔터테인먼트,2014-05-14,미국,417,5478201500,696412,SF,12세이상관람가,일반영화
791,2014,상의원,이원석,"(주)쇼박스,(주)와우픽쳐스",2014-12-24,한국,466,5293724564,676632,사극,15세이상관람가,일반영화
792,2014,우는 남자,이정범,(주)씨제이이엔엠,2014-06-04,한국,508,4883740800,599050,액션,청소년관람불가,일반영화
793,2014,황제를 위하여,박상준,유나이티드픽처스(주),2014-06-11,한국,423,4751881771,592041,액션,청소년관람불가,일반영화
794,2014,플랜맨,성시흡,롯데쇼핑㈜롯데엔터테인먼트,2014-01-09,한국,458,4528561558,632299,드라마,15세이상관람가,일반영화
795,2014,더 울프 오브 월스트리트,마틴 스코세이지,주식회사 우리네트웍스,2014-01-09,미국,395,4490682000,585082,범죄,청소년관람불가,일반영화
796,2014,타잔 3D,라인하드 클루스,(주)싸이더스,2014-01-09,독일,527,4452845000,597142,애니메이션,전체관람가,일반영화
797,2014,패션왕,오기환,(주)넥스트엔터테인먼트월드(NEW),2014-11-06,한국,523,4338223379,591125,코미디,15세이상관람가,일반영화
798,2014,스텝 업: 올 인,트리시 시에,(주)나이너스엔터테인먼트,2014-09-03,미국,325,4313097134,560620,드라마,12세이상관람가,일반영화
799,2014,몬스터,황인호,롯데쇼핑㈜롯데엔터테인먼트,2014-03-13,한국,527,4136202515,526282,스릴러,청소년관람불가,일반영화
800,2014,마담 뺑덕,임필성,(주)씨제이이엔엠,2014-10-02,한국,536,3685882590,465749,멜로/로맨스,청소년관람불가,일반영화
801,2014,노예 12년,스티브 맥퀸,"판씨네마(주),(주)프레인글로벌",2014-02-27,미국,326,3644201200,498004,드라마,15세이상관람가,일반영화
802,2014,눈의 여왕 2: 트롤의 마법거울,알렉세이 트시칠린,씨네그루(주)다우기술,2014-12-24,러시아,479,3623421700,498320,애니메이션,전체관람가,독립/예술영화
803,2014,소녀괴담,오인천,(주)리틀빅픽쳐스,2014-07-02,한국,455,3546340054,480528,미스터리,15세이상관람가,일반영화
804,2014,조선미녀삼총사,박제현,(주)쇼박스,2014-01-29,한국,388,3471341321,480361,코미디,12세이상관람가,일반영화
805,2014,또 하나의 약속,김태윤,영화사올(주),2014-02-06,한국,192,3470184400,489409,드라마,12세이상관람가,일반영화
806,2014,닌자터틀,조나단 리브스만,(주)씨제이이엔엠,2014-08-28,미국,479,3321120147,400329,액션,12세이상관람가,일반영화
807,2014,다이버전트,닐 버거,롯데쇼핑㈜롯데엔터테인먼트,2014-04-16,미국,511,3297709011,424041,SF,15세이상관람가,일반영화
808,2014,넛잡: 땅콩 도둑들,피터 레페니오티스,(주)싸이더스,2014-01-29,한국,382,3280608100,478392,애니메이션,전체관람가,일반영화
809,2014,좋은 친구들,이도윤,(주)씨제이이엔엠,2014-07-10,한국,371,3201527031,404456,범죄,청소년관람불가,일반영화
810,2014,주온 : 끝의 시작,오치아이 마사유키,(주)넥스트엔터테인먼트월드(NEW),2014-07-16,일본,394,3071127231,410644,공포(호러),15세이상관람가,일반영화
811,2014,신이 보낸 사람,김진무,"주식회사 마운틴픽쳐스,(주)마인스 엔터테인먼트",2014-02-13,한국,285,3059228600,423026,드라마,15세이상관람가,독립/예술영화
812,2014,나의 독재자,이해준,롯데쇼핑㈜롯데엔터테인먼트,2014-10-30,한국,654,2906692546,385934,드라마,15세이상관람가,일반영화
813,2014,천재 강아지 미스터 피바디,롭 민코프,(주)씨제이이엔엠,2014-04-24,미국,533,2859791400,385552,애니메이션,전체관람가,일반영화
814,2014,그녀,스파이크 존즈,"주식회사 더쿱,유니버설픽쳐스인터내셔널 코리아(유)",2014-05-22,미국,168,2858143500,350618,드라마,"청소년관람불가,15세이상관람가",독립/예술영화
815,2014,명탐정 코난 : 이차원의 저격수,시즈노 코분,(주)씨제이이엔엠,2014-08-06,일본,299,2757396000,397381,애니메이션,12세이상관람가,일반영화
816,2014,하이힐,장진,롯데쇼핑㈜롯데엔터테인먼트,2014-06-03,한국,385,2735972500,339844,범죄,청소년관람불가,일반영화
817,2014,숲속으로,롭 마샬,월트디즈니컴퍼니코리아(주),2014-12-24,미국,356,2409562888,317406,뮤지컬,전체관람가,일반영화
818,2014,레드카펫,박범수,(주)프레인글로벌,2014-10-23,한국,385,2404458580,316780,멜로/로맨스,15세이상관람가,일반영화
819,2014,잭 라이언 : 코드네임 쉐도우,케네스 브래너,(주)씨제이이엔엠,2014-01-16,미국,419,2395409500,327591,액션,12세이상관람가,일반영화
820,2014,선 오브 갓,크리스토퍼 스펜서,(주)프레인글로벌,2014-04-10,미국,419,2392109800,329029,드라마,12세이상관람가,일반영화
821,2014,미녀와 야수,크리스토프 갱스,(주)넥스트엔터테인먼트월드(NEW),2014-06-18,프랑스,387,2385847300,315348,판타지,전체관람가,일반영화
822,2014,비행기 2: 소방구조대,로버츠 개너웨이,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-08-13,미국,341,2246970700,311456,애니메이션,전체관람가,일반영화
823,2014,"러브, 로지",크리스티안 디터,(주)넥스트엔터테인먼트월드(NEW),2014-12-10,영국,379,2190098646,287920,코미디,15세이상관람가,일반영화
824,2014,프랑켄슈타인: 불멸의 영웅,스튜어트 베티,(주)쇼박스,2014-02-06,미국,378,2174134123,298983,액션,12세이상관람가,일반영화
825,2014,사랑에 대한 모든 것,제임스 마쉬,유니버설픽쳐스인터내셔널 코리아(유),2014-12-10,미국,399,2124639846,273336,멜로/로맨스,12세이상관람가,일반영화
826,2014,오큘러스,마이크 플래너건,씨네그루(주)다우기술,2014-05-29,미국,336,2122466537,279488,미스터리,15세이상관람가,일반영화
827,2014,"극장판 포켓몬스터 베스트위시: 신의 속도 게노세크트, 뮤츠의 각성",유야마 쿠니히코,(주)씨제이이엔엠,2014-01-09,일본,406,2080468500,320409,애니메이션,전체관람가,일반영화
828,2014,마야,알렉스 스타더만,(주)박수엔터테인먼트,2014-09-04,독일,295,1927575700,262289,애니메이션,전체관람가,독립/예술영화
829,2014,노벰버 맨,로저 도널드슨,롯데쇼핑㈜롯데엔터테인먼트,2014-10-16,미국,395,1891131320,252444,액션,15세이상관람가,일반영화
830,2014,툼스톤,스콧 프랭크,(주)인벤트스톤,2014-09-18,미국,378,1875449247,242707,액션,청소년관람불가,일반영화
831,2014,창문 넘어 도망친 100세 노인,플렉스 할그렌,(주)영화사 빅,2014-06-18,스웨덴,300,1824795453,240990,어드벤처,15세이상관람가,독립/예술영화
832,2014,한공주,이수진,CGV아트하우스,2014-04-17,한국,226,1780640800,224452,드라마,청소년관람불가,독립/예술영화
833,2014,그레이스 오브 모나코,올리비에 다한,(주)쇼박스,2014-06-18,프랑스,358,1752838200,237147,드라마,12세이상관람가,독립/예술영화
834,2014,쓰리데이즈 투 킬,맥지,롯데쇼핑㈜롯데엔터테인먼트,2014-04-03,미국,388,1741058200,228539,액션,15세이상관람가,일반영화
835,2014,헤라클레스 : 레전드 비긴즈,레니 할린,(주)넥스트엔터테인먼트월드(NEW),2014-04-10,미국,390,1662172151,221327,액션,15세이상관람가,일반영화
836,2014,레고 무비,"필 로드,크리스 밀러",워너브러더스 코리아(주),2014-02-06,미국,317,1601300200,236129,애니메이션,전체관람가,일반영화
837,2014,극장판 루팡 3세 VS 명탐정 코난,카메가키 하지메,(주)씨제이이엔엠,2014-05-29,일본,327,1585872205,225842,애니메이션,12세이상관람가,일반영화
838,2014,덕수리 5형제,전형준,롯데쇼핑㈜롯데엔터테인먼트,2014-12-04,한국,346,1560183200,206953,코미디,15세이상관람가,일반영화
839,2014,"극장판 파워레인저 다이노포스VS고버스터즈 공룡 대결전! ~안녕, 영원한 친구여!~",사카모토 코이치,(주)이수C&E,2014-10-02,일본,363,1546944100,212368,액션,전체관람가,일반영화
840,2014,컬러풀 웨딩즈,필립 드 쇼브홍,(주)이수C&E,2014-10-16,프랑스,343,1455808980,190384,코미디,12세이상관람가,일반영화
841,2014,덤 앤 더머 투,"바비 패럴리,피터 패럴리",씨네그루(주)다우기술,2014-11-27,미국,343,1436861585,192726,코미디,15세이상관람가,일반영화
842,2014,보이후드,리차드 링클레이터,유니버설픽쳐스인터내셔널 코리아(유),2014-10-23,미국,219,1429069018,185804,드라마,15세이상관람가,독립/예술영화
843,2014,일곱난쟁이,헤랄드 지페르만,메가박스중앙(주)플러스엠,2014-12-24,독일,263,1317916900,184661,애니메이션,전체관람가,일반영화
844,2014,론 서바이버,피터 버그,유니버설픽쳐스인터내셔널 코리아(유),2014-04-02,미국,305,1310414120,173678,액션,15세이상관람가,일반영화
845,2014,라스트베가스,존 터틀타웁,(주)나이너스엔터테인먼트,2014-05-08,미국,349,1302220176,169138,코미디,15세이상관람가,일반영화
846,2014,명탐정 코난 : 탐정들의 진혼가,야마모토 야스이치로,(주)씨제이이엔엠,2014-02-13,일본,294,1199693100,182668,애니메이션,12세이상관람가,일반영화
847,2014,아메리칸 허슬,데이빗 O. 러셀,(주)누리픽쳐스,2014-02-20,미국,245,1195060400,155374,범죄,청소년관람불가,독립/예술영화
848,2014,아빠를 빌려드립니다,김덕수,"메가박스중앙(주)플러스엠,(주)레드로버",2014-11-20,한국,326,1188673500,172445,코미디,12세이상관람가,일반영화
849,2014,극장판 도라에몽: 진구의 아프리카 모험 ~베코와 5인의 탐험대~,야쿠와 신노스케,(주)이수C&E,2014-09-04,일본,277,1183524300,166092,애니메이션,전체관람가,일반영화
850,2014,익스펜더블 3,패트릭 휴즈,롯데쇼핑㈜롯데엔터테인먼트,2014-08-20,미국,320,1158358800,152025,액션,15세이상관람가,일반영화
851,2014,폴리스 스토리 2014,딩성,유니버설픽쳐스인터내셔널 코리아(유),2014-01-29,중국,251,1138068500,153591,액션,15세이상관람가,일반영화
852,2014,마담 프루스트의 비밀정원,실뱅 쇼메,찬란,2014-07-24,프랑스,43,1108112442,141480,드라마,전체관람가,독립/예술영화
853,2014,가시,김태균,(주)인벤트스톤,2014-04-10,한국,356,1094017000,141956,멜로/로맨스,청소년관람불가,일반영화
854,2014,맨홀,신재영,롯데쇼핑㈜롯데엔터테인먼트,2014-10-08,한국,286,1053876130,129732,공포(호러),청소년관람불가,일반영화
855,2014,마다가스카의 펭귄,"에릭 다넬,사이몬 J.스미스",(주)씨제이이엔엠,2014-12-31,미국,615,1048496800,148890,애니메이션,전체관람가,일반영화
856,2014,꾸뻬씨의 행복여행,피터 첼섬,그린나래미디어(주),2014-11-27,영국,227,899446783,122414,어드벤처,15세이상관람가,독립/예술영화
857,2014,니드 포 스피드,스캇 워프,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-04-16,미국,349,835859900,105340,액션,15세이상관람가,일반영화
858,2014,도희야,정주리,CGV아트하우스,2014-05-22,한국,310,830948100,106511,드라마,청소년관람불가,독립/예술영화
