순번,개봉연도,영화명,감독,배급사,개봉일,국적,전국스크린수,전국매출액,전국관객수,장르,등급,영화구분
114,2011,프렌즈: 몬스터섬의비밀,야마자키 타카시,"(주)스마일이엔티,(주)에스비에스콘텐츠허브",2011-12-29,일본,297,1086283500,147817,애니메이션,전체관람가,일반영화
115,2011,헬프,테이트 테일러,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-11-03,미국,163,1045217500,143738,드라마,전체관람가,일반영화
116,2011,파이터,데이빗 O. 러셀,(주)시너지하우스 (시너지),2011-03-10,미국,263,1033270000,136946,드라마,15세이상관람가,일반영화
117,2011,50/50,조나단 레빈,롯데쇼핑㈜롯데엔터테인먼트,2011-11-24,미국,159,1019768500,135985,코미디,15세이상관람가,독립/예술영화
118,2011,비스틀리,다니엘 반즈,(주)넥스트엔터테인먼트월드(NEW),2011-03-17,미국,214,1008669500,134025,드라마,12세이상관람가,일반영화
119,2011,제인 에어,캐리 후쿠나가,(주)시너지하우스 (시너지),2011-04-20,영국,208,981132000,135797,드라마,12세이상관람가,독립/예술영화
120,2011,옥보단 3D,손립기,(주)화앤담이엔티,2011-05-12,홍콩,269,969826000,84798,드라마,청소년관람불가,일반영화
121,2011,파라노말 액티비티 3,"헨리 유스트,아리엘 슐만",(주)씨제이이엔엠,2011-10-20,미국,180,948704000,131437,공포(호러),12세이상관람가,일반영화
122,2011,극장판 도라에몽: 진구와 철인군단 날아라 천사들,테라모토 유키요,에이원엔터테인먼트,2011-07-28,일본,154,937570000,138277,애니메이션,전체관람가,일반영화
123,2011,삼국지: 명장 관우,"맥조휘,장문강",(주)넥스트엔터테인먼트월드(NEW),2011-05-19,홍콩,207,920899000,125168,전쟁,15세이상관람가,독립/예술영화
124,2011,라스트 나잇,마시 태지딘,(주)싸이더스,2011-04-07,미국,243,910843000,119963,멜로/로맨스,청소년관람불가,일반영화
125,2011,정무문 : 100대 1의 전설,유위강,(주)싸이더스,2011-06-22,홍콩,225,872350500,117141,액션,15세이상관람가,일반영화
126,2011,로맨틱 크라운,톰 행크스,(주)싸이더스,2011-08-17,미국,239,860040500,114887,멜로/로맨스,12세이상관람가,일반영화
127,2011,샤크 나이트 3D,데이비드 R. 엘리스,(주)화앤담이엔티,2011-09-15,미국,239,855047000,92505,스릴러,15세이상관람가,일반영화
128,2011,프리스트,스콧 찰스 스튜어트,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-06-09,미국,228,839493000,93336,액션,15세이상관람가,일반영화
129,2011,썬더일레븐 극장판 : 최강군단 오우거의 습격,미야오 요시카즈,(주)미디어데이,2011-05-05,일본,166,811159500,123363,애니메이션,전체관람가,일반영화
130,2011,러브 앤 프렌즈,루크 그린필드,롯데쇼핑㈜롯데엔터테인먼트,2011-06-16,미국,207,795721500,110795,드라마,15세이상관람가,일반영화
131,2011,웨이 백,피터 위어,(주)쇼박스,2011-03-17,미국,175,776193500,105925,드라마,12세이상관람가,일반영화
132,2011,히트,이성한,(주)넥스트엔터테인먼트월드(NEW),2011-10-13,한국,171,771023500,109019,드라마,15세이상관람가,일반영화
133,2011,타운,벤 애플렉,워너브러더스 코리아(주),2011-01-27,미국,158,763767000,98866,드라마,청소년관람불가,일반영화
134,2011,기생령,고석진,롯데쇼핑㈜롯데엔터테인먼트,2011-08-05,한국,207,746326000,96077,공포(호러),청소년관람불가,일반영화
135,2011,오늘,이정향,롯데쇼핑㈜롯데엔터테인먼트,2011-10-27,한국,207,712814000,131896,드라마,15세이상관람가,일반영화
136,2011,써니 감독판,강형철,(주)씨제이이엔엠,2011-07-28,한국,54,698549500,90562,드라마,청소년관람불가,일반영화
137,2011,완벽한 파트너,박헌수,타임스토리그룹(주),2011-11-17,한국,166,676141000,89526,코미디,청소년관람불가,독립/예술영화
138,2011,타워 하이스트,브렛 래트너,유니버설픽쳐스인터내셔널 코리아(유),2011-11-17,미국,213,631715500,90840,액션,12세이상관람가,일반영화
139,2011,프렌즈 위드 베네핏,윌 글럭,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-10-27,미국,210,591765000,80197,코미디,청소년관람불가,일반영화
140,2011,극장판 유희왕 : 시공을 초월한 우정,타케시타 켄이치,대원미디어(주),2011-02-24,일본,103,590209500,60371,애니메이션,전체관람가,일반영화
141,2011,로맨틱 헤븐,장진,(주)시네마서비스,2011-03-24,한국,260,542739500,73729,드라마,12세이상관람가,일반영화
142,2011,베니싱,브래드 앤더슨,(주)넥스트엔터테인먼트월드(NEW),2011-03-31,미국,181,542044000,73582,미스터리,12세이상관람가,일반영화
143,2011,아따맘마 - 극장판,야스미 테츠오,에이원엔터테인먼트,2011-02-17,일본,90,533355500,81352,애니메이션,전체관람가,일반영화
144,2011,꿀벌 하치의 대모험,아미노 테츠로,"(주)박수엔터테인먼트,에이원엔터테인먼트",2011-01-13,일본,141,525369500,79625,애니메이션,전체관람가,일반영화
145,2011,돈비 어프레이드 : 어둠 속의 속삭임,트로이 닉시,(주)화앤담이엔티,2011-08-25,미국,232,521600500,70506,공포(호러),15세이상관람가,일반영화
146,2011,레지던트,안티 조키넨,(주)쇼박스,2011-06-02,영국,200,518700000,66216,스릴러,청소년관람불가,일반영화
147,2011,미트 페어런츠 3,폴 웨이츠,(주)씨제이이엔엠,2011-03-31,미국,196,517805000,70053,코미디,15세이상관람가,일반영화
148,2011,청원,산제이 렐라 반살리,"이언픽쳐스,씨너스엔터테인먼트(주)",2011-11-02,인도,181,510732000,71369,드라마,12세이상관람가,독립/예술영화
149,2011,"사랑한다, 사랑하지 않는다",이윤기,(주)넥스트엔터테인먼트월드(NEW),2011-03-03,한국,80,498314500,65282,멜로/로맨스,15세이상관람가,일반영화
150,2011,블리츠,엘리어트 레스터,팝엔터테인먼트,2011-12-07,영국,123,497335500,65436,스릴러,청소년관람불가,일반영화
151,2011,천녀유혼,엽위신,씨너스엔터테인먼트(주),2011-05-12,중국,240,497089500,66219,SF,12세이상관람가,일반영화
152,2011,회초리,박광우,롯데쇼핑㈜롯데엔터테인먼트,2011-05-19,한국,142,479093000,74765,드라마,12세이상관람가,일반영화
153,2011,극장판 메탈 베이블레이드 VS 태양 작열의 침략자 솔블레이즈,스기시마 쿠니히사,(주)미디어데이,2011-01-05,일본,120,474010500,70051,애니메이션,전체관람가,일반영화
154,2011,행오버 2,토드 필립스,워너브러더스 코리아(주),2011-08-25,미국,157,473137500,60048,코미디,청소년관람불가,일반영화
155,2011,Mr.아이돌,라희찬,"롯데쇼핑㈜롯데엔터테인먼트,(주)시너지하우스 (시너지)",2011-11-03,한국,311,467982500,67001,드라마,12세이상관람가,일반영화
156,2011,내 여자친구의 결혼식,폴 페이그,유니버설픽쳐스인터내셔널 코리아(유),2011-08-25,미국,166,463049500,60788,코미디,청소년관람불가,일반영화
157,2011,헤드,조운,(주)에스비에스콘텐츠허브,2011-05-26,한국,196,462025000,61414,액션,청소년관람불가,일반영화
158,2011,황당한 외계인: 폴,그렉 모톨라,유니버설픽쳐스인터내셔널 코리아(유),2011-04-07,미국,148,461937500,61808,코미디,15세이상관람가,일반영화
159,2011,언피니시드,존 매든,유니버설픽쳐스인터내셔널 코리아(유),2011-10-06,미국,159,455595500,62383,드라마,15세이상관람가,일반영화
160,2011,결정적 한방,박중구,(주)화앤담이엔티,2011-12-07,한국,160,439400000,60944,코미디,15세이상관람가,일반영화
161,2011,아프리카 마법여행,조르디 롬파르트,롯데쇼핑㈜롯데엔터테인먼트,2011-01-20,스페인,150,425106500,46025,어드벤처,전체관람가,일반영화
162,2011,더 라이트: 악마는 있다,미카엘 하프스트롬,워너브러더스 코리아(주),2011-04-20,미국,104,422603000,55561,미스터리,15세이상관람가,일반영화
163,2011,워터 포 엘리펀트,프란시스 로렌스,이십세기폭스코리아(주),2011-05-04,미국,182,418236500,55561,드라마,15세이상관람가,일반영화
164,2011,고 녀석 맛나겠다,후지모리 마사야,(주)화앤담이엔티,2011-07-07,일본,124,407827500,59374,애니메이션,전체관람가,일반영화
165,2011,스트레스를 부르는 그 이름 직장상사,세스 고든,워너브러더스 코리아(주),2011-11-17,미국,117,404070500,51646,코미디,청소년관람불가,일반영화
166,2011,극장판 아따맘마3D : 엄마는 초능력자,타카하시 와타루,씨너스엔터테인먼트(주),2011-09-08,일본,123,401669000,60154,애니메이션,전체관람가,일반영화
167,2011,포인트 블랭크,프레드 카바예,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),2011-07-13,프랑스,153,397470300,52094,스릴러,청소년관람불가,독립/예술영화
168,2011,가필드 펫 포스 3D,마크 A.Z. 디페,(주)화앤담이엔티,2011-01-27,미국,69,385817000,36420,애니메이션,전체관람가,일반영화
169,2011,별을 쫓는 아이,신카이 마코토,"(주)박수엔터테인먼트,에이원엔터테인먼트",2011-08-25,일본,139,373190500,52148,애니메이션,전체관람가,일반영화
170,2011,스크림 4G,웨스 크레이븐,(주)시너지하우스 (시너지),2011-06-09,미국,163,367661000,46723,미스터리,청소년관람불가,일반영화
171,2011,트리 오브 라이프,테렌스 맬릭,(주)에스비에스콘텐츠허브,2011-10-27,미국,125,367556500,51013,드라마,15세이상관람가,독립/예술영화
172,2011,달빛 길어올리기,임권택,"(주)쇼박스,(주)씨제이이엔엠,롯데쇼핑㈜롯데엔터테인먼트",2011-03-17,한국,128,362535000,57186,드라마,15세이상관람가,일반영화
173,2011,소중한 날의 꿈,"안재훈,한혜진",에이원엔터테인먼트,2011-06-23,한국,128,357026100,51001,애니메이션,전체관람가,독립/예술영화
174,2011,퍼펙트 센스,데이빗 맥킨지,"(주)아이엠비씨,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주)",2011-11-24,영국,124,343990100,45865,멜로/로맨스,15세이상관람가,독립/예술영화
175,2011,고백,나카시마 테츠야,(주)미로비젼,2011-03-31,일본,36,337747500,43127,드라마,청소년관람불가,독립/예술영화
176,2011,히어애프터,클린트 이스트우드,워너브러더스 코리아(주),2011-03-24,미국,112,336316000,45755,드라마,12세이상관람가,일반영화
177,2011,더 킥,"프라챠 핀카엡,이종석",(주)쇼박스,2011-11-03,한국,153,331287500,48396,액션,12세이상관람가,일반영화
178,2011,혈투,박훈정,(주)싸이더스,2011-02-24,한국,169,329280000,43947,액션,15세이상관람가,일반영화
179,2011,샤오린 : 최후의 결전,진목승,(주)에스비에스콘텐츠허브,2011-08-25,홍콩,182,329194000,45275,드라마,15세이상관람가,일반영화
180,2011,세인트 클라우드,버 스티어스,유니버설픽쳐스인터내셔널 코리아(유),2011-01-13,미국,179,304965000,40766,멜로/로맨스,12세이상관람가,일반영화
181,2011,노다메 칸타빌레 최종악장,"카와무라 야스히로,타케우치 히데키","(주)미로비젼,아뮤즈코리아(주)",2011-01-13,일본,31,289590500,39585,드라마,12세이상관람가,독립/예술영화
182,2011,마오의 라스트 댄서,브루스 베레스포드,(주)에스비에스콘텐츠허브,2011-04-28,호주,171,284739000,40519,드라마,전체관람가,독립/예술영화
183,2011,쟈니 잉글리쉬2 : 네버다이,올리버 파커,유니버설픽쳐스인터내셔널 코리아(유),2011-11-02,미국,139,269751500,37823,코미디,전체관람가,일반영화
184,2011,음모자,로버트 레드포드,판씨네마(주),2011-06-30,미국,35,263503000,34625,드라마,12세이상관람가,독립/예술영화
185,2011,드라이브 앵그리 3D,패트릭 루지어,롯데쇼핑㈜롯데엔터테인먼트,2011-08-25,미국,160,252405500,30221,액션,청소년관람불가,일반영화
186,2011,더 브레이브,"에단 코엔,조엘 코엔",CJ ENM,2011-02-24,미국,51,240423500,31152,드라마,15세이상관람가,일반영화
187,2011,지구대표 롤링스타즈,임상준,롯데쇼핑㈜롯데엔터테인먼트,2011-03-24,한국,171,230047000,35578,애니메이션,전체관람가,일반영화
188,2011,소명 3 : 히말라야의 슈바이처,신현원,(주)에스피엠,2011-04-07,한국,32,212483500,31265,다큐멘터리,전체관람가,독립/예술영화
