댓글
"전문가들이 저따위로 평가를 해놓다니... 전문가로서 부끄럽지도 않나?  고작 한줄로, 전문적이지도 않고 초등학생들이 쓸만한 글로 전문가 행세를 하다니 참.. 부끄러운줄이나 아세요.. 맥아더를 내세우는 영화라기 보단 ..."
그래도 이러한 역사가있었다는 것을 돌아보게 해주어서 뭉클햇음
인천 상륙 작전하면 맥아더장군이 먼저 또올랐다9.28 수복으로 시청에 내걸리던 태극기와 시민들 모습.하지만 이름없이 죽어간 이들이 없었다면 가능했을까?전쟁 영화 별로 안 좋아하는 내게 감동을 선사한 영화다
일찍부터 보고 나오는길~ 진짜 꼭 한 번 봐야하는 영화인듯하다
평점믿지마요 방금보고왔는데 평점이 죄다 알바라는이유를알겠음
오랜만에 진짜 재밌게봤다 이런 영호ㅓ가 좀 더 많이 나왔음 좋겠음
북괴 짱깨 러시아 독재 꺼져라ㅡㅡ
엄청난 감동과 긴장감 넘치는 첩보작전
너무 보고 싶어서 조조로 봤음 배우들 연기가 ㄷㄷ 의미있는 영화다 진짜
병원 납치장면은 정말 손에 땀이 날 정도로 긴장 돋음! 최고!!이정재 존 멋~~~
예매할때 평점3점대여서 기대안해서 그런지 더재밌었다. 전쟁을다루긴했지만 첩보영화에가까워서 스릴있다. 잔인한전투장면이나 북한군의 잔혹한모습이 아닌 호국선열들의 모습으로 보는내내가슴으로울게만드는영화이다.맥아더장군이마지막...
영화는 보고 말해라 진짜 존잼이구만
나라를 위해 목숨을 바친 숨겨진 영웅들에게 바치는 영화!
볼만한 영화네요 걱정과다르게 재미있었어요
두번 다시 없어야 될일 국력키워 부국강병하구 애국심 고취
"비행기로 대좌를 묶어서 데려간거에서 어이없었고;; 나머지 부분은 괜찮았음. 정전일에 맞춰 개봉한 거도 노린건지 몰라도 의미도 컸음. 이정재, 이범수, 리암니슨 연기 좋았음!"
영화 재미있게 잘 봤어요ㅎ
우리나라의 역사를 다시 되새기면서 봐서 재미있엇습니다
작은 성공 확률에도 승리로 이끌기 위한 호국전사들의 활약에 박수를 보내고 싶습니다. 특히나 오늘이 6.25 정전 휴전협정을 맺은 날인 만큼 뜻깊은 관람이었습니다.
이러한 군인들이 지켜 줬기에 현제 우리가 행복할수 있구나..
지금 우리가 누릴수 있는 자유는 그냥 얻어진 것이 이니라  대한민국을 위해서 희생하신분들에 의해서 이루어진것이라고 다시 한번 느낍니다.
긴장감 넘치고 지루함 못느꼈어요재밌어여ㅎㅎ이정재 리암니슨 넘나 멋짐
언론평이였나 읽고서 별기대안했는데 진짜 엄청난영화bb
이건 천만영화다 알바에 속지마라
추성훈나와서 놀람 ㅋㅋ
하. . 역시. . 와이프랑 딸래미 때운에 눈물훔치느라 죽는지 알았네. . ㅜㅜ 마지막 조명탄 터질때 눈물샘터짐. . 간만에 돈안아까운 영화군요. . 추천합니다!
기대하다가 개봉하자마자 봤는데 역시 최고!!! 또 보고 싶어요~~!!!
평점보고 실망하고 들어갔는데 생각보다 너무 재밌어서 넘만족^^
뭔가 뭉클한 감동과  안타까움~유일한 분단국가  한반도의 슬픈 역사와 목숨을 걸고 희생하신 분들에 대한 고마움과 또 북한이 아닌 대한민국에 태어나 누리는 자유와여유..기타  여러가지등에 새삼 감사해야 한다는 것~.....
이정재는 둘째치고 리암 아저씨 존재감 대박.. 왤케 멋있음..?!? 엄빠 모시고 한 번 더 볼만한 영화네요!
"재미있네요, 감동도 있구^^"
역사에 관심 있다면 볼 만 항 영화.
끝이 너무짧아 아쉽게느껴졌네요. 이영화를보며 다시한번 나라를지켜주신 모든 ... 이름모를 선대분들의 감사함을 느끼고 갑니다.
간만에 울컥했습니다 강력추천
배우들 연기가 정말 대박입니다!! 리암 니슨도 대박
기대했던거보다 더 괜찮고 재밌게봄
재밌습니다 재미없다는사람은 어떻게 본지 모르겠지만 재밌게 봤어요
"이게 망작이라고요??  웰메이드 영화던데요. 스토리, 전개, 배우들의 연기 등 별로 흠잡을게 없었습니다. 영화를 영화로 보지 않고 정치적 유불리를 따져가며 영화를 보는 정치충들은 평론도 하지말고 평점도 매기지 말아주..."
진짜 재밌게봤어요 한번더 집중해서 볼거에요
6 25전쟁의 전환점을 보여준 인천상륙작전에 대해 다시 상고할수있었습니다
감동적이네요     재미나게  봤습니다
정말 감명 깊은 영화 입니다
울딸이 무서웠지만 즐거웠대요 우리나라가  이겨서요
영화 지루하지않고 재미 있어요초등학생 중학생들 보면 좋겠네요실화를 바탕으로 만든 영화라 더 감동적이었습니다
그럭저럭 볼만했습니다
대한민국을 공산주의로부터 지켜주셔서 감사합니다ㅠㅠ 빨갱이는 진짜 싫어요ㅠ
최근에본 영화중에서 젤 괜찮은것 같아요
영화자체는 나쁘지 않아요.단순히 성향 때문에 그냥 1점 테러하는건 아닌듯해서 별10점 주고 갑니다.제 주관적 별점은 8점입니다.
전쟁장면이나 상륙작전의 웅장함은 잘표현했다고 생각된다. 하지만 6.25 전쟁의 아픔과 그 속에서의 애절한 감동이 부족하다는 생각이 든다.
정말 너두 재미있었고무엇보다도 6.25전쟁에 대해서다시 한번 생각하는 계기가 됬습니다최고
"배우부터 시작해서 우리나라역사까지 완벽했습니다.명품연기에 명품역사 , 예고편은 예고편일뿐이였습니다.인천상륙작전을 보시는 모든분들께 감동을 예고합니다"
재밌다 개인적으로는 한번 더 보고싶은영화다
최근영화 본것 중에 최고!!?  꼭 보세요
평론가 평점 이해가 안됨ㅋ평론가한테 알바비안준듯ㅋ
전쟁의참혹함과 유공자들의 희생이느껴지는영화 슬프고감사했다
평론가 평점이 너무 낮아서 볼까 말까하다가 봤는데 생각보다 너무 괜찮던데요? 저는 펑펑 울다 나와써 영화 끝나고 다들 저랑 엄마 얼굴 확인하고나감... 꼭 보세요!! 우리가 살고있는 이 땅이 얼마나 숭고하게 지켜진 ...
인천상륙작전을 가능케한  결사대원들자신보다 조국을선택한 그들이있었기에 오늘 우리가있는게 아닐까싶습니다감명깊게 봤습니다
우리민족의 정신을 다시한번 새길 수 있고 우리 윗세대 분들을 공경할수있는 마음이 생기게 하는등 여러 생각을 가져다 주는 영화였다 요즘같은 어려운 이영화를 보고 국민들이 올바른 생각을 더많이 갖고 살게되는 계기가 되었...
부산행 보다는 내용이 잼있음
배우들 환상조합! 또 보고 싶어요ㅎ
완전 재밌었어요~^^
잘봤습니다. 슬플거같다고 생각은하고 들어왔는데 진짜 펑펑울면서 봤네요.. 호불호가 많이 갈린다고들 하던데 저는 호 인거 같습니다. 정말 재밌었어요. 또 볼기회가 생긴다면 흔쾌히 한번 더 볼 것 같습니다.
이정재의 연기력이넘좋았어요
