순번,개봉연도,영화명,감독,제작사,수입사,배급사,개봉일,국적,전국스크린수,전국매출액,전국관객수,장르,등급,영화구분
342,2017,다이노소어 아일랜드,매트 드럼몬드,,"(주)제이앤씨미디어그룹,(주)드림팩트엔터테인먼트",(주)더블앤조이픽쳐스,2017-07-19,호주,120,56946800,7728,어드벤처,전체관람가,일반영화
345,2017,패트와 매트: 뚝딱뚝딱 대소동,마렉 베네슈,,그린나래미디어(주),(주)팝엔터테인먼트,2017-03-16,체코,116,52792500,7383,애니메이션,전체관람가,독립/예술영화
346,2017,위대한 임무,피터 스펜서,,(재)CBS,(재)CBS,2017-03-23,미국,59,53233800,7329,드라마,12세이상관람가,독립/예술영화
347,2017,신 고질라,"안노 히데아키,히구치 신지",,(주)미디어캐슬,메가박스중앙(주)플러스엠,2017-03-08,일본,156,53050000,7098,SF,12세이상관람가,일반영화
348,2017,고양이 케디,제다 토룬,,찬란,찬란,2017-09-21,미국,32,55759600,7082,다큐멘터리,전체관람가,독립/예술영화
351,2017,뉴니스,드레이크 도리머스,,(주)영화사 진진,(주)영화사 진진,2017-11-09,미국,93,55870500,6989,멜로/로맨스,청소년관람불가,독립/예술영화
353,2017,페니 핀처,프레드 카바예,,주식회사 씨네룩스,주식회사 씨네룩스,2017-08-30,프랑스,71,48737508,6737,코미디,12세이상관람가,독립/예술영화
354,2017,아들에게 가는 길,최낙권,리얼곤시네마,,"(주)에스와이코마드,글뫼 주식회사",2017-11-30,한국,46,44428500,6666,가족,전체관람가,독립/예술영화
355,2017,좋아하게 되는 그 순간을 ~고백실행위원회~,야나기자와 테츠야,,(주)엔케이컨텐츠,(주)디스테이션,2017-06-22,일본,63,48850000,6573,애니메이션,12세이상관람가,일반영화
356,2017,"카페, 한 사람을 기다리다",강금림,,(주)해머픽쳐스,"(주)드림팩트엔터테인먼트,(주)일레븐엔터테인먼트",2017-05-11,대만,107,52164000,6545,멜로/로맨스,15세이상관람가,독립/예술영화
357,2017,베를린 신드롬,케이트 쇼트랜드,,예지림엔터테인먼트,예지림엔터테인먼트,2017-07-06,호주,78,50803800,6529,스릴러,청소년관람불가,독립/예술영화
358,2017,청춘 합창단 - 또 하나의 꿈,"이혁종,안정민",(주)네오스카이인터내셔날,,와이드 릴리즈(주),2017-06-15,한국,39,44711400,6489,다큐멘터리,전체관람가,일반영화
359,2017,올드마린보이,진모영,영화사 님아 주식회사,,CGV아트하우스,2017-11-02,한국,58,48080800,6329,다큐멘터리,전체관람가,독립/예술영화
360,2017,"다시, 벚꽃",유해진,(주)MBC,,(주)영화사 진진,2017-04-06,한국,132,49614500,6199,다큐멘터리,12세이상관람가,독립/예술영화
361,2017,초행,김대환,봄내필름,,(주)인디플러그,2017-12-07,한국,47,46868500,6135,드라마,12세이상관람가,독립/예술영화
362,2017,시크릿 레터,쥬세페 토르나토레,,(주)콘텐츠게이트,(주)디스테이션,2017-11-23,이탈리아,79,46532500,6056,드라마,12세이상관람가,독립/예술영화
364,2017,마음이 외치고 싶어해,쿠마자와 나오토,,(주)스마일이엔티,(주)스마일이엔티,2017-12-07,일본,99,43060100,5849,드라마,12세이상관람가,독립/예술영화
365,2017,아버지와 이토씨,타나다 유키,,(주)얼리버드픽쳐스,와이드 릴리즈(주),2017-04-20,일본,94,42095000,5631,드라마,12세이상관람가,독립/예술영화
366,2017,미스 프레지던트,김재환,주식회사 단유필름,,(주)인디플러그,2017-10-26,한국,76,37339500,5605,다큐멘터리,12세이상관람가,독립/예술영화
368,2017,아티스트: 다시 태어나다,김경원,"(주)영화사소요,(주)백그림,(주)실버라이닝 스튜디오",,(주)콘텐츠판다,2017-03-09,한국,119,42058800,5579,드라마,15세이상관람가,독립/예술영화
369,2017,그들이 진심으로 엮을 때,오기가미 나오코,,(주)엔케이컨텐츠,(주)디스테이션,2017-11-16,일본,55,42120500,5436,가족,12세이상관람가,독립/예술영화
371,2017,구세주: 리턴즈,송창용,(주)메가커뮤니케이션즈,,(주)박수엔터테인먼트,2017-09-14,한국,124,39997000,5401,코미디,15세이상관람가,일반영화
