순번,개봉연도,영화명,감독,제작사,수입사,배급사,개봉일,국적,전국스크린수,전국매출액,전국관객수,장르,등급,영화구분
86,2015,오즈의 마법사: 돌아온 도로시,"윌 핀,댄 세인트 피에르",,㈜코리아스크린,(주)박수엔터테인먼트,2015-02-12,미국,330,2175321000,298298,애니메이션,전체관람가,독립/예술영화
87,2015,런 올 나이트,자움 콜렛 세라,,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-03-19,미국,411,2293671495,289534,액션,청소년관람불가,일반영화
88,2015,다이노 타임,"최윤석,존 카프카",주식회사 토이온,,(주)씨제이이엔엠,2015-04-30,한국,430,2099683100,283300,애니메이션,전체관람가,일반영화
89,2015,인서전트,로베르트 슈벤트케,,(유)조이앤컨텐츠그룹,롯데쇼핑㈜롯데엔터테인먼트,2015-03-25,미국,480,2158449889,282662,SF,15세이상관람가,일반영화
90,2015,백 투 더 비기닝,딘 이스라엘리트,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2015-02-26,미국,423,2016298400,266389,SF,15세이상관람가,일반영화
91,2015,투모로우랜드,브래드 버드,월트 디즈니 픽쳐스,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2015-05-27,미국,435,2082869000,265744,액션,12세이상관람가,일반영화
92,2015,스파이 브릿지,스티븐 스필버그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-11-05,미국,425,2013736478,260518,스릴러,12세이상관람가,일반영화
93,2015,함정,권형진,(주)데이드림,,(주)인벤트스톤,2015-09-10,한국,445,2088685200,257716,스릴러,청소년관람불가,일반영화
94,2015,명탐정 코난 : 코난 실종사건 - 사상 최악의 이틀,야마모토 야스이치로,,(주)씨제이이엔엠,(주)씨제이이엔엠,2015-02-12,일본,187,1885543600,257381,애니메이션,12세이상관람가,일반영화
95,2015,언브로큰,안젤리나 졸리,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-01-07,미국,401,1997947292,256475,액션,15세이상관람가,일반영화
96,2015,소셜포비아,홍석재,한국영화아카데미,,CGV아트하우스,2015-03-12,한국,368,1950635763,248215,스릴러,15세이상관람가,독립/예술영화
97,2015,하늘을 걷는 남자,로버트 저메키스,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-10-28,미국,415,2267273653,238257,드라마,12세이상관람가,일반영화
98,2015,극장판 포켓몬스터 XY : 파괴의 포켓몬과 디안시,유야마 쿠니히코,,(주)포켓몬코리아,롯데쇼핑㈜롯데엔터테인먼트,2015-01-14,일본,360,1653084000,233347,애니메이션,전체관람가,일반영화
99,2015,조선마술사,김대승,위더스필름(주),,롯데쇼핑㈜롯데엔터테인먼트,2015-12-30,한국,607,1506449794,224657,드라마,12세이상관람가,일반영화
100,2015,괴물의 아이,호소다 마모루,,(주)얼리버드픽쳐스,"CGV아트하우스,(주)리틀빅픽쳐스",2015-11-25,일본,363,1652580816,223216,애니메이션,12세이상관람가,일반영화
101,2015,언프렌디드: 친구삭제,레오 가브리아제,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-05-07,미국,386,1643911941,219678,공포(호러),15세이상관람가,일반영화
102,2015,노아의 방주: 남겨진 녀석들,토비 젠켈,,(주)스마일이엔티,씨네그루(주)다우기술,2015-04-30,독일,436,1586417300,219621,애니메이션,전체관람가,일반영화
103,2015,포켓몬 더 무비 XY 후파: 광륜의 초마신,유야마 쿠니히코,,(주)포켓몬코리아,(주)이수C&E,2015-12-23,일본,360,1528041500,214284,애니메이션,전체관람가,일반영화
104,2015,연애의 맛,김아론,(주)청우필름,,"(주)와우픽쳐스,(주)쇼박스",2015-05-07,한국,398,1706805153,212154,멜로/로맨스,청소년관람불가,일반영화
105,2015,버드맨,알레한드로 곤잘레스 이냐리투,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-03-05,미국,380,1653103800,204742,코미디,청소년관람불가,일반영화
106,2015,기생수 파트1,야마자키 타카시,,판씨네마(주),판씨네마(주),2015-02-26,일본,247,1534923185,186184,스릴러,청소년관람불가,일반영화
107,2015,팬,조 라이트,,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-10-08,미국,428,1422971592,185960,판타지,전체관람가,일반영화
108,2015,더 셰프,존 웰스,,(주)누리픽쳐스,(주)이수C&E,2015-11-05,미국,409,1466464148,184469,드라마,15세이상관람가,일반영화
109,2015,레전드,브라이언 헬겔랜드,,(주)퍼스트런,(주)이수C&E,2015-12-10,프랑스,449,1436348930,179738,액션,청소년관람불가,일반영화
110,2015,19곰 테드 2,세스 맥팔레인,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-06-25,미국,297,1378084400,170647,코미디,청소년관람불가,일반영화
111,2015,아메리칸 울트라,니마 누리자데,,(주)누리픽쳐스,(주)씨제이이엔엠,2015-08-27,미국,341,1301387295,161382,액션,청소년관람불가,일반영화
112,2015,트랜스포터: 리퓰드,카밀 들라마레,,(주)에이블엔터테인먼트,씨네그루(주)다우기술,2015-10-15,프랑스,432,1263319115,161245,액션,15세이상관람가,일반영화
113,2015,내부자들: 디 오리지널,우민호,(유)내부자들 문화전문회사,,(주)쇼박스,2015-12-31,한국,838,1236787715,160148,범죄,청소년관람불가,일반영화
114,2015,스누피: 더 피너츠 무비,스티브 마티노,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-12-24,미국,348,1194012100,156376,애니메이션,전체관람가,일반영화
115,2015,최강전사 미니특공대 : 새로운 악당의 습격,이영준,(주)삼지애니메이션,,에이원엔터테인먼트,2015-02-05,한국,318,1163431200,154342,애니메이션,전체관람가,일반영화
116,2015,아메리칸 셰프,존 파브로,,(주)누리픽쳐스,(주)영화사 진진,2015-01-07,미국,111,1240660929,151833,코미디,15세이상관람가,독립/예술영화
117,2015,짱구는 못말려 극장판 : 정면승부! 로봇아빠의 역습,타카하시 와타루,,대원미디어(주),(주)이수C&E,2015-04-23,일본,372,1085388600,150226,애니메이션,전체관람가,일반영화
118,2015,워킹걸,정범식,"(주)홍필름,(주)수필름",,메가박스중앙(주)플러스엠,2015-01-07,한국,308,1183887479,149181,코미디,청소년관람불가,일반영화
119,2015,우먼 인 골드,사이먼 커티스,,(주)에이블엔터테인먼트,(주)팝엔터테인먼트,2015-07-09,미국,252,1096192800,142456,드라마,12세이상관람가,독립/예술영화
120,2015,은밀한 유혹,윤재구,"(주)영화사비단길,(주)수필름",,(주)씨제이이엔엠,2015-06-04,한국,394,1112423247,142405,멜로/로맨스,15세이상관람가,일반영화
121,2015,화장,임권택,(주)명필름,,(주)리틀빅픽쳐스,2015-04-09,한국,327,1059405100,140616,드라마,청소년관람불가,독립/예술영화
122,2015,시카리오: 암살자의 도시,드니 빌뇌브,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2015-12-03,미국,227,1128148952,139767,범죄,청소년관람불가,독립/예술영화
123,2015,워터 디바이너,러셀 크로우,,(주)더블앤조이픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,2015-01-28,미국,326,1008818235,136134,드라마,15세이상관람가,일반영화
124,2015,나의 절친 악당들,임상수,"휠므빠말주식회사,이십세기폭스 인터내셔널 프로덕션",,이십세기폭스코리아(주),2015-06-25,한국,384,1054470664,133553,범죄,청소년관람불가,일반영화
125,2015,심야식당,마츠오카 조지,,(주)엔케이컨텐츠,(주)영화사 진진,2015-06-18,일본,180,1041911974,131748,드라마,12세이상관람가,독립/예술영화
126,2015,러브 라이브! 더 스쿨 아이돌 무비,쿄고쿠 타카히코,,(주)애니플러스,(주)박수엔터테인먼트,2015-09-03,일본,66,908579000,122574,애니메이션,전체관람가,일반영화
127,2015,퇴마: 무녀굴,김휘,"(주)케이프로덕션,플로우식스(주),버티고필름",,씨네그루(주)다우기술,2015-08-20,한국,331,951843500,120802,공포(호러),15세이상관람가,일반영화
128,2015,존 윅,"데이빗 레이치,채드 스타헬스키",,"(유)조이앤시네마,(유)조이앤컨텐츠그룹","(주)제이앤씨미디어그룹,(주)나이너스엔터테인먼트",2015-01-21,미국,321,925995637,116119,액션,청소년관람불가,일반영화
129,2015,극장판 도라에몽 : 진구의 우주영웅기~스페이스 히어로즈~,오오스기 요시히로,,대원미디어(주),(주)와우픽쳐스,2015-09-17,일본,351,816868100,113404,애니메이션,전체관람가,일반영화
130,2015,미라클 벨리에,에릭 라티고,,(주)영화사 진진,(주)영화사 진진,2015-08-27,프랑스,245,857214018,112121,드라마,12세이상관람가,독립/예술영화
131,2015,셀프/리스,타셈 싱,,블루미지,(주)이수C&E,2015-09-10,미국,340,874447764,111127,SF,15세이상관람가,일반영화
132,2015,스틸 앨리스,"리처드 글랫저,워시 웨스트모어랜드",,그린나래미디어(주),그린나래미디어(주),2015-04-29,미국,109,856744246,111008,드라마,12세이상관람가,독립/예술영화
133,2015,맨 프롬 UNCLE,가이 리치,,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-10-28,미국,361,846390353,108551,액션,12세이상관람가,일반영화
134,2015,더 건맨,피에르 모렐,,(유)조이앤컨텐츠그룹,롯데쇼핑㈜롯데엔터테인먼트,2015-04-16,프랑스,349,833925965,107444,액션,청소년관람불가,일반영화
135,2015,프리덤,피터 쿠센스,,"(재)CBS,SOKOR MEDIA",주식회사 마운틴픽쳐스,2015-11-19,미국,117,736220100,106030,드라마,12세이상관람가,독립/예술영화
136,2015,돌연변이,권오광,영화사 우상,,필라멘트픽쳐스,2015-10-22,한국,399,748816684,100523,드라마,12세이상관람가,일반영화
137,2015,극장판 파워레인저 트레인포스 VS 다이노포스 THE MOVIE,와타나베 카츠야,,대원미디어(주),"(주)스마일이엔티,(주)영화사오원",2015-11-26,일본,344,730895500,100026,액션,전체관람가,일반영화
138,2015,빌리와 용감한 녀석들 3,척 파워스,,㈜코리아스크린,롯데쇼핑㈜롯데엔터테인먼트,2015-04-30,미국,343,699788600,98495,애니메이션,전체관람가,독립/예술영화
139,2015,맥베스,저스틴 커젤,,판씨네마(주),판씨네마(주),2015-12-03,영국,141,711589153,93534,드라마,15세이상관람가,독립/예술영화
140,2015,7번째 아들,세르게이 보드로프,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-02-11,미국,358,729980451,92598,어드벤처,12세이상관람가,일반영화
141,2015,포커스,"글렌 피카라,존 레쿼",,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-02-26,미국,349,702878700,91164,코미디,15세이상관람가,일반영화
142,2015,더 매직: 리틀톰과 도둑공주,어네스토 파드롱,,(주)올스타엔터테인먼트,"㈜코리아스크린,와이드 릴리즈(주)",2015-09-24,스페인,193,653636700,89358,애니메이션,전체관람가,독립/예술영화
143,2015,사우스포,안톤 후쿠아,,(주)스마일이엔티,씨네그루(주)다우기술,2015-12-03,미국,335,649386248,87426,드라마,15세이상관람가,일반영화
144,2015,갤로우즈,"트래비스 클러프,크리스 로핑",,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-09-03,미국,299,674767406,87301,공포(호러),15세이상관람가,일반영화
145,2015,숀더쉽,"마크 버튼,리처드 스타잭",,(주)박수엔터테인먼트,(주)박수엔터테인먼트,2015-08-13,영국,263,592435000,85568,애니메이션,전체관람가,독립/예술영화
146,2015,빅 아이즈,팀 버튼,,판씨네마(주),판씨네마(주),2015-01-28,미국,290,651316335,85200,드라마,12세이상관람가,독립/예술영화
147,2015,와일드,장 마크 발레,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-01-22,미국,58,665271800,83334,드라마,청소년관람불가,독립/예술영화
