순번,개봉연도,영화명,감독,제작사,수입사,배급사,개봉일,국적,전국스크린수,전국매출액,전국관객수,장르,등급,영화구분
1,2015,베테랑,류승완,"(주)외유내강,(주)필름케이",,(주)씨제이이엔엠,2015-08-05,한국,1064,105024756250,13395400,액션,15세이상관람가,일반영화
2,2015,암살,최동훈,(주)케이퍼필름,,(주)쇼박스,2015-07-22,한국,1519,98463132781,12705700,액션,15세이상관람가,일반영화
3,2015,어벤져스: 에이지 오브 울트론,조스 웨던,,월트디즈니컴퍼니코리아(주),"월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아(주)",2015-04-23,미국,1843,88582586366,10494499,액션,12세이상관람가,일반영화
4,2015,내부자들,우민호,(유)내부자들 문화전문회사,,(주)쇼박스,2015-11-19,한국,1075,56464117657,7055074,범죄,청소년관람불가,일반영화
5,2015,사도,이준익,(주)타이거픽쳐스,,(주)쇼박스,2015-09-16,한국,1210,48842902501,6246849,사극,12세이상관람가,일반영화
6,2015,미션 임파서블: 로그네이션,크리스토퍼 맥쿼리,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2015-07-30,미국,1202,48547353607,6126488,액션,15세이상관람가,일반영화
7,2015,킹스맨 : 시크릿 에이전트,매튜 본,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-02-11,미국,706,50333635795,6125154,액션,청소년관람불가,일반영화
8,2015,연평해전,김학순,(주)로제타시네마,,(주)넥스트엔터테인먼트월드(NEW),2015-06-24,한국,1013,45560620330,6043458,드라마,12세이상관람가,일반영화
9,2015,쥬라기 월드,콜린 트레보로우,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-06-11,미국,1290,47800698826,5546792,액션,12세이상관람가,일반영화
10,2015,검은 사제들,장재현,영화사 집,,(주)씨제이이엔엠,2015-11-05,한국,1088,42392797092,5440520,미스터리,15세이상관람가,일반영화
11,2015,히말라야,이석훈,(주)제이케이필름,,(주)씨제이이엔엠,2015-12-16,한국,1009,39469775448,5129409,드라마,12세이상관람가,일반영화
12,2015,인사이드 아웃,피트 닥터,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2015-07-09,미국,777,38015586936,4968687,애니메이션,전체관람가,일반영화
13,2015,마션,리들리 스콧,,이십세기폭스코리아(주),"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)",2015-10-08,미국,1132,39612764295,4875494,액션,12세이상관람가,일반영화
14,2015,조선명탐정 : 사라진 놉의 딸,김석윤,청년필름(주),,(주)쇼박스,2015-02-11,한국,811,30456879428,3872015,사극,12세이상관람가,일반영화
15,2015,매드 맥스: 분노의 도로,조지 밀러,,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-05-14,미국,799,32906364462,3842441,액션,15세이상관람가,일반영화
16,2015,인턴,낸시 마이어스,,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-09-24,미국,496,28517727148,3610564,코미디,12세이상관람가,일반영화
17,2015,분노의 질주: 더 세븐,제임스 완,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-04-01,미국,983,26449334694,3247558,액션,15세이상관람가,일반영화
18,2015,터미네이터 제니시스,앨런 테일러,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2015-07-02,미국,1113,26546725129,3239371,액션,15세이상관람가,일반영화
19,2015,스물,이병헌,"(주)영화나무,(주)아이에이치큐",,(주)넥스트엔터테인먼트월드(NEW),2015-03-25,한국,926,23558988686,3044134,코미디,15세이상관람가,일반영화
20,2015,극비수사,곽경택,"(주)제이콘컴퍼니,(주)영화사 신세계",,(주)쇼박스,2015-06-18,한국,894,22389535897,2860786,드라마,15세이상관람가,일반영화
21,2015,앤트맨,페이튼 리드,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2015-09-03,미국,949,23502249937,2839921,액션,12세이상관람가,일반영화
22,2015,스타워즈: 깨어난 포스,J.J. 에이브럼스,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2015-12-17,미국,940,24149478540,2803234,액션,12세이상관람가,일반영화
23,2015,빅 히어로,"돈 홀,크리스 윌리암스",,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2015-01-21,미국,825,21993119765,2801949,애니메이션,전체관람가,일반영화
24,2015,메이즈 러너: 스코치 트라이얼,웨스 볼,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-09-16,미국,804,21596946349,2744413,액션,12세이상관람가,일반영화
25,2015,탐정 : 더 비기닝,김정훈,(주)크리픽쳐스,,(주)씨제이이엔엠,2015-09-24,한국,764,20463956973,2625686,코미디,15세이상관람가,일반영화
26,2015,미니언즈,"피에르 꼬팽,카일 발다",,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-07-29,미국,792,18997911278,2625572,애니메이션,전체관람가,일반영화
27,2015,스파이,폴 페이그,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-05-21,미국,665,18396836358,2315882,액션,15세이상관람가,일반영화
28,2015,악의 연대기,백운학,(주)비에이엔터테인먼트,,(주)씨제이이엔엠,2015-05-14,한국,776,17360123332,2192243,스릴러,15세이상관람가,일반영화
29,2015,강남 1970,유하,"(주)모베라픽처스,(주)쇼박스",,(주)쇼박스,2015-01-21,한국,841,17717971499,2192172,액션,청소년관람불가,일반영화
30,2015,뷰티 인사이드,백,(주)용필름,,(주)넥스트엔터테인먼트월드(NEW),2015-08-20,한국,648,16145401531,2053085,판타지,12세이상관람가,일반영화
31,2015,오늘의 연애,박진표,(주)팝콘에프앤엠,,(주)씨제이이엔엠,2015-01-14,한국,709,14924654487,1891993,멜로/로맨스,15세이상관람가,일반영화
32,2015,테이큰 3,올리비에 메가턴,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-01-01,미국,616,15088105000,1860934,액션,15세이상관람가,일반영화
33,2015,007 스펙터,샘 멘데스,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-11-11,영국,1105,14301476030,1820760,액션,15세이상관람가,일반영화
34,2015,이미테이션 게임,모튼 틸덤,,(주)미디어로그,메가박스중앙(주)플러스엠,2015-02-17,영국,541,13654746120,1743774,드라마,15세이상관람가,일반영화
35,2015,샌 안드레아스,브래드 페이튼,,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-06-03,미국,847,14411907152,1714071,액션,12세이상관람가,일반영화
36,2015,쎄시봉,김현석,"유한회사 제이필름,(주)무브픽쳐스",,(주)씨제이이엔엠,2015-02-05,한국,829,13509581911,1707487,멜로/로맨스,15세이상관람가,일반영화
37,2015,더 폰,김봉주,(주)미스터로맨스,,(주)넥스트엔터테인먼트월드(NEW),2015-10-22,한국,794,12309164568,1593694,스릴러,15세이상관람가,일반영화
38,2015,대호,박훈정,(주)사나이픽처스,,(주)넥스트엔터테인먼트월드(NEW),2015-12-16,한국,892,12104808332,1584168,사극,12세이상관람가,일반영화
39,2015,위플래쉬,데이미언 셔젤,,"워터홀컴퍼니(주),(주)에이든컴퍼니","워터홀컴퍼니(주),(주)쇼박스",2015-03-12,미국,436,12445626245,1561815,드라마,15세이상관람가,독립/예술영화
40,2015,차이나타운,한준희,폴룩스픽쳐스(주),,CGV아트하우스,2015-04-29,한국,551,11989400678,1472006,범죄,청소년관람불가,일반영화
41,2015,장수상회,강제규,"(주)빅픽쳐,(주)씨제이이엔엠",,(주)씨제이이엔엠,2015-04-09,한국,688,8707389643,1160935,멜로/로맨스,12세이상관람가,일반영화
42,2015,성난 변호사,허종호,"(주)씨제이이엔엠,(주)영화사 빛나는 제국,우수영화사",,(주)씨제이이엔엠,2015-10-08,한국,607,8697174039,1124918,범죄,15세이상관람가,일반영화
43,2015,간신,민규동,(주)수필름,,롯데쇼핑㈜롯데엔터테인먼트,2015-05-21,한국,697,8946842910,1110246,사극,청소년관람불가,일반영화
44,2015,박물관이 살아있다 : 비밀의 무덤,숀 레비,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-01-14,미국,500,8170784606,1101678,어드벤처,전체관람가,일반영화
45,2015,그놈이다,윤준형,"상상필름(주),(주)브라더픽처스",,CGV아트하우스,2015-10-28,한국,681,8096427152,1046015,스릴러,15세이상관람가,일반영화
46,2015,미쓰 와이프,강효진,"(주)영화사아이비젼,메가박스중앙(주)플러스엠",,메가박스중앙(주)플러스엠,2015-08-13,한국,437,7357162869,984265,코미디,15세이상관람가,일반영화
47,2015,몬스터 호텔 2,젠디 타타코브스키,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-12-24,미국,686,7029012585,962770,애니메이션,전체관람가,일반영화
48,2015,허삼관,하정우,"(주)두타연,(주)판타지오픽쳐스",,(주)넥스트엔터테인먼트월드(NEW),2015-01-14,한국,621,7405415569,955175,드라마,12세이상관람가,일반영화
49,2015,살인의뢰,손용호,(주)미인픽쳐스,,씨네그루(주)다우기술,2015-03-12,한국,646,6986456737,855980,범죄,청소년관람불가,일반영화
50,2015,손님,김광태,(주)유비유필름,,(주)씨제이이엔엠,2015-07-09,한국,634,6385295880,827918,판타지,15세이상관람가,일반영화
51,2015,인시디어스 3,리 워넬,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-07-09,미국,409,6396650620,825517,공포(호러),15세이상관람가,일반영화
52,2015,하트 오브 더 씨,론 하워드,,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-12-03,미국,535,6776484023,809327,액션,12세이상관람가,일반영화
53,2015,헝거게임: 더 파이널,프란시스 로렌스,라이온스 게이트 필름즈,(주)누리픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,2015-11-18,미국,661,6069167163,806520,액션,15세이상관람가,일반영화
54,2015,신데렐라,케네스 브래너,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2015-03-19,미국,531,5499767900,716386,멜로/로맨스,전체관람가,일반영화
55,2015,픽셀,크리스 콜럼버스,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-07-16,미국,557,5390909947,681945,액션,12세이상관람가,일반영화
56,2015,열정같은소리하고있네,정기훈,반짝반짝영화사(주),,(주)넥스트엔터테인먼트월드(NEW),2015-11-25,한국,566,4758959902,654102,드라마,15세이상관람가,일반영화
57,2015,특종: 량첸살인기,노덕,"(주)매그넘나인,(주)뱅가드스튜디오",,롯데쇼핑㈜롯데엔터테인먼트,2015-10-22,한국,776,4754763118,616481,스릴러,15세이상관람가,일반영화
58,2015,서부전선,천성일,(주)하리마오픽쳐스,,롯데쇼핑㈜롯데엔터테인먼트,2015-09-24,한국,509,4751661400,609063,전쟁,12세이상관람가,일반영화
59,2015,채피,닐 블롬캠프,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-03-12,미국,536,4620348654,573657,액션,15세이상관람가,일반영화
60,2015,극장판 요괴워치: 탄생의 비밀이다냥!,"타카하시 시게하루,우시로 신지",,(주)씨제이이엔엠,(주)씨제이이엔엠,2015-07-22,일본,509,3886775100,550728,애니메이션,전체관람가,일반영화
61,2015,헬머니,신한솔,"(주)전망좋은 영화사,TCO(주)더콘텐츠온",,(주)넥스트엔터테인먼트월드(NEW),2015-03-05,한국,422,4096141972,519983,코미디,청소년관람불가,일반영화
62,2015,도라에몽 : 스탠 바이 미,"야마자키 타카시,야기 류이치",,(주)넥스트엔터테인먼트월드(NEW),(주)넥스트엔터테인먼트월드(NEW),2015-02-12,일본,432,3681140429,503516,애니메이션,전체관람가,일반영화
63,2015,위험한 상견례 2,김진영,"(주)전망좋은 영화사,TCO(주)더콘텐츠온,(주)마음에드는영화사",,"롯데쇼핑㈜롯데엔터테인먼트,(주)마인스 엔터테인먼트",2015-04-29,한국,429,3575384754,472693,멜로/로맨스,15세이상관람가,일반영화
64,2015,명탐정 코난 : 화염의 해바라기,시즈노 코분,,(주)씨제이이엔엠,(주)씨제이이엔엠,2015-08-05,일본,433,3294096400,470990,애니메이션,전체관람가,일반영화
65,2015,순수의 시대,안상훈,"(주)화인웍스,(주)키메이커",,(주)씨제이이엔엠,2015-03-05,한국,546,3702353828,465492,사극,청소년관람불가,일반영화
66,2015,"협녀, 칼의 기억",박흥식,(주)티피에스컴퍼니,,롯데쇼핑㈜롯데엔터테인먼트,2015-08-13,한국,572,3360045489,431310,사극,15세이상관람가,일반영화
67,2015,어린왕자,마크 오스본,,와이즈앤와이드엔터테인먼트(주),씨네그루(주)다우기술,2015-12-23,프랑스,494,3195586794,428855,애니메이션,전체관람가,독립/예술영화
68,2015,오피스,홍원찬,(주)영화사꽃,,(주)리틀빅픽쳐스,2015-09-03,한국,425,3354086230,428429,스릴러,15세이상관람가,일반영화
69,2015,무뢰한,오승욱,(주)사나이픽처스,,CGV아트하우스,2015-05-27,한국,482,3262087431,414626,멜로/로맨스,청소년관람불가,일반영화
70,2015,판타스틱 4,조쉬 트랭크,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-08-20,미국,451,3029310600,399667,액션,12세이상관람가,일반영화
71,2015,뽀로로 극장판 컴퓨터 왕국 대모험,박영균,(주)오콘,,(주)넥스트엔터테인먼트월드(NEW),2015-12-10,한국,544,2902090600,391760,애니메이션,전체관람가,일반영화
72,2015,내 심장을 쏴라,문제용,(주)주피터필름,,"(주)리틀빅픽쳐스,(주)이수C&E",2015-01-28,한국,452,2856859132,387409,드라마,15세이상관람가,일반영화
73,2015,소수의견,김성제,(주)하리마오픽쳐스,,(주)시네마서비스,2015-06-24,한국,398,2891431205,383332,드라마,15세이상관람가,일반영화
74,2015,그레이의 50가지 그림자,샘 테일러-존슨,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-02-26,미국,512,2918598796,364415,드라마,청소년관람불가,일반영화
75,2015,홈,팀 존슨,,(주)씨제이이엔엠,(주)씨제이이엔엠,2015-05-21,미국,532,2692225691,360556,애니메이션,전체관람가,일반영화
76,2015,경성학교: 사라진 소녀들,이해영,"청년필름(주),비밀의화원",,롯데쇼핑㈜롯데엔터테인먼트,2015-06-18,한국,489,2749027700,356342,미스터리,15세이상관람가,일반영화
77,2015,치외법권,신동엽,"(주)유니프로,(주)스톰픽쳐스코리아",,판씨네마(주),2015-08-27,한국,446,2664941005,346483,액션,15세이상관람가,일반영화
78,2015,아메리칸 스나이퍼,클린트 이스트우드,,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-01-14,미국,308,2800001438,344766,액션,청소년관람불가,일반영화
79,2015,에베레스트,발타자르 코루마쿠르,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-09-24,미국,331,3055119748,332180,어드벤처,12세이상관람가,일반영화
80,2015,스폰지밥 3D,폴 티비트,,(주)씨제이이엔엠,(주)씨제이이엔엠,2015-02-18,미국,357,2458946200,325016,애니메이션,전체관람가,일반영화
81,2015,극적인 하룻밤,하기호,"(주)연우무대,(주)인사이드픽쳐스",,CGV아트하우스,2015-12-03,한국,434,2604823429,320166,멜로/로맨스,청소년관람불가,일반영화
82,2015,뮨: 달의 요정,"알렉상드르 헤보얀,베노이트 필립폰",,(주)스마일이엔티,"(주)스마일이엔티,씨네그루(주)다우기술",2015-09-24,프랑스,365,2331900700,319072,애니메이션,전체관람가,독립/예술영화
83,2015,도리화가,이종필,"(주)영화사 담담,(주)어바웃필름",,(주)씨제이이엔엠,2015-11-25,한국,563,2246950339,317505,사극,12세이상관람가,일반영화
84,2015,주피터 어센딩,"라나 워쇼스키,릴리 워쇼스키",,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-02-05,미국,561,2685741879,309729,SF,12세이상관람가,일반영화
85,2015,패딩턴,폴 킹,,(주)누리픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,2015-01-07,영국,408,2246424729,305100,코미디,전체관람가,일반영화
