순번,순서,영화이름,관람객평점,댓글
38,41,인천상륙작전,5.0,감동적이네요     재미나게  봤습니다
38,42,인천상륙작전,5.0,정말 감명 깊은 영화 입니다
38,43,인천상륙작전,5.0,울딸이 무서웠지만 즐거웠대요 우리나라가  이겨서요
38,44,인천상륙작전,4.5,영화 지루하지않고 재미 있어요초등학생 중학생들 보면 좋겠네요실화를 바탕으로 만든 영화라 더 감동적이었습니다
38,45,인천상륙작전,4.0,그럭저럭 볼만했습니다
38,46,인천상륙작전,5.0,대한민국을 공산주의로부터 지켜주셔서 감사합니다ㅠㅠ 빨갱이는 진짜 싫어요ㅠ
38,47,인천상륙작전,5.0,최근에본 영화중에서 젤 괜찮은것 같아요
38,48,인천상륙작전,5.0,영화자체는 나쁘지 않아요.단순히 성향 때문에 그냥 1점 테러하는건 아닌듯해서 별10점 주고 갑니다.제 주관적 별점은 8점입니다.
38,49,인천상륙작전,3.5,전쟁장면이나 상륙작전의 웅장함은 잘표현했다고 생각된다. 하지만 6.25 전쟁의 아픔과 그 속에서의 애절한 감동이 부족하다는 생각이 든다.
38,50,인천상륙작전,5.0,정말 너두 재미있었고무엇보다도 6.25전쟁에 대해서다시 한번 생각하는 계기가 됬습니다최고
38,51,인천상륙작전,5.0,"배우부터 시작해서 우리나라역사까지 완벽했습니다.명품연기에 명품역사 , 예고편은 예고편일뿐이였습니다.인천상륙작전을 보시는 모든분들께 감동을 예고합니다"
38,52,인천상륙작전,4.5,재밌다 개인적으로는 한번 더 보고싶은영화다
38,53,인천상륙작전,5.0,최근영화 본것 중에 최고!!?  꼭 보세요
38,54,인천상륙작전,5.0,평론가 평점 이해가 안됨ㅋ평론가한테 알바비안준듯ㅋ
38,55,인천상륙작전,5.0,전쟁의참혹함과 유공자들의 희생이느껴지는영화 슬프고감사했다
38,56,인천상륙작전,5.0,평론가 평점이 너무 낮아서 볼까 말까하다가 봤는데 생각보다 너무 괜찮던데요? 저는 펑펑 울다 나와써 영화 끝나고 다들 저랑 엄마 얼굴 확인하고나감... 꼭 보세요!! 우리가 살고있는 이 땅이 얼마나 숭고하게 지켜진 ...
38,57,인천상륙작전,4.5,인천상륙작전을 가능케한  결사대원들자신보다 조국을선택한 그들이있었기에 오늘 우리가있는게 아닐까싶습니다감명깊게 봤습니다
38,58,인천상륙작전,4.5,우리민족의 정신을 다시한번 새길 수 있고 우리 윗세대 분들을 공경할수있는 마음이 생기게 하는등 여러 생각을 가져다 주는 영화였다 요즘같은 어려운 이영화를 보고 국민들이 올바른 생각을 더많이 갖고 살게되는 계기가 되었...
38,59,인천상륙작전,4.0,부산행 보다는 내용이 잼있음
38,60,인천상륙작전,5.0,배우들 환상조합! 또 보고 싶어요ㅎ
38,61,인천상륙작전,5.0,완전 재밌었어요~^^
38,62,인천상륙작전,5.0,잘봤습니다. 슬플거같다고 생각은하고 들어왔는데 진짜 펑펑울면서 봤네요.. 호불호가 많이 갈린다고들 하던데 저는 호 인거 같습니다. 정말 재밌었어요. 또 볼기회가 생긴다면 흔쾌히 한번 더 볼 것 같습니다.
38,63,인천상륙작전,5.0,이정재의 연기력이넘좋았어요
38,64,인천상륙작전,4.5,단연 멋지고 감동적 이였습니다.이정재 이범수 정말 멋있었고박철민 씨 마지막 장면에 살짝 눈물이 글썽..!!조연이지만 정말 연기는 주연과 같았습니다.오늘부로 박철민씨 팬 해야긋네요 ㅎㅎ
38,65,인천상륙작전,5.0,지루한줄 모르고 재미있게 봤습니다 다만 맥아더장군분량이 너무적네요...
38,66,인천상륙작전,5.0,넘나 좋음!! 생각한 딱 그정도긴 했지만
38,67,인천상륙작전,5.0,넘 감동적이었어요 목숨 걸고 나라를 위해 싸우며  인천상륙작전으로 우리가 이렇게 편안하게 살수 있다는게 감사였고 감동이었습니다이런 영화가 많이 만들어져 우리와 자라나는 다음세대 자녀들에게도 나라 사랑하는 마음이 더욱...
38,68,인천상륙작전,4.5,넘 감동했어요~ 가슴도 뭉클하고  많은 희생자들께 감사드립니다
38,69,인천상륙작전,5.0,재밋어요 꼭보세요ㅎㅎ
38,70,인천상륙작전,5.0,볼만함.강추강추강추강추강추
38,71,인천상륙작전,5.0,안보면 최소 빨갱이 진심 평론가들 무뇌충인듯 평점 100점만점에 100을줘도 모자람
38,72,인천상륙작전,4.5,철민이형 멋있더라. 스토리상 조금 매끄럽지 않은 부분도 있었지만 이념을 떠나서 볼만한 영화. 평론가들 평점은 이해불가.
38,73,인천상륙작전,4.5,초반에 살짝 지루했지만 뒤로 갈수록 재밌게봄
38,74,인천상륙작전,5.0,절대 3점짜리 영화는 아니다
38,75,인천상륙작전,5.0,조조로 보고 나왔다.. 도서관 가는 길.. 그 분들이 있었기에 아무 걱정없이 공부하러 갈 수 있다는 사실에 감사함을 느끼며 난 오늘도 한국사를 공부하러 간다 기승전공시충
38,76,인천상륙작전,4.0,애들이랑 같이 조조보고왔어요..잼나게 보고가요~~
38,77,인천상륙작전,5.0,진짜 감명깊게 봤습니다.
38,78,인천상륙작전,5.0,끝나고 엔딩크레딧 올라갈때박수치고싶었어요 재밌다고 표현하는 것보다 매우 감명깊게 봤습니다
38,79,인천상륙작전,5.0,몇군데 장면에서 눈물 흘릴뻔했네요 아니 알바가 아니라 진짜 친구랑 보고나오면서 여운이 가시지 않은 영화였는데 저만 그렇게 생각할줄은 몰랐네요.... 사람마다 다른듯
38,80,인천상륙작전,5.0,한순간도 눈을때지못햇습니다 몰랏던우리나라의 숨겨진영웅들을 알게되어서 참좋앗습니다
38,81,인천상륙작전,5.0,정말 감동적이고 우리가 있게해주신 조상님들께 감사하단 생각밖에 안들었습니다 다시한번 감사드립니다
38,82,인천상륙작전,5.0,참전 영웅분들 정말 감사합니다ㅠㅠㅠ
38,83,인천상륙작전,5.0,박진감 넘치게 봤습니다
38,84,인천상륙작전,5.0,시간엄청빨리가고진짜재밌는데 댓글에 낚여 안볼뻔
