,순번,개봉연도,영화명,감독,배급사,개봉일,국적,전국스크린수,전국매출액,전국관객수,장르,등급,영화구분
0,1,2012,도둑들,최동훈,(주)쇼박스,2012-07-25,한국,1072,93664808500,12983178,액션,15세이상관람가,일반영화
1,2,2012,"광해, 왕이 된 남자",추창민,(주)씨제이이엔엠,2012-09-13,한국,810,88899448769,12319390,사극,15세이상관람가,일반영화
2,3,2012,어벤져스,조스 웨던,"월트디즈니컴퍼니코리아 유한책임회사,한국소니픽쳐스릴리징브에나비스타영화㈜",2012-04-26,미국,967,59557853478,7074867,액션,12세이상관람가,일반영화
3,4,2012,다크 나이트 라이즈,크리스토퍼 놀란,워너브러더스 코리아(주),2012-07-19,미국,1210,47644838000,6396528,액션,15세이상관람가,일반영화
4,5,2012,늑대소년,조성희,(주)씨제이이엔엠,2012-10-31,한국,706,46590107000,6654390,멜로/로맨스,15세이상관람가,일반영화
5,6,2012,어메이징 스파이더맨,마크 웹,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-06-28,미국,1118,41163951235,4853123,액션,12세이상관람가,일반영화
6,7,2012,범죄와의 전쟁: 나쁜놈들 전성시대,윤종빈,(주)쇼박스,2012-02-02,한국,699,36479147500,4710454,범죄,청소년관람불가,일반영화
7,8,2012,바람과 함께 사라지다,김주호,(주)넥스트엔터테인먼트월드(NEW),2012-08-08,한국,694,34524377161,4897551,코미디,12세이상관람가,일반영화
8,9,2012,내 아내의 모든 것,민규동,(주)넥스트엔터테인먼트월드(NEW),2012-05-17,한국,563,34222160500,4598583,코미디,15세이상관람가,일반영화
9,10,2012,연가시,박정우,(주)씨제이이엔엠,2012-07-05,한국,759,32154766664,4513026,공포(호러),15세이상관람가,일반영화
10,11,2012,건축학개론,이용주,롯데쇼핑㈜롯데엔터테인먼트,2012-03-22,한국,593,30219800500,4110645,멜로/로맨스,12세이상관람가,일반영화
11,12,2012,댄싱퀸,이석훈,(주)씨제이이엔엠,2012-01-18,한국,534,30129259500,4057546,코미디,12세이상관람가,일반영화
12,13,2012,맨 인 블랙 3,배리 소넨필드,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-05-24,미국,770,27301520070,3379762,액션,12세이상관람가,일반영화
13,14,2012,부러진 화살,정지영,(주)넥스트엔터테인먼트월드(NEW),2012-01-18,한국,453,25878110500,3450941,드라마,15세이상관람가,일반영화
14,15,2012,레미제라블,톰 후퍼,유니버설픽쳐스인터내셔널 코리아(유),2012-12-19,미국,696,23428605500,3210107,드라마,12세이상관람가,일반영화
15,16,2012,호빗: 뜻밖의 여정,피터 잭슨,워너브러더스 코리아(주),2012-12-13,미국,1028,21724069066,2605124,어드벤처,12세이상관람가,일반영화
16,17,2012,26년,조근현,"(주)인벤트스톤,영화사청어람(주)",2012-11-29,한국,604,21111878145,2940475,액션,15세이상관람가,일반영화
17,18,2012,내가 살인범이다,정병길,(주)쇼박스,2012-11-08,한국,547,20338868000,2721893,액션,청소년관람불가,일반영화
18,19,2012,후궁 : 제왕의 첩,김대승,롯데쇼핑㈜롯데엔터테인먼트,2012-06-06,한국,624,19250354500,2621436,사극,청소년관람불가,일반영화
19,20,2012,브레이킹 던 part2,빌 콘돈,(주)넥스트엔터테인먼트월드(NEW),2012-11-15,미국,665,18909583065,2654817,드라마,15세이상관람가,일반영화
20,21,2012,화차,변영주,필라멘트픽쳐스,2012-03-08,한국,548,18450760000,2435211,미스터리,15세이상관람가,일반영화
21,22,2012,이웃사람,김휘,롯데쇼핑㈜롯데엔터테인먼트,2012-08-22,한국,600,18087442369,2434099,스릴러,청소년관람불가,일반영화
22,23,2012,장화신은 고양이,크리스 밀러,(주)씨제이이엔엠,2012-01-12,미국,593,17601188500,2080154,애니메이션,전체관람가,일반영화
23,24,2012,테이큰 2,올리비에 메가턴,이십세기폭스코리아(주),2012-09-27,프랑스,682,17581098553,2308596,액션,청소년관람불가,일반영화
24,25,2012,007 스카이폴,샘 멘데스,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2012-10-26,미국,748,17487213000,2376145,액션,15세이상관람가,일반영화
25,26,2012,배틀쉽,피터 버그,유니버설픽쳐스인터내셔널 코리아(유),2012-04-11,미국,736,16545921500,2241687,SF,12세이상관람가,일반영화
26,27,2012,타워,김지훈,(주)씨제이이엔엠,2012-12-25,한국,617,14658256500,2014589,드라마,12세이상관람가,일반영화
27,28,2012,나의 PS 파트너,변성현,(주)씨제이이엔엠,2012-12-06,한국,552,13496952616,1778222,멜로/로맨스,청소년관람불가,일반영화
28,29,2012,코리아,문현성,(주)씨제이이엔엠,2012-05-03,한국,537,13334762500,1857392,드라마,12세이상관람가,일반영화
29,30,2012,러브픽션,전계수,(주)넥스트엔터테인먼트월드(NEW),2012-02-29,한국,617,13200412500,1726202,멜로/로맨스,15세이상관람가,일반영화
30,31,2012,언터처블: 1%의 우정,"올리비에르 나카체,에릭 토레다노",(주)넥스트엔터테인먼트월드(NEW),2012-03-22,프랑스,454,12731016000,1719772,코미디,12세이상관람가,일반영화
31,32,2012,마다가스카3 : 이번엔 서커스다!,"에릭 다넬,톰 맥그라스,콘래드 베논",(주)씨제이이엔엠,2012-06-06,미국,564,12494860000,1626704,애니메이션,전체관람가,일반영화
32,33,2012,반창꼬,정기훈,(주)넥스트엔터테인먼트월드(NEW),2012-12-19,한국,466,12432566719,1726459,멜로/로맨스,15세이상관람가,일반영화
33,34,2012,아이스 에이지 4: 대륙 이동설,"스티브 마티노,마이크 트메이어",이십세기폭스코리아(주),2012-07-25,미국,501,12291809704,1648070,애니메이션,전체관람가,일반영화
34,35,2012,공모자들,김홍선,"씨너스엔터테인먼트(주),타임스토리그룹(주)",2012-08-29,한국,496,12240964500,1646142,범죄,청소년관람불가,일반영화
35,36,2012,하울링,유하,(주)씨제이이엔엠,2012-02-16,한국,550,11765293500,1612554,범죄,15세이상관람가,일반영화
36,37,2012,용의자X,방은진,(주)씨제이이엔엠,2012-10-18,한국,553,11241013000,1552055,미스터리,15세이상관람가,일반영화
37,38,2012,새미의 어드벤쳐 2,벤 스타센,(주)씨제이이엔엠,2012-08-01,벨기에,486,10805555000,1452872,애니메이션,전체관람가,일반영화
38,39,2012,은교,정지우,롯데쇼핑㈜롯데엔터테인먼트,2012-04-25,한국,521,9917728000,1346274,멜로/로맨스,청소년관람불가,일반영화
39,40,2012,잃어버린 세계를 찾아서 2: 신비의 섬,브래드 페이튼,워너브러더스 코리아(주),2012-01-19,미국,398,9784305000,1149628,액션,전체관람가,일반영화
40,41,2012,차형사,신태라,(주)씨제이이엔엠,2012-05-30,한국,433,9752555296,1346754,코미디,15세이상관람가,일반영화
41,42,2012,점박이:한반도의 공룡3D,한상호,(주)씨제이이엔엠,2012-01-26,한국,457,9621468000,1040636,애니메이션,전체관람가,일반영화
42,43,2012,간기남,김형준,(주)쇼박스,2012-04-11,한국,356,9356404500,1246185,코미디,청소년관람불가,일반영화
43,44,2012,간첩,우민호,롯데쇼핑㈜롯데엔터테인먼트,2012-09-20,한국,576,9316548500,1310895,드라마,15세이상관람가,일반영화
44,45,2012,메리다와 마법의 숲,"마크 앤드류스,브렌다 채프먼",한국소니픽쳐스릴리징브에나비스타영화㈜,2012-09-27,미국,479,9024766000,1231024,애니메이션,전체관람가,일반영화
45,46,2012,토탈 리콜,렌 와이즈먼,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-08-15,미국,448,8958236000,1219637,SF,15세이상관람가,일반영화
46,47,2012,돈의 맛,임상수,"(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트",2012-05-17,한국,643,8776870611,1165488,드라마,청소년관람불가,일반영화
47,48,2012,R2B: 리턴투베이스,김동원,(주)씨제이이엔엠,2012-08-15,한국,539,8600489371,1201640,액션,15세이상관람가,일반영화
48,49,2012,프로메테우스,리들리 스콧,이십세기폭스코리아(주),2012-06-06,미국,521,8583886099,970275,SF,청소년관람불가,일반영화
49,50,2012,회사원,임상윤,(주)쇼박스,2012-10-11,한국,549,8321175000,1110523,액션,청소년관람불가,일반영화
50,51,2012,가디언즈,피터 램지,(주)씨제이이엔엠,2012-11-29,미국,470,8083010500,1056250,애니메이션,전체관람가,일반영화
51,52,2012,타이탄의 분노,조나단 리브스만,워너브러더스 코리아(주),2012-03-29,미국,535,7591124500,893027,액션,12세이상관람가,일반영화
52,53,2012,본 레거시,토니 길로이,유니버설픽쳐스인터내셔널 코리아(유),2012-09-06,미국,585,7412233000,1015711,액션,15세이상관람가,일반영화
53,54,2012,시체가 돌아왔다,우선호,(주)씨제이이엔엠,2012-03-29,한국,435,7357623000,986547,범죄,15세이상관람가,일반영화
54,55,2012,가문의 영광5 - 가문의 귀환,정용기,롯데쇼핑㈜롯데엔터테인먼트,2012-12-19,한국,447,7245056500,1012223,코미디,15세이상관람가,일반영화
55,56,2012,존 카터: 바숨 전쟁의 서막,앤드류 스탠튼,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-03-08,미국,508,7218670500,837426,SF,12세이상관람가,일반영화
56,57,2012,원더풀 라디오,권칠인,(주)쇼박스,2012-01-05,한국,474,7193596000,977470,드라마,15세이상관람가,일반영화
57,58,2012,스텝업4 : 레볼루션,스콧 스피어,롯데쇼핑㈜롯데엔터테인먼트,2012-08-15,미국,281,7157894000,953871,멜로/로맨스,12세이상관람가,일반영화
58,59,2012,돈 크라이 마미,김용한,(주)에스비에스콘텐츠허브,2012-11-22,한국,444,6798882099,972962,스릴러,15세이상관람가,일반영화
59,60,2012,디스 민즈 워,맥지,이십세기폭스코리아(주),2012-02-29,미국,351,6661435000,873396,액션,15세이상관람가,일반영화
60,61,2012,점쟁이들,신정원,(주)넥스트엔터테인먼트월드(NEW),2012-10-03,한국,479,6345293500,900054,코미디,15세이상관람가,일반영화
61,62,2012,미확인 동영상 : 절대클릭금지,김태경,(주)쇼박스,2012-05-30,한국,361,5939840500,867386,공포(호러),15세이상관람가,일반영화
62,63,2012,토르: 마법망치의 전설,"오스카 요나손,토비 젠켈,거나 칼슨","롯데쇼핑㈜롯데엔터테인먼트,(주)스마일이엔티",2012-02-09,아이슬란드,383,5529185000,765315,애니메이션,전체관람가,일반영화
63,64,2012,나는 왕이로소이다,장규성,롯데쇼핑㈜롯데엔터테인먼트,2012-08-08,한국,471,5317185404,768971,사극,12세이상관람가,일반영화
64,65,2012,레지던트 이블 5 : 최후의 심판,폴 W.S. 앤더슨,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-09-13,미국,368,4757460500,558433,액션,청소년관람불가,일반영화
65,66,2012,스노우 화이트 앤 더 헌츠맨,루퍼트 샌더스,유니버설픽쳐스인터내셔널 코리아(유),2012-05-30,미국,447,4646250000,636631,액션,12세이상관람가,일반영화
66,67,2012,주먹왕 랄프,리치 무어,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2012-12-19,미국,361,4472518000,616747,애니메이션,전체관람가,일반영화
67,68,2012,헝거게임: 판엠의 불꽃,게리 로스,롯데쇼핑㈜롯데엔터테인먼트,2012-04-05,미국,514,4470681000,606531,액션,15세이상관람가,일반영화
68,69,2012,미쓰GO,박철관,(주)넥스트엔터테인먼트월드(NEW),2012-06-21,한국,440,4441859000,611685,액션,15세이상관람가,일반영화
