,순번,영화명,평론가명,평점,한줄평
571,94,미션 임파서블: 폴아웃,김혜리,4.0,"톰 크루즈, “누가 슈퍼맨이라고?” "
572,94,미션 임파서블: 폴아웃,이화정,4.0,그 누구도 아닌 톰 크루즈 자신이 부여하고 완수하는 미션
573,95,쥬라기 월드: 폴른 킹덤,김혜리,3.5,오리지널의 스릴과 공룡에 대한 매혹을 다시 불러내려는 시도
574,95,쥬라기 월드: 폴른 킹덤,이용철,3.0,공원이 월드가 되는 과정편 
575,95,쥬라기 월드: 폴른 킹덤,송형국,2.5,웰컴 투 서프라이즈 월드
576,95,쥬라기 월드: 폴른 킹덤,허남웅,3.5,쥬라기 월드 ‘와이드’ 공원을 위한 포석?
577,95,쥬라기 월드: 폴른 킹덤,임수연,3.5,공룡님들이 인간을 멸종시켜줬으면 좋겠다 
578,95,쥬라기 월드: 폴른 킹덤,박지훈,3.5,흥미로운 오마주
579,96,앤트맨과 와스프,박평식,3.0,악당은 시원찮지만 꽤 웃긴다
580,96,앤트맨과 와스프,김현수,3.0,사이즈를 키웠더니 갈등이 줄었어요
581,96,앤트맨과 와스프,임수연,3.5,"무게감에 대한 강박을 버리니, 오히려 더 좋잖아"
582,97,안시성,박평식,2.5,공들여 찍은 전투는 돋보인다만
583,97,안시성,이용철,3.5,자세가 좋아서 타율도 좋은 타자
584,97,안시성,이화정,3.5,스펙터클한 전투의 재현과 그걸 놓치지 않는 카메라의 리듬
585,97,안시성,장영엽,3.5,호쾌하고 역동적인 화면으로 재구성한 승리의 역사
586,97,안시성,송형국,3.5,"액션 연출은 완승, 여성 캐릭터 활용은 완패"
587,97,안시성,허남웅,2.5,고구려부심이 쩐다
588,97,안시성,임수연,3.0,액션의 규모로 끝장을 보려는 야심(에 휩쓸려간 드라마…) 
589,98,블랙 팬서,박평식,3.0,캐릭터와 메시지는 흑진주처럼
590,98,블랙 팬서,이용철,2.5,올바른 척해봐야 영악함만 보이는걸
591,98,블랙 팬서,장영엽,3.0,<라이온 킹>에 말콤 X 스토리를 더하면 
592,98,블랙 팬서,이주현,3.5,"트럼프, 보고 있나?"
593,98,블랙 팬서,김현수,4.0,비브라늄보다 강력한 역사와 문화를 지닌 흑인 히어로
594,98,블랙 팬서,허남웅,3.5,슈퍼히어로물에서 백인 남성이 들러리 서는 것의 의미
595,98,블랙 팬서,임수연,3.5,흑인 문제에 대한 ‘디즈니적’ 해결책
596,98,블랙 팬서,김혜리,4.0,"유의미한 질문과 독창적 스타일을 갖춘, 마블 내 소우주 탄생"
597,99,완벽한 타인,이용철,3.5,비밀 때문에 타인이 되는 건 아니다
598,99,완벽한 타인,송형국,3.0,고밀도 시사 코미디
599,99,완벽한 타인,김현수,3.0,어른의 사정이라 변명하듯
600,99,완벽한 타인,허남웅,3.5,비밀로 부풀어오른 관계의 풍선이 터졌을 때
601,99,완벽한 타인,김소미,3.0,강력한 컨셉과 들뜸 없는 앙상블
602,100,독전,임수연,2.5,익숙한 남성들의 유대. 김주혁의 연기는 빛난다.
603,100,독전,박평식,2.0,상투성과 허세의 자매결연
604,100,독전,이용철,2.0,스타일이 좋은 것과 그것만 있는 것의 차이
605,100,독전,송형국,3.0,악어와 악어새가 사생결단내고 끝까지 간다 
606,100,독전,김현수,3.5,‘한국형’이 되기 싫은 ‘형’(兄) 누아르
607,101,공작,임수연,3.5,스파이 장르보다는 ‘빨갱이’ 이용하던 정치판 회고로서 재미있다
608,101,공작,김소미,3.5,"추운 나라가 아닌, 한반도 스파이만의 감수성"
609,101,공작,김혜리,3.5,차분히 설명하는 첩보 드라마 
610,101,공작,박평식,3.0,"울퉁불퉁한 정치, 첩보 스릴러"
611,101,공작,이용철,3.5,"짐작만 했지 접근하지 못한 역사, 알게 돼 우선 고마운 마음"
612,101,공작,이화정,3.5,현실에 눌린 첩보물의 쾌감
613,101,공작,장영엽,3.5,"북으로 간 스파이, 그의 진정한 적은 누구인가"
614,101,공작,김성훈,4.0,접근과 의심의 팽팽한 줄다리기
615,101,공작,김현수,3.5,"초코파이는 눈물을, 롤렉스는 웃음을"
616,101,공작,허남웅,3.5,이번에는 그 두손을 맞잡을 수 있을 것인가 
617,102,데드풀 2,이용철,2.0,2시간의 욕지거리가 즐거우면 그게 정상인가
618,102,데드풀 2,이주현,3.5,일류가 되지 않아도 괜찮은 슈퍼히어로의 작당
619,102,데드풀 2,김현수,2.5,양쪽을 오가다 보면 결국 제자리
620,102,데드풀 2,허남웅,3.5,‘똥꼬’ 발랄한 가족의 탄생
621,103,베놈,허남웅,2.5,나쁜놈이 나쁜 짓을 하지 못하는 이런 '베놈'같은 유니버스
622,103,베놈,박평식,2.0,남의 설렁탕에 깍두기 국물 붓는 꼴
623,103,베놈,장영엽,2.5,생각보다 얌전한 빌런 히어로
624,103,베놈,송형국,2.0,게으른 탄생
625,104,암수살인,김성훈,4.5,성실하고 집요하며 정직한 형사영화
626,104,암수살인,송경원,4.0,무기교의 기교. ‘왜’를 제대로 짚으니 ‘무엇을’과 ‘어떻게’가 저절로 따라온다
627,104,암수살인,임수연,4.0,<추격자>를 생각했는데 막상 보니 <조디악>에 가까운
628,104,암수살인,이용철,4.0,사건보다 인간을 바라보고 인간을 찾는다. 그래서 감동적이다
629,105,국가부도의 날,임수연,3.5,비주류 경제학계의 주장과 (충무로에서는) 신선한 기획의 만남. 아귀가 맞다
630,105,국가부도의 날,박평식,2.5,재연에서 계몽으로
631,105,국가부도의 날,이용철,3.0,그 난리를 치르고도 집값을 수십배 올린 것들이 영화를 본들
632,105,국가부도의 날,이화정,3.5,"지난 21년을 반추하게 하는, 김혜수의 스피치 명장면"
633,105,국가부도의 날,장영엽,3.5,‘헬조선’의 기원을 탐구하는 경제 스릴러
634,105,국가부도의 날,김현수,3.5,시스템 복구의 기본 자세를 묻는다
635,105,국가부도의 날,허남웅,3.5,"과거의 미래는 결과로의 현재, 라고는 해도 다시 한번 당할쏘냐"
636,106,아쿠아맨,장영엽,4.0,"가장 DC답지 않은 방식으로 만든, 가장 매력적인 DC 영화"
637,106,아쿠아맨,허남웅,3.5,수조 밖으로 각종 크리처와 사연과 갈등이 흘러넘친다
638,106,아쿠아맨,임수연,3.5,"<인디아나 존스>부터 <고질라>까지, 다양하게도 모아둔 거대 테마파크"
639,107,코코,박평식,4.0,"따뜻해, 삶을 껴안고 다독이는 죽음"
640,107,코코,이주현,4.0,디즈니·픽사가 선보이는 화려함과 온기의 극대치
641,107,코코,송경원,4.0,디즈니·픽사의 새로운 황금률. 기억할게!
642,107,코코,허남웅,4.0,픽사라서 가능한 삶과 죽음이 하나되는 대축제
643,108,그것만이 내 세상,박평식,2.5,‘쌍팔년도’ 기획이 먹히는 세상
644,108,그것만이 내 세상,이용철,2.5,공주에게 구원받는 남자 신데렐라 이야기
645,108,그것만이 내 세상,허남웅,2.5,"신파, 그것만은… "
646,109,마녀,박평식,3.0,차용에서 활용으로
647,109,마녀,이용철,3.0,"액션은 CG와 편집으로, 스토리는 입으로"
648,109,마녀,장영엽,3.0,조금 더 불친절해도 좋았을 텐데
649,109,마녀,김현수,2.5,숨기기 급급해서 등장 타이밍을 놓친 마녀의 존재감
650,109,마녀,허남웅,2.5,기묘(할 정도로 기묘하지 아니)한 이야기
651,109,마녀,임수연,3.0,기시감의 연속. 김다미의 발굴에는 박수를
652,110,탐정: 리턴즈,김소미,2.5,의미의 강박 없이 말초적인 웃음으로 밀어붙이는 힘
653,111,서치,김혜리,3.5,업그레이드된 데스크톱 영화. 버퍼링 없는 플롯과 감정의 선
654,111,서치,이용철,3.0,노력은 가상하나 사실 인디 진영에서 이미 시도된 것들의 조합
655,111,서치,이화정,3.5,SNS 시대의 <다이하드>식 액션
656,111,서치,임수연,4.0,영화예술 재료의 업데이트(와 그를 다루는 테크닉의 진화)
657,111,서치,장영엽,4.0,인간의 감성을 이식받은 테크-스릴러
658,111,서치,허남웅,4.0,바뀐 생활 방식에 눈을 맞춘 예술 매체의 형식
659,112,인크레더블 2,박평식,3.5,긴 숙성에 튼실하고 친숙해진
660,112,인크레더블 2,송경원,4.0,1편 못지않다. 시대를 읽을 줄 안다. 기다린 보람이 있다
661,112,인크레더블 2,이용철,3.5,최고는 잭잭 vs 너구리 대전
662,112,인크레더블 2,임수연,4.0,마블보다 (훨씬) 재미있고 시대 변화에 부응한다
663,112,인크레더블 2,김혜리,3.0,1.5배속으로 즐길 거리를 늘어놓으며 양으로 승부한다
664,113,너의 결혼식,박평식,2.5,닳았어도 어여쁘니
665,113,너의 결혼식,김현수,3.5,첫사랑은 잠시뿐인걸 
666,113,너의 결혼식,임수연,3.5,첫사랑=썅X 구도와 자기 연민을 극복한 남자의 성장담
667,113,너의 결혼식,김성훈,3.5,이렇게 정신 차리는 남자가 몇이나 될까
668,114,목격자,박평식,2.0,산행을 위하여
669,114,목격자,이용철,2.0,"장르는 아파트랩소디, 주제는 아파트레퀴엠"
670,114,목격자,이화정,3.0,아파트 배경의 집단 이기주의 테스트. 흥미로운 시도
671,114,목격자,김성훈,3.0,"아파트와 살인마, 누가 누가 더 무섭나"
672,114,목격자,허남웅,2.5,"내가 목격한 건 사건인가, 재난인가?"
673,114,목격자,임수연,3.0,‘방관자 효과’에 집중한 뚝심. 약자를 그리는 태도의 아쉬움
674,115,곤지암,김현수,3.5,한 많은 사연 없어도 충분히 무섭다
675,115,곤지암,허남웅,3.0,가지 말라면 가지 마 쫌!
676,116,신비한 동물들과 그린델왈드의 범죄,박평식,2.5,곁다리에 들러리 마법
677,116,신비한 동물들과 그린델왈드의 범죄,이주현,3.0,여전히 예열 중. 언제 끓는점에 도달하려나
678,116,신비한 동물들과 그린델왈드의 범죄,김현수,2.5,덤블도어와 그린델왈드가 당장 만나면 될 일을
679,116,신비한 동물들과 그린델왈드의 범죄,허남웅,2.5,그렇다고 안 볼 수도 없고…
680,116,신비한 동물들과 그린델왈드의 범죄,임수연,2.5,시나리오작가 조앤 K. 롤링을 불신한다
681,116,신비한 동물들과 그린델왈드의 범죄,김혜리,2.5,롤링이 공동각본가 영입을 진지하게 고려할 때
682,117,지금 만나러 갑니다,장영엽,2.5,"멜로는 up, 유머는 down"
683,117,지금 만나러 갑니다,박지훈,2.5,길어지고 산만해진 리메이크
684,118,레디 플레이어 원,박평식,3.0,큐브릭 감독이 끄덕끄덕 
685,118,레디 플레이어 원,이용철,4.0,밥보다 영화가 좋은 사람에겐 기적과 같은 작품
686,118,레디 플레이어 원,장영엽,4.5,"20세기 대중문화의 위대한 유산 열전, 그중 최고는 단연 스필버그"
687,118,레디 플레이어 원,김현수,5.0,스필버그 포에버
688,118,레디 플레이어 원,허남웅,4.0,대중문화가 세상을 지킨다 
689,118,레디 플레이어 원,임수연,4.5,근래의 ‘추억팔이’ 콘텐츠를 할 말 없게 만드는 걸작의 탄생
690,118,레디 플레이어 원,김혜리,4.5,시대와 기술을 흡수하며 확장하는 스필버그라는 영화 OS
691,119,조선명탐정: 흡혈괴마의 비밀,박평식,2.0,시리즈의 고려장
692,119,조선명탐정: 흡혈괴마의 비밀,송경원,3.0,기왕 이렇게 된 거 탐정은 포기하고 판타지 아스트랄 개그로 간다
693,119,조선명탐정: 흡혈괴마의 비밀,허남웅,2.5,"추리는 거들 뿐, 예상처럼 웃기고 울린다"
694,120,맘마미아!2,김소미,3.0,이 엉성함이야말로 기분좋은 주크박스 뮤지컬의 필수 조건
695,121,극한직업,이용철,2.5,반은 웃었다만 그다음은? 
696,121,극한직업,김성훈,3.5,설정은 비현실적이되 설득은 리얼리티를 추구하는 웃음
697,121,극한직업,송형국,3.5,"웃음을 향한 장인정신, 반갑다 "
698,121,극한직업,허남웅,3.0,‘닭’치고 웃음
699,121,극한직업,임수연,3.5,"설 연휴, 친구·애인·가족·친지 누구와 봐도 성공할 코미디+액션"
700,122,어벤져스: 엔드게임,송형국,3.0,감정이 강점을 앞서나갔다
701,122,어벤져스: 엔드게임,박평식,3.5,회고전의 뒤풀이가 끝나갈 때
702,122,어벤져스: 엔드게임,이용철,4.5,넋 놓고 본 재미있는 구경거리
703,122,어벤져스: 엔드게임,허남웅,4.0,뜨거운 안녕의 끝에서 열렬한 환영의 시작으로
704,122,어벤져스: 엔드게임,임수연,3.0,"지상 최대의 팬 이벤트, ‘최애’에 따라 감상이 갈릴 것"
705,122,어벤져스: 엔드게임,장영엽,3.5,어떤 인물을 지지하는가에 따라 달리 보일 결말
706,123,겨울왕국 2,박평식,3.0,"넓어진 시야, 줄어든 감흥"
707,123,겨울왕국 2,이주현,3.0,정치적 올바름과 기술의 진보를 등에 업고 쌓은 디즈니 공주 왕국 
708,123,겨울왕국 2,송경원,3.5,마법의 이름은 음악과 애니메이션. 단점을 메울 시간에 잘하는 걸 한번 더 보여주는 디즈니식 확장
709,123,겨울왕국 2,허남웅,3.0,미(왕)국의 기원을 찾아 새롭게 개척하기 
710,124,알라딘,박평식,2.5,화려하게 얼렁뚱땅
711,124,알라딘,이용철,3.0,어깨를 들썩이게 하는 뮤지컬
712,124,알라딘,김성훈,3.0,"북치고 장구치는 지니, 제목을 지니로 바꿔야"
713,124,알라딘,김송희,3.0,＜A Whole New World＞가 나올 때까지 기다리세요
714,124,알라딘,임수연,3.0,원작 대비 선방한 건 윌 스미스와 자스민 캐릭터뿐
715,125,기생충,이화정,4.5,"더 넓게, 더 깊게. 확장의 시력으로 현 사회의 계급의식을 탐색하는 봉테일적 시각"
716,125,기생충,김성훈,4.5,‘그’ 집과 ‘그’ 집 사이에 놓인 계단 숫자만큼의 자존감 차이에 대해
717,125,기생충,임수연,4.5,"예술과 상업, 장르의 구분이 무의미한 드문 영화적 체험"
718,125,기생충,김혜리,4.5,정밀한 나머지 비통한 계급의식의 조감도
719,125,기생충,박평식,4.0,‘유쾌한 전율’이 스멀스멀
720,125,기생충,이용철,5.0,"부르주아의 사려 깊은 매력, 취하거나 찌르거나"
721,125,기생충,장영엽,4.5,"시대의 환경을 이식한, 끝내주는 장르영화"
722,125,기생충,이주현,4.5,"뼈를 때리는 블랙 유머, 오랫동안 얼얼하다"
723,125,기생충,송형국,4.5,만인이 투쟁하는 ‘시대의 서스펜스’ 
724,125,기생충,김현수,5.0,2019 반지하 오디세이
725,125,기생충,김소미,4.5,봉준호가 ‘그 검은 상자’를 열어버렸다
726,126,엑시트,김혜리,3.0,"가족, 취업, 연애를 짊어지고 벽타는 한국식 왁자지껄 명랑 재난물"
727,126,엑시트,이용철,3.0,"청춘, 살아남아"
728,126,엑시트,김성훈,4.0,"앞만 보지 않고, 옆도 뒤도 돌아보며 올라가는 재난영화"
729,126,엑시트,허남웅,3.0,헬조선 청년 재난에서 짠내 나게 탈출하기!
730,126,엑시트,임수연,4.0,모든 한국적인 것이 재난액션물의 재료가 된다. 묘하게 짜릿하다
731,126,엑시트,김현수,4.5,한국 청춘을 옭아매는 거의 모든 것으로부터의 탈주
732,127,스파이더맨: 파 프롬 홈,김현수,3.5,제2의 아이언맨으로 임명하겠다는 마블의 의지
733,127,스파이더맨: 파 프롬 홈,이용철,3.0,아이언맨 팔이 안 하던 때가 그립다
734,127,스파이더맨: 파 프롬 홈,임수연,3.5,"톰 홀랜드표 스파이더의 성장, 흐뭇하게 지켜보는 중"
735,127,스파이더맨: 파 프롬 홈,허남웅,3.0,"집 떠나면 고생, 고생 끝에 성장 온다"
736,128,백두산,박평식,2.5,"상투성과 치기, 청승이 불쑥불쑥"
737,128,백두산,이용철,3.0,이해준의 컬러는 줄었으나 한국적 재난영화로 충분히 인상적이다
738,128,백두산,김성훈,3.5,충분히 예상 가능한 전개인데 스펙터클에 눈을 떼기 힘들다
739,128,백두산,허남웅,2.5,"개인보다 국가, 가족보다 의리가 더 중요한 백두(?)버스터의 시대착오적 가치"
740,129,캡틴 마블,박평식,3.0,"적역 캐스팅, 파워풀, 성긴 짜임새"
741,129,캡틴 마블,이용철,3.5,"디즈니의 큰 그림 그리는 재주, 정말 못 당하겠다"
742,129,캡틴 마블,송형국,4.0,여성과 현실정치에 발언하는 올바른 새 출발
743,129,캡틴 마블,허남웅,3.5,나는 히어로물을 보며 어떻게 고양이에 빠지게 됐나
744,129,캡틴 마블,임수연,3.5,"페미니즘부터 난민 이슈까지, 마블의 다음 챕터를 가늠하다"
745,129,캡틴 마블,김혜리,3.5,"자제 따위 넣어두고 당신이 가진 힘에 눈을 뜨라는, 우주의 북소리"
746,129,캡틴 마블,장영엽,3.5,"누구에게 무언가를 증명할 필요 없이, 더 강하게, 더 빠르게"
747,130,조커,박평식,3.5,고담시나 이곳이나 예측 가능한 난장판
748,130,조커,이화정,3.5,"어둠 말곤 보이지 않는, 다키스트 시티"
749,130,조커,장영엽,4.0,자본주의사회로 걸어들어온 코믹스 빌런
750,130,조커,이주현,4.0,호아킨 피닉스의 연기만으로도 극장에 갈 이유는 충분하다
751,130,조커,김현수,2.5,"폭력에 매혹당한 비겁자, 끔찍하게 아름답다"
752,130,조커,임수연,3.5,"냉정한 케이스 스터디라 변명하기엔, 거리두기에 실패"
753,130,조커,허남웅,4.5,영웅과 악당의 경계에서 웃음인지 눈물인지 모를 혼돈의 페이소스 
754,131,라이온 킹,이용철,3.0,너무 생생해서 되레 무섭다. 이번 건 애니메이션의 승
755,131,라이온 킹,임수연,3.0,"라이브 액션이라서, 자연은 더 압도적이고 감정 표현은 미안하다"
756,131,라이온 킹,김혜리,2.5,디즈니 주주에게만 필요한 리메이크
757,131,라이온 킹,허남웅,3.0,어흥! 포효는 큰데 울림은 적은 실사
758,132,봉오동 전투,박평식,2.0,봉오동 포화 속으로
759,132,봉오동 전투,이용철,2.0,<명량>을 바랐을 텐데 <사냥>이 나왔다
760,132,봉오동 전투,이화정,3.0,"이분법을 강조하니, 수위 오버"
761,132,봉오동 전투,이주현,3.0,역사를 기억하는 일이 증오를 확인하는 일은 아니어야 할 텐데
762,132,봉오동 전투,김현수,3.0,최종병기 류준열
763,132,봉오동 전투,허남웅,2.5,"시대의 ‘감정’으로 진을 치고, ‘시대정신’을 포위하다"
764,133,나쁜 녀석들: 더 무비,박평식,2.0,멍청하게 나쁜 척
765,133,나쁜 녀석들: 더 무비,이용철,2.5,무거우니 둔하다
766,133,나쁜 녀석들: 더 무비,이화정,2.5,뭉쳤는데 흥이 나질 않아
767,133,나쁜 녀석들: 더 무비,송경원,2.5,그나마 장점마저 갉아먹은 안일한 기획
768,134,분노의 질주: 홉스&쇼,이용철,3.0,Good to be Home
769,134,분노의 질주: 홉스&쇼,김현수,3.0,"분노 빼고 ‘더락’을, 질주 대신 ‘아드레날린’을 투여"
770,135,82년생 김지영,김혜리,3.0,매우 온건하고 보편적인 한국 여자 이야기
771,135,82년생 김지영,김현수,3.5,우리 모두의 (한국 남자들이 멸시했던) 이야기
772,135,82년생 김지영,장영엽,3.5,"누군가의 딸, 아내, 동료, 엄마가 아닌, 오롯한 여성으로 홀로 서기"
773,135,82년생 김지영,임수연,3.5,"보편적인 김지영, 다른 이를 거치지 않고 스스로 목소리를 내기까지"
774,135,82년생 김지영,이용철,2.0,만듦새는 구식 계몽영화
775,135,82년생 김지영,이화정,3.5,"82년생 김지영이 앉은 그곳, 상담의 자리에 나를, 내 언니를, 내 엄마를 대입. 울분에서 치유로"
776,135,82년생 김지영,이주현,3.5,"영화의 선한 영향력을 생각하게 하는, 우수 권장 도서 같은 영화"
777,135,82년생 김지영,허남웅,3.5,출발‘선’으로 구분하지 않고 출발‘점’ 안에서 하나되는 세상으로 향하기
778,135,82년생 김지영,김소미,3.5,"여성은 왜 다른 여성들에 쉽게 이입할 수밖에 없는가,에 대한 사려 깊은 사유서"
779,136,악인전,이용철,2.0,"좋게 말해 주먹맛, 솔직히 말해 지겹게 봤던 맛"
780,136,악인전,장영엽,3.0,‘마블리’에 봉인됐던 마동석의 액션 본색
781,136,악인전,김성훈,3.5,누가 누가 더 나쁘냐
782,137,돈,박평식,2.0,"새것, 헌것, 버릴 것"
783,137,돈,이용철,2.5,"<월스트리트> 이후 30년, 변한 건?"
784,137,돈,이화정,3.0,"돈이라는 절대 유혹, 시험대에 선 ‘여의도 스트리트’의 구현"
785,137,돈,김성훈,3.0,엔딩에 동의할 수 없는 게 흠
786,137,돈,허남웅,2.5,지금 방금 찍어낸 위조지폐 같은
787,138,토이 스토리 4,박평식,3.5,불씨를 횃불로 키우는 재능
788,138,토이 스토리 4,이용철,4.0,시리즈 전체가 하나의 True American Classic
789,138,토이 스토리 4,임수연,4.5,"관계와 구속, 존재 이유에 대한 시리즈의 새로운 질문"
790,138,토이 스토리 4,김현수,4.5,"1편의 정통이자, 3편의 감동을 뛰어넘는다"
791,138,토이 스토리 4,김혜리,3.5,‘내 아이’를 넘어서는 발상의 전환. 토이 유니버스의 시작?
792,138,토이 스토리 4,허남웅,3.5,이제는 사랑과 모험 찾아 우정의 공간 저 너머로!
793,139,가장 보통의 연애,임수연,3.5,연애 감정은 아슬아슬 플러팅과 알코올을 타고
794,140,말모이,김송희,2.5,울리려고 마구 꼬집어서 울긴 울었다
795,140,말모이,허남웅,2.5,말을 모으기 이전 배우의 케미가 ‘모이’지를 않는다
796,140,말모이,임수연,3.0,대중영화 이야기꾼으로서 엄유나 감독이 가진 재능에 주목
797,140,말모이,이용철,3.0,의로운 사람들이 기억되도록
798,141,시동,김성훈,3.5,4B 시대의 ‘품행제로’
799,141,시동,김현수,3.0,그 청춘에 시동 거는 ‘불꽃 싸다구’
800,141,시동,임수연,3.5,이야기의 야심보단 독창적인 캐릭터에 승부를
801,141,시동,허남웅,3.0,단발머리 휘날리며 다시 시동 거는 ‘태양은 없다’ 
802,141,시동,박평식,2.0,덜 된 죽에 코 빠뜨리기
803,142,블랙머니,박평식,3.0,"시의적절, 맹렬한 추적과 증언"
804,142,블랙머니,이화정,3.0,영화를 통해 날리는 돌직구 비판
805,142,블랙머니,허남웅,3.0,한국 사회의 검은 우물 속에 뛰어들어 정화하려는 노력
806,143,증인,이용철,3.0,인간에 대한 예의를 생각하며
807,143,증인,이주현,3.0,단도직입적 질문의 힘
808,143,증인,송형국,2.5,"장애인 인식, 나아갔지만 갈 길이 멀다"
809,143,증인,허남웅,3.0,복잡한 사람 속을 다루면서 뻔한 전개로 흐르는 모순
810,143,증인,임수연,3.5,좋은 시나리오. 더 좋은 연기
811,144,터미네이터: 다크 페이트,박평식,3.0,반갑되 아쉬운 사라 코너
812,144,터미네이터: 다크 페이트,이용철,3.0,<터미네이터2>의 리메이크처럼 보인다
813,144,터미네이터: 다크 페이트,이주현,3.5,여성 삼각 편대의 막강 케미스트리
814,144,터미네이터: 다크 페이트,김현수,3.5,She will be back!
815,144,터미네이터: 다크 페이트,허남웅,3.0,다음엔 에드워드 펄롱도 소환하려나?
816,145,사바하,이용철,3.0,흥미진진함은 좋으나 메워야 할 부분이 많다
817,145,사바하,김성훈,4.0,많고 많은 신들 중에서 누가 진짭니까
818,145,사바하,허남웅,3.0,연출 퇴마술이 뒤로 갈수록 힘을 발휘하지 못한다
819,145,사바하,임수연,3.5,독창적인 성탄절 영화. <검은 사제들>보다 <사바하>!
820,145,사바하,김소미,3.5,"장재현의 진일보, 속이 꽉 찬 오컬트"
821,146,타짜: 원 아이드 잭,박평식,2.0,상투성에 올인
822,146,타짜: 원 아이드 잭,이용철,3.0,"첫째가 너무 뛰어나면 둘째, 셋째는 괴로울 수밖에"
823,146,타짜: 원 아이드 잭,이화정,3.0,"청년, 소시민들이 던진 카드. 소박하고 상쾌한 타짜들"
824,147,알리타: 배틀 엔젤,김현수,3.5,오 나의 최종전사
825,147,알리타: 배틀 엔젤,송형국,3.5,‘고유한 비트 이미지’ 포착에 기울인 심혈
826,147,알리타: 배틀 엔젤,이용철,3.5,"과격한 비행이 로드리게즈 몫이라면, 안전한 착륙은 카메론 덕분?"
827,147,알리타: 배틀 엔젤,임수연,3.5,사이보그 캐릭터의 특장점과 한계
828,147,알리타: 배틀 엔젤,허남웅,3.5,제임스 카메론? 로버트 로드리게즈! 
829,148,신의 한 수: 귀수편,박평식,1.5,만취한 선무당이 칼부림하듯
830,148,신의 한 수: 귀수편,김성훈,3.5,"바둑이면 바둑, 액션이면 액션, 전편보다 영리하다"
831,149,내안의 그놈,이용철,2.0,밑도 끝도 없는 보디체인지 영화는 왜 자꾸 나오는 걸까?
832,149,내안의 그놈,이주현,2.0,팔짱 끼고 보다 그놈에게 허를 찔렸다
833,150,변신,박평식,1.5,흉내내긴 어렵고 지켜보긴 괴롭다
834,150,변신,이용철,2.0,"달리는 감독, 붙잡는 영화. 한마디로 미스매치"
835,150,변신,이화정,3.0,오컬트 장르의 색다른 변신엔 한표
