,순번,개봉연도,영화명,감독,배급사,개봉일,국적,전국스크린수,전국매출액,전국관객수,장르,등급,영화구분
0,1,2018,신과함께-인과 연,김용화,롯데컬처웍스(주)롯데엔터테인먼트,2018-08-01,한국,2235,102477000000,12253247,판타지,12세이상관람가,일반영화
1,2,2018,어벤져스: 인피니티 워,"안소니 루소,조 루소",월트디즈니컴퍼니코리아 유한책임회사,2018-04-25,미국,2553,99919006769,11211880,액션,12세이상관람가,일반영화
2,3,2018,보헤미안 랩소디,브라이언 싱어,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)",2018-10-31,미국,936,80010440345,9224582,드라마,12세이상관람가,일반영화
3,4,2018,미션 임파서블: 폴아웃,크리스토퍼 맥쿼리,롯데컬처웍스(주)롯데엔터테인먼트,2018-07-25,미국,1957,55888375112,6584915,액션,15세이상관람가,일반영화
4,5,2018,쥬라기 월드: 폴른 킹덤,후안 안토니오 바요나,유니버설픽쳐스인터내셔널 코리아(유),2018-06-06,미국,1972,49770711037,5661128,액션,12세이상관람가,일반영화
5,6,2018,앤트맨과 와스프,페이튼 리드,월트디즈니컴퍼니코리아 유한책임회사,2018-07-04,미국,1775,47465443185,5447826,액션,12세이상관람가,일반영화
6,7,2018,안시성,김광식,(주)넥스트엔터테인먼트월드(NEW),2018-09-19,한국,1540,46335334026,5440186,사극,12세이상관람가,일반영화
7,8,2018,블랙 팬서,라이언 쿠글러,월트디즈니컴퍼니코리아 유한책임회사,2018-02-14,미국,1620,45883143457,5398994,액션,12세이상관람가,일반영화
8,9,2018,완벽한 타인,이재규,롯데컬처웍스(주)롯데엔터테인먼트,2018-10-31,한국,1313,44350807074,5293435,드라마,15세이상관람가,일반영화
9,10,2018,독전,이해영,(주)넥스트엔터테인먼트월드(NEW),2018-05-22,한국,1357,43484892913,5063620,범죄,15세이상관람가,일반영화
10,11,2018,공작,윤종빈,(주)씨제이이엔엠,2018-08-08,한국,1317,42759410176,4971261,드라마,12세이상관람가,일반영화
11,12,2018,베놈,루벤 플레셔,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2018-10-03,미국,1308,34100211207,3888096,액션,15세이상관람가,일반영화
12,13,2018,데드풀 2,데이빗 레이치,이십세기폭스코리아(주),2018-05-16,미국,1576,34185664639,3784602,액션,청소년관람불가,일반영화
13,14,2018,암수살인,김태균,(주)쇼박스,2018-10-03,한국,1177,32855895548,3772620,범죄,15세이상관람가,일반영화
14,15,2018,국가부도의 날,최국희,(주)씨제이이엔엠,2018-11-28,한국,1180,30845862137,3747952,드라마,12세이상관람가,일반영화
15,16,2018,코코,리 언크리치,월트디즈니컴퍼니코리아 유한책임회사,2018-01-11,미국,1177,27685479440,3510017,애니메이션,전체관람가,일반영화
16,17,2018,아쿠아맨,제임스 완,워너브러더스 코리아(주),2018-12-19,미국,1285,30454292381,3491857,액션,12세이상관람가,일반영화
17,18,2018,그것만이 내 세상,최성현,(주)씨제이이엔엠,2018-01-17,한국,862,27441213382,3417629,코미디,12세이상관람가,일반영화
18,19,2018,마녀,박훈정,워너브러더스 코리아(주),2018-06-27,한국,1117,27242029463,3189091,미스터리,15세이상관람가,일반영화
19,20,2018,탐정: 리턴즈,이언희,(주)씨제이이엔엠,2018-06-13,한국,1041,26865721678,3148038,코미디,15세이상관람가,일반영화
20,21,2018,인크레더블 2,브래드 버드,월트디즈니컴퍼니코리아 유한책임회사,2018-07-18,미국,1605,24554683588,3033052,애니메이션,전체관람가,일반영화
21,22,2018,서치,아니쉬 차간티,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2018-08-29,미국,816,25283364845,2949944,드라마,12세이상관람가,일반영화
22,23,2018,너의 결혼식,이석근,메가박스중앙(주)플러스엠,2018-08-22,한국,962,23670604369,2820029,멜로/로맨스,12세이상관람가,일반영화
23,24,2018,곤지암,정범식,(주)쇼박스,2018-03-28,한국,1124,21442114144,2675559,공포(호러),15세이상관람가,일반영화
24,25,2018,지금 만나러 갑니다,이장훈,롯데쇼핑㈜롯데엔터테인먼트,2018-03-14,한국,1163,20800916128,2602273,멜로/로맨스,12세이상관람가,일반영화
25,26,2018,목격자,조규장,(주)넥스트엔터테인먼트월드(NEW),2018-08-15,한국,1021,21732042597,2524086,스릴러,15세이상관람가,일반영화
26,27,2018,조선명탐정: 흡혈괴마의 비밀,김석윤,(주)쇼박스,2018-02-08,한국,1249,19690818764,2424330,사극,12세이상관람가,일반영화
