,순번,개봉연도,영화명,감독,배급사,개봉일,국적,전국스크린수,전국매출액,전국관객수,장르,등급,영화구분
27,28,2018,신비한 동물들과 그린델왈드의 범죄,데이빗 예이츠,워너브러더스 코리아(주),2018-11-14,미국,1601,20816583118,2414062,판타지,12세이상관람가,일반영화
28,29,2018,메이즈 러너: 데스 큐어,웨스 볼,이십세기폭스코리아(주),2018-01-17,미국,1090,18902873104,2299732,액션,12세이상관람가,일반영화
29,30,2018,맘마미아!2,올 파커,유니버설픽쳐스인터내셔널 코리아(유),2018-08-08,미국,750,19532365003,2285143,뮤지컬,12세이상관람가,일반영화
30,31,2018,레디 플레이어 원,스티븐 스필버그,워너브러더스 코리아(주),2018-03-28,미국,1079,19933108071,2254430,액션,12세이상관람가,일반영화
31,32,2018,명당,박희곤,메가박스중앙(주)플러스엠,2018-09-19,한국,1117,17900775524,2087474,사극,12세이상관람가,일반영화
32,33,2018,협상,이종석,(주)씨제이이엔엠,2018-09-19,한국,919,17032133166,1967721,범죄,15세이상관람가,일반영화
33,34,2018,마약왕,우민호,(주)쇼박스,2018-12-19,한국,1297,15784724552,1813594,범죄,청소년관람불가,일반영화
34,35,2018,쥬만지: 새로운 세계,제이크 캐스단,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2018-01-03,미국,791,13814824864,1708672,액션,12세이상관람가,일반영화
35,36,2018,창궐,김성훈,(주)넥스트엔터테인먼트월드(NEW),2018-10-25,한국,1351,13275772490,1599290,사극,15세이상관람가,일반영화
36,37,2018,성난황소,김민호,(주)쇼박스,2018-11-22,한국,1010,13236490737,1593386,범죄,15세이상관람가,일반영화
37,38,2018,도어락,이권,메가박스중앙(주)플러스엠,2018-12-05,한국,954,12683552886,1543800,스릴러,15세이상관람가,일반영화
38,39,2018,리틀 포레스트,임순례,메가박스중앙(주)플러스엠,2018-02-28,한국,884,11924818185,1505560,드라마,전체관람가,일반영화
39,40,2018,골든슬럼버,노동석,(주)씨제이이엔엠,2018-02-14,한국,833,11412768798,1387508,범죄,15세이상관람가,일반영화
40,41,2018,램페이지,브래드 페이튼,워너브러더스 코리아(주),2018-04-12,미국,909,11951980109,1385511,액션,12세이상관람가,일반영화
41,42,2018,궁합,홍창표,(주)씨제이이엔엠,2018-02-28,한국,966,10478875438,1340117,코미디,12세이상관람가,일반영화
42,43,2018,오션스8,게리 로스,워너브러더스 코리아(주),2018-06-13,미국,837,11694325266,1335181,액션,12세이상관람가,일반영화
43,44,2018,사라진 밤,이창희,(주)키다리이엔티,2018-03-07,한국,925,10686397316,1314274,스릴러,15세이상관람가,일반영화
44,45,2018,스윙키즈,강형철,(주)넥스트엔터테인먼트월드(NEW),2018-12-19,한국,984,10304613602,1258317,드라마,12세이상관람가,일반영화
45,46,2018,바람 바람 바람,이병헌,(주)넥스트엔터테인먼트월드(NEW),2018-04-05,한국,985,9702206675,1183959,코미디,청소년관람불가,일반영화
46,47,2018,PMC: 더 벙커,김병우,(주)씨제이이엔엠,2018-12-26,한국,1081,9704247367,1179031,액션,15세이상관람가,일반영화
47,48,2018,범블비,트래비스 나이트,롯데컬처웍스(주)롯데엔터테인먼트,2018-12-25,미국,1016,9756083752,1167150,액션,12세이상관람가,일반영화
48,49,2018,챔피언,김용완,워너브러더스 코리아(주),2018-05-01,한국,874,9441064230,1125319,드라마,12세이상관람가,일반영화
49,50,2018,퍼시픽 림: 업라이징,스티븐 S. 드나이트,유니버설픽쳐스인터내셔널 코리아(유),2018-03-21,미국,1145,8962712795,1077235,액션,15세이상관람가,일반영화
50,51,2018,몬스터 호텔 3,젠디 타타코브스키,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2018-08-08,미국,715,7932156800,1072006,애니메이션,전체관람가,일반영화
51,52,2018,더 넌,코린 하디,워너브러더스 코리아(주),2018-09-19,미국,824,8777844795,1011580,공포(호러),15세이상관람가,일반영화
52,53,2018,스카이스크래퍼,로슨 마샬 터버,유니버설픽쳐스인터내셔널 코리아(유),2018-07-11,미국,831,8612111718,1002858,액션,12세이상관람가,일반영화
53,54,2018,염력,연상호,(주)넥스트엔터테인먼트월드(NEW),2018-01-31,한국,1099,7484644112,990104,드라마,15세이상관람가,일반영화
54,55,2018,월요일이 사라졌다,토미 위르콜라,(주)스마일이엔티,2018-02-22,영국,355,7489885100,903175,액션,15세이상관람가,독립/예술영화
55,56,2018,인랑,김지운,워너브러더스 코리아(주),2018-07-25,한국,1085,6994748173,897548,SF,15세이상관람가,일반영화
56,57,2018,극장판 헬로카봇 : 백악기 시대,"최신규,김진철",(주)넥스트엔터테인먼트월드(NEW),2018-08-01,한국,758,6542619500,874967,애니메이션,전체관람가,일반영화
57,58,2018,상류사회,변혁,롯데컬처웍스(주)롯데엔터테인먼트,2018-08-29,한국,867,6313416163,768442,드라마,청소년관람불가,일반영화
58,59,2018,레슬러,김대웅,롯데쇼핑㈜롯데엔터테인먼트,2018-05-09,한국,957,6440492657,765963,드라마,15세이상관람가,일반영화
59,60,2018,물괴,허종호,"롯데컬처웍스(주)롯데엔터테인먼트,(주)키다리이엔티",2018-09-12,한국,1183,6104164954,723414,액션,15세이상관람가,일반영화
60,61,2018,미쓰백,이지원,(주)리틀빅픽쳐스,2018-10-11,한국,638,6025211066,720292,드라마,15세이상관람가,일반영화
61,62,2018,신비아파트: 금빛 도깨비와 비밀의 동굴,김병갑,(주)씨제이이엔엠,2018-07-25,한국,762,5001247250,678091,애니메이션,전체관람가,일반영화
62,63,2018,퍼스트맨,데이미언 셔젤,유니버설픽쳐스인터내셔널 코리아(유),2018-10-18,미국,1190,6094765639,665364,SF,12세이상관람가,일반영화
63,64,2018,스파이더맨: 뉴 유니버스,"밥 퍼시케티,피터 램지,로드니 로스맨",소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2018-12-12,미국,722,5305289076,639934,애니메이션,12세이상관람가,일반영화
64,65,2018,인시디어스4: 라스트 키,애덤 로비텔,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2018-01-31,미국,769,4301309864,554521,공포(호러),15세이상관람가,일반영화
65,66,2018,"그날, 바다",김지영,(주)엣나인필름,2018-04-12,한국,611,4445554528,540558,다큐멘터리,15세이상관람가,독립/예술영화
66,67,2018,툼레이더,로아 우타우,워너브러더스 코리아(주),2018-03-08,미국,806,4500905762,540410,액션,12세이상관람가,일반영화
67,68,2018,페르디난드,카를로스 살다나,이십세기폭스코리아(주),2018-01-03,미국,698,3854216500,533776,애니메이션,전체관람가,일반영화
68,69,2018,버닝,이창동,CGV아트하우스,2018-05-17,한국,739,4714345098,528153,미스터리,청소년관람불가,일반영화
69,70,2018,7년의 밤,추창민,(주)씨제이이엔엠,2018-03-28,한국,872,3969337524,528007,스릴러,15세이상관람가,일반영화
70,71,2018,메가로돈,존 터틀타웁,워너브러더스 코리아(주),2018-08-15,미국,601,4510731497,527331,액션,12세이상관람가,일반영화
71,72,2018,콰이어트 플레이스,존 크래신스키,롯데쇼핑㈜롯데엔터테인먼트,2018-04-12,미국,677,4580889849,526073,공포(호러),15세이상관람가,일반영화
72,73,2018,호두까기 인형과 4개의 왕국,"라세 할스트롬,조 존스톤",월트디즈니컴퍼니코리아 유한책임회사,2018-12-06,미국,294,4120048900,513767,판타지,전체관람가,일반영화
73,74,2018,셰이프 오브 워터: 사랑의 모양,기예르모 델 토로,이십세기폭스코리아(주),2018-02-22,미국,404,4210511600,506261,어드벤처,청소년관람불가,일반영화
74,75,2018,곰돌이 푸 다시 만나 행복해,마크 포스터,월트디즈니컴퍼니코리아 유한책임회사,2018-10-03,미국,536,4076578860,490307,어드벤처,전체관람가,일반영화
75,76,2018,그린치,스콧 모시어,유니버설픽쳐스인터내셔널 코리아(유),2018-12-19,미국,724,3675369950,485056,애니메이션,전체관람가,일반영화
76,77,2018,스타 이즈 본,브래들리 쿠퍼,워너브러더스 코리아(주),2018-10-09,미국,555,4190754400,482952,드라마,15세이상관람가,일반영화
77,78,2018,변산,이준익,메가박스중앙(주)플러스엠,2018-07-04,한국,763,3886052473,474137,드라마,15세이상관람가,일반영화
78,79,2018,동네사람들,임진순,(주)리틀빅픽쳐스,2018-11-07,한국,731,3797676112,459020,액션,15세이상관람가,일반영화
79,80,2018,원더풀 고스트,조원희,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온",2018-09-26,한국,351,3720931600,450374,코미디,12세이상관람가,일반영화
80,81,2018,흥부: 글로 세상을 바꾼 자,조근현,롯데쇼핑㈜롯데엔터테인먼트,2018-02-14,한국,627,3381050200,416303,사극,12세이상관람가,일반영화
81,82,2018,명탐정 코난 : 제로의 집행인,타치카와 유즈루,(주)씨제이이엔엠,2018-08-08,일본,542,3007522361,395408,애니메이션,12세이상관람가,일반영화
82,83,2018,피터 래빗,윌 글럭,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2018-05-16,미국,599,3006258100,388300,애니메이션,전체관람가,일반영화
83,84,2018,점박이 한반도의 공룡2 : 새로운 낙원,한상호,(주)넥스트엔터테인먼트월드(NEW),2018-12-25,한국,672,2941541400,375312,애니메이션,전체관람가,일반영화
84,85,2018,허스토리,민규동,(주)넥스트엔터테인먼트월드(NEW),2018-06-27,한국,696,2521025949,336822,드라마,12세이상관람가,일반영화
85,86,2018,패딩턴 2,폴 킹,(주)이수C&E,2018-02-08,프랑스,629,2527056200,335906,코미디,전체관람가,독립/예술영화
86,87,2018,미드나잇 선,스콧 스피어,"(주)삼백상회,(주)키다리이엔티",2018-06-21,미국,472,2679300500,326086,멜로/로맨스,12세이상관람가,독립/예술영화
87,88,2018,번 더 스테이지: 더 무비,박준수,월트디즈니컴퍼니코리아 유한책임회사,2018-11-15,한국,243,2671391900,315010,기타,전체관람가,일반영화
88,89,2018,트루스 오어 데어,제프 와드로,유니버설픽쳐스인터내셔널 코리아(유),2018-05-22,미국,530,2647330400,310956,공포(호러),15세이상관람가,일반영화
89,90,2018,덕구,방수인,메가박스중앙(주)플러스엠,2018-04-05,한국,544,2320819700,306126,드라마,전체관람가,일반영화
90,91,2018,커뮤터,자움 콜렛 세라,메가박스중앙(주)플러스엠,2018-01-24,영국,575,2286590955,286042,액션,15세이상관람가,일반영화
91,92,2018,후드,오토 바서스트,(주)이수C&E,2018-11-28,미국,628,2203434149,284601,어드벤처,12세이상관람가,일반영화
92,93,2018,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,타카하시 와타루,(주)씨제이이엔엠,2018-12-19,일본,489,2148708050,277206,애니메이션,전체관람가,일반영화
93,94,2018,모털 엔진,크리스찬 리버스,유니버설픽쳐스인터내셔널 코리아(유),2018-12-05,미국,661,2324362119,267896,액션,12세이상관람가,일반영화
94,95,2018,바울,앤드류 하얏트,(재)CBS,2018-10-31,미국,227,2100137400,267785,드라마,15세이상관람가,독립/예술영화
95,96,2018,나를 차버린 스파이,수잔나 포겔,(주)누리픽쳐스,2018-08-22,미국,278,2346742100,264766,액션,15세이상관람가,일반영화
96,97,2018,명탐정 코난:감벽의 관,야마모토 야스이치로,(주)씨제이이엔엠,2018-02-14,일본,487,1800316000,242164,애니메이션,12세이상관람가,일반영화
97,98,2018,아이 필 프리티,아비 콘,(주)홈초이스,2018-06-06,미국,213,2125902300,240148,코미디,15세이상관람가,일반영화
98,99,2018,시카리오: 데이 오브 솔다도,스테파노 솔리마,㈜코리아스크린,2018-06-27,미국,261,1938637400,229542,액션,15세이상관람가,일반영화
99,100,2018,치즈인더트랩,김제영,(주)리틀빅픽쳐스,2018-03-14,한국,364,1890873700,229005,멜로/로맨스,15세이상관람가,일반영화
100,101,2018,12 솔져스,니콜라이 퓰시,(주)제이앤씨미디어그룹,2018-01-31,미국,211,1833626400,223740,액션,15세이상관람가,독립/예술영화
101,102,2018,1급기밀,홍기선,(주)리틀빅픽쳐스,2018-01-24,한국,512,1720083300,217803,드라마,12세이상관람가,일반영화
102,103,2018,50가지 그림자: 해방,제임스 폴리,유니버설픽쳐스인터내셔널 코리아(유),2018-02-21,미국,213,1866384500,217785,드라마,청소년관람불가,일반영화
103,104,2018,속닥속닥,최상훈,(주)그노스,2018-07-13,한국,314,1900914300,217444,공포(호러),15세이상관람가,일반영화
104,105,2018,벽 속에 숨은 마법시계,일라이 로스,CGV아트하우스,2018-10-31,미국,609,1654715300,215029,판타지,전체관람가,일반영화
105,106,2018,허리케인 하이스트,롭 코헨,(주)넥스트엔터테인먼트월드(NEW),2018-03-14,미국,544,1730262848,214949,액션,15세이상관람가,일반영화
106,107,2018,한 솔로: 스타워즈 스토리,론 하워드,월트디즈니컴퍼니코리아 유한책임회사,2018-05-24,미국,569,1964276778,213980,액션,12세이상관람가,일반영화
107,108,2018,콜 미 바이 유어 네임,루카 구아다니노,"(주)디스테이션,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점",2018-03-22,이탈리아,192,1657199988,198229,드라마,청소년관람불가,독립/예술영화
108,109,2018,나미야 잡화점의 기적,히로키 류이치,(주)이수C&E,2018-02-28,일본,532,1455461885,191880,판타지,전체관람가,독립/예술영화
109,110,2018,업그레이드,리 워넬,유니버설픽쳐스인터내셔널 코리아(유),2018-09-06,미국,220,1740245800,189948,액션,15세이상관람가,일반영화
110,111,2018,런닝맨 : 풀룰루의 역습,윤준상,(주)넥스트엔터테인먼트월드(NEW),2018-12-05,한국,511,1413729750,186191,애니메이션,전체관람가,일반영화
111,112,2018,극장판 포켓몬스터DP - 디아루가 VS 펄기아 VS 다크라이,유야마 쿠니히코,(주)이수C&E,2018-06-06,일본,588,1394555400,183421,애니메이션,전체관람가,독립/예술영화
112,113,2018,극장판 도라에몽: 진구의 보물섬,이마이 카즈아키,(주)이수C&E,2018-08-15,일본,463,1368372400,182256,애니메이션,전체관람가,일반영화
113,114,2018,유전,아리 애스터,(주)팝엔터테인먼트,2018-06-07,미국,422,1560899725,177145,공포(호러),15세이상관람가,일반영화
114,115,2018,더 프레데터,쉐인 블랙,이십세기폭스코리아(주),2018-09-12,미국,582,1502022014,170878,SF,청소년관람불가,일반영화
115,116,2018,어느 가족,고레에다 히로카즈,(주)티캐스트,2018-07-26,일본,126,1411660900,170743,드라마,15세이상관람가,독립/예술영화
116,117,2018,극장판 포켓몬스터 모두의 이야기,야지마 테츠오,(주)이수C&E,2018-12-19,일본,493,1314100400,169677,애니메이션,전체관람가,일반영화
117,118,2018,극장판 요괴워치 섀도사이드: 도깨비왕의 부활,우시로 신지,(주)씨제이이엔엠,2018-09-20,일본,454,1205873200,157689,애니메이션,전체관람가,일반영화
118,119,2018,크레이지 리치 아시안,존 추,워너브러더스 코리아(주),2018-10-25,미국,531,1333313141,154297,멜로/로맨스,12세이상관람가,일반영화
119,120,2018,다운사이징,알렉산더 페인,롯데쇼핑㈜롯데엔터테인먼트,2018-01-11,미국,511,1236582004,150215,드라마,15세이상관람가,일반영화
120,121,2018,나를 기억해,이한욱,(주)키다리이엔티,2018-04-19,한국,545,1227953892,140849,미스터리,청소년관람불가,일반영화
121,122,2018,빅샤크: 매직체인지,헤 질리,와이드 릴리즈(주),2018-06-27,중국,414,1012286700,138705,애니메이션,전체관람가,일반영화
122,123,2018,더 포스트,스티븐 스필버그,CGV아트하우스,2018-02-28,미국,281,1090246148,137841,드라마,12세이상관람가,독립/예술영화
123,124,2018,독전: 익스텐디드 컷,이해영,(주)넥스트엔터테인먼트월드(NEW),2018-07-18,한국,398,844714600,137775,범죄,15세이상관람가,일반영화
124,125,2018,얼리맨,닉 파크,(주)이수C&E,2018-05-03,영국,597,910471000,118612,애니메이션,전체관람가,독립/예술영화
125,126,2018,부탁 하나만 들어줘,폴 페이그,(주)팝엔터테인먼트,2018-12-12,미국,461,988418788,114536,스릴러,청소년관람불가,독립/예술영화
126,127,2018,"안녕, 나의 소녀",사준의,오드,2018-05-16,대만,155,868321954,111541,멜로/로맨스,12세이상관람가,독립/예술영화
127,128,2018,당갈,니테쉬 티와리,(주)넥스트엔터테인먼트월드(NEW),2018-04-25,인도,260,906416500,109441,액션,12세이상관람가,독립/예술영화
128,129,2018,할로윈,데이빗 고든 그린,유니버설픽쳐스인터내셔널 코리아(유),2018-10-31,미국,536,891158713,108780,공포(호러),청소년관람불가,일반영화
129,130,2018,레드 스패로,프란시스 로렌스,이십세기폭스코리아(주),2018-02-28,미국,389,860743700,108344,스릴러,청소년관람불가,일반영화
130,131,2018,게이트,신재호,(주)제이앤씨미디어그룹,2018-02-28,한국,208,820756100,101173,범죄,15세이상관람가,일반영화
131,132,2018,미니특공대X,이영준,(주)삼지애니메이션,2018-03-22,한국,458,744858200,99952,애니메이션,전체관람가,일반영화
132,133,2018,여중생A,이경섭,롯데컬처웍스(주)롯데엔터테인먼트,2018-06-20,한국,479,811686000,97849,드라마,12세이상관람가,일반영화
133,134,2018,레이디 버드,그레타 거윅,유니버설픽쳐스인터내셔널 코리아(유),2018-04-04,미국,344,794126700,97777,코미디,15세이상관람가,일반영화
134,135,2018,쓰리 빌보드,마틴 맥도나,이십세기폭스코리아(주),2018-03-15,미국,110,796847700,97079,코미디,15세이상관람가,일반영화
135,136,2018,마야2,"노엘 클리어리,세르지오 델피노",(주)영화사 빅,2018-02-01,독일,429,670314200,94179,애니메이션,전체관람가,독립/예술영화
136,137,2018,커다랗고 커다랗고 커다란 배,"필립 립스키,요르겐 레르담",예지림엔터테인먼트,2018-05-03,덴마크,350,737815900,94151,애니메이션,전체관람가,독립/예술영화
137,138,2018,베일리 어게인,라세 할스트롬,(주)홈초이스,2018-11-22,미국,189,796864900,93691,어드벤처,전체관람가,독립/예술영화
138,139,2018,루이스,"울프강 라우엔슈타인,크리스토프 라우엔슈타인",(주)스마일이엔티,2018-09-20,독일,325,729147750,93000,애니메이션,전체관람가,독립/예술영화
139,140,2018,셜록 놈즈,존 스티븐슨,"(주)키다리이엔티,(주)삼백상회",2018-10-03,미국,440,644661200,86784,애니메이션,전체관람가,독립/예술영화
140,141,2018,플로리다 프로젝트,션 베이커,오드,2018-03-07,미국,126,726925600,86406,드라마,15세이상관람가,독립/예술영화
141,142,2018,신은 죽지 않았다 3: 어둠 속의 빛,마이클 메이슨,"(주)영화사 그램,(재)CBS",2018-07-19,미국,179,646846900,83474,드라마,12세이상관람가,독립/예술영화
142,143,2018,출국,노규엽,,2018-11-14,한국,274,639521850,81722,드라마,15세이상관람가,독립/예술영화
143,144,2018,호텔 아르테미스,드류 피어스,판씨네마(주),2018-07-18,미국,465,646127100,77794,액션,15세이상관람가,일반영화
144,145,2018,마일22,피터 버그,(주)팝엔터테인먼트,2018-08-23,미국,203,600495500,69834,액션,15세이상관람가,일반영화
145,146,2018,올 더 머니,리들리 스콧,판씨네마(주),2018-02-01,미국,260,547011500,67602,범죄,15세이상관람가,독립/예술영화
146,147,2018,여곡성,유영선,(주)스마일이엔티,2018-11-08,한국,212,594373400,67368,공포(호러),15세이상관람가,일반영화
147,148,2018,레오나르도 다 빈치,세르지오 맨피오,(주)스마일이엔티,2018-04-26,이탈리아,150,509942200,64405,애니메이션,전체관람가,독립/예술영화
148,149,2018,번개맨과 신비의 섬,김지열,"힘컨텐츠(주),(주)디스테이션",2018-04-05,한국,191,481474700,59923,가족,전체관람가,일반영화
149,150,2018,소공녀,전고운,CGV아트하우스,2018-03-22,한국,284,469303200,58653,멜로/로맨스,15세이상관람가,독립/예술영화
150,151,2018,킬링 디어,요르고스 란티모스,오드,2018-07-12,미국,68,501031000,58185,스릴러,청소년관람불가,독립/예술영화
151,152,2018,엘리엇과 산타 썰매단,제니퍼 웨스트콧,(주)팝엔터테인먼트,2018-12-12,캐나다,335,399032800,57579,애니메이션,전체관람가,독립/예술영화
152,153,2018,어드리프트:우리가 함께한 바다,발타자르 코루마쿠르,(주)이수C&E,2018-09-06,미국,490,467136418,57331,멜로/로맨스,12세이상관람가,독립/예술영화
153,154,2018,헌터 킬러,도노반 마시,(주)키다리이엔티,2018-12-06,미국,226,459510450,55919,액션,15세이상관람가,일반영화
154,155,2018,매직빈,조이 주,(주)영화사 빅,2018-05-03,중국,534,427992700,55804,애니메이션,전체관람가,독립/예술영화
155,156,2018,"부르고뉴, 와인에서 찾은 인생",세드릭 클래피쉬,(주)티캐스트,2018-05-03,프랑스,55,462165900,53175,드라마,15세이상관람가,독립/예술영화
156,157,2018,머니백,허준형,(주)리틀빅픽쳐스,2018-04-12,한국,472,411511600,52618,액션,15세이상관람가,일반영화
157,158,2018,너의 췌장을 먹고 싶어,우시지마 신이치로,(주)넥스트엔터테인먼트월드(NEW),2018-11-15,일본,319,408323605,52135,애니메이션,12세이상관람가,독립/예술영화
159,160,2018,살인소설,김진묵,"(주)스톰픽쳐스코리아,(주)페퍼민트앤컴퍼니",2018-04-25,한국,434,392591200,49682,스릴러,15세이상관람가,독립/예술영화
160,161,2018,번개맨의 비밀,강유선,(주)디스테이션,2018-12-06,한국,309,382525050,49574,가족,전체관람가,일반영화
161,162,2018,폴란드로 간 아이들,추상미,커넥트픽쳐스(주),2018-10-31,한국,181,371846800,48462,다큐멘터리,전체관람가,독립/예술영화
162,163,2018,데자뷰,고경민,(주)키다리이엔티,2018-05-30,한국,536,360833100,48279,미스터리,15세이상관람가,일반영화
163,164,2018,온리 더 브레이브,조셉 코신스키,㈜코리아스크린,2018-03-07,미국,301,373727300,47540,드라마,12세이상관람가,일반영화
164,165,2018,"스탠바이, 웬디",벤 루윈,판씨네마(주),2018-05-30,미국,345,373587080,47223,드라마,전체관람가,독립/예술영화
165,166,2018,나츠메 우인장: 세상과 연을 맺다,"오오모리 타카히로,이토 히데키",(주)애니플러스,2018-10-31,일본,110,387190200,46913,애니메이션,전체관람가,일반영화
166,167,2018,비밥바룰라,이성재,(주)키다리이엔티,2018-01-24,한국,347,318986200,46817,코미디,12세이상관람가,일반영화
167,168,2018,에그엔젤 코코밍: 두근두근 핼러윈 파티,닛타 노리오,(주)엠제이픽쳐스,2018-09-22,일본,179,367076000,46386,애니메이션,전체관람가,일반영화
169,170,2018,플로이,아르니 올라푸르 아스게이르손,(주)스마일이엔티,2018-08-15,아이슬란드,242,329325300,44141,애니메이션,전체관람가,독립/예술영화
170,171,2018,다이노 어드벤처2: 육해공 공룡 대백과,마이크 데블린,(주)박수엔터테인먼트,2018-10-09,영국,322,335469900,43627,애니메이션,전체관람가,일반영화
171,172,2018,아일라,칸 울카이,(주)영화사 빅,2018-06-21,터키,371,331882900,43612,드라마,15세이상관람가,독립/예술영화
172,173,2018,극장판 뽀잉: 슈퍼 변신의 비밀,정미화,"(주)이수C&E,(주)시너지미디어",2018-09-20,한국,294,312710450,41054,애니메이션,전체관람가,일반영화
173,174,2018,배반의 장미,박진영,롯데컬처웍스(주)롯데엔터테인먼트,2018-10-18,한국,457,332232550,41054,코미디,15세이상관람가,일반영화
174,175,2018,더 포리너,마틴 캠벨,"(주)더블앤조이픽쳐스,TCO(주)더콘텐츠온",2018-02-07,영국,156,328887800,40882,액션,15세이상관람가,일반영화
175,176,2018,이별의 아침에 약속의 꽃을 장식하자,오카다 마리,(주)미디어캐슬,2018-07-19,일본,121,321863500,37764,애니메이션,12세이상관람가,독립/예술영화
176,177,2018,정글번치: 최강 악당의 등장,다비드 알로,(주)팝엔터테인먼트,2018-04-19,프랑스,331,292593700,37343,애니메이션,전체관람가,독립/예술영화
