,순번,개봉연도,영화명,감독,배급사,개봉일,국적,전국스크린수,전국매출액,전국관객수,장르,등급,영화구분
0,1,2013,7번방의 선물,이환경,(주)넥스트엔터테인먼트월드(NEW),2013-01-23,한국,787,91431914670,12811206,코미디,15세이상관람가,일반영화
1,2,2013,아이언맨 3,쉐인 블랙,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-04-25,미국,1381,70806191000,9001309,액션,12세이상관람가,일반영화
2,3,2013,관상,한재림,(주)쇼박스,2013-09-11,한국,1190,66005451500,9134586,사극,15세이상관람가,일반영화
3,4,2013,설국열차,봉준호,(주)씨제이이엔엠,2013-08-01,한국,1128,64016480000,8914845,SF,15세이상관람가,일반영화
4,5,2013,베를린,류승완,(주)씨제이이엔엠,2013-01-30,한국,894,52354931637,7166199,액션,15세이상관람가,일반영화
5,6,2013,은밀하게 위대하게,장철수,(주)쇼박스,2013-06-05,한국,1341,48663939413,6953800,액션,15세이상관람가,일반영화
6,7,2013,변호인,양우석,(주)넥스트엔터테인먼트월드(NEW),2013-12-18,한국,923,40938257500,5684893,드라마,15세이상관람가,일반영화
7,8,2013,더 테러 라이브,김병우,롯데쇼핑㈜롯데엔터테인먼트,2013-07-31,한국,743,39866712881,5583596,범죄,15세이상관람가,일반영화
8,9,2013,숨바꼭질,허정,(주)넥스트엔터테인먼트월드(NEW),2013-08-14,한국,779,39593038500,5602543,스릴러,15세이상관람가,일반영화
9,10,2013,감시자들,"조의석,김병서",(주)넥스트엔터테인먼트월드(NEW),2013-07-03,한국,949,39298005179,5496547,범죄,15세이상관람가,일반영화
10,11,2013,월드 워 Z,마크 포스터,롯데쇼핑㈜롯데엔터테인먼트,2013-06-20,미국,964,38555357000,5237525,드라마,15세이상관람가,일반영화
11,12,2013,신세계,박훈정,(주)넥스트엔터테인먼트월드(NEW),2013-02-21,한국,671,34881330905,4682492,범죄,청소년관람불가,일반영화
12,13,2013,그래비티,알폰소 쿠아론,"주식회사 해리슨앤컴퍼니,워너브러더스 코리아(주)",2013-10-17,미국,636,31214069600,3194698,SF,12세이상관람가,일반영화
13,14,2013,박수건달,조진규,(주)쇼박스,2013-01-09,한국,599,28343986569,3893216,코미디,15세이상관람가,일반영화
14,15,2013,스파이,이승준,(주)씨제이이엔엠,2013-09-05,한국,785,24436429305,3423920,액션,15세이상관람가,일반영화
15,16,2013,토르: 다크 월드,앨런 테일러,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-10-30,미국,733,22525808500,3039889,액션,12세이상관람가,일반영화
16,17,2013,친구 2,곽경택,롯데쇼핑㈜롯데엔터테인먼트,2013-11-14,한국,968,21795237513,2969900,액션,청소년관람불가,일반영화
17,18,2013,감기,김성수,아이러브시네마,2013-08-14,한국,806,21784202000,3119023,드라마,15세이상관람가,일반영화
18,19,2013,레드: 더 레전드,딘 패리소트,롯데쇼핑㈜롯데엔터테인먼트,2013-07-18,미국,739,21511358970,3004647,액션,15세이상관람가,일반영화
19,20,2013,어바웃 타임,리차드 커티스,유니버설픽쳐스인터내셔널 코리아(유),2013-12-05,영국,568,20793462500,2839549,멜로/로맨스,15세이상관람가,일반영화
20,21,2013,퍼시픽 림,길예르모 델 토로,워너브러더스 코리아(주),2013-07-11,미국,1005,20477392512,2539114,액션,12세이상관람가,일반영화
21,22,2013,나우 유 씨 미 : 마술사기단,루이스 리테리어,롯데쇼핑㈜롯데엔터테인먼트,2013-08-22,미국,691,19146691869,2718227,범죄,12세이상관람가,일반영화
22,23,2013,소원,이준익,롯데쇼핑㈜롯데엔터테인먼트,2013-10-02,한국,641,18251983100,2663170,드라마,12세이상관람가,일반영화
23,24,2013,화이: 괴물을 삼킨 아이,장준환,(주)쇼박스,2013-10-09,한국,817,17678572795,2391950,액션,청소년관람불가,일반영화
24,25,2013,맨 오브 스틸,잭 스나이더,워너브러더스 코리아(주),2013-06-13,미국,998,17092964063,2182227,SF,12세이상관람가,일반영화
25,26,2013,호빗: 스마우그의 폐허,피터 잭슨,워너브러더스 코리아(주),2013-12-12,미국,811,16564184549,2115878,어드벤처,12세이상관람가,일반영화
26,27,2013,컨저링,제임스 완,워너브러더스 코리아(주),2013-09-17,미국,553,16353225777,2262758,공포(호러),15세이상관람가,일반영화
27,28,2013,라이프 오브 파이,이안,"주식회사 해리슨앤컴퍼니,이십세기폭스코리아(주)",2013-01-01,미국,392,15812506500,1588373,어드벤처,전체관람가,독립/예술영화
28,29,2013,용의자,원신연,(주)쇼박스,2013-12-24,한국,807,15629492500,2176752,액션,15세이상관람가,일반영화
29,30,2013,몽타주,정근섭,(주)넥스트엔터테인먼트월드(NEW),2013-05-16,한국,540,15000722500,2095375,스릴러,15세이상관람가,일반영화
30,31,2013,지.아이.조 2,존 추,(주)씨제이이엔엠,2013-03-28,미국,766,14457048500,1855917,액션,15세이상관람가,일반영화
31,32,2013,연애의 온도,노덕,롯데쇼핑㈜롯데엔터테인먼트,2013-03-21,한국,567,13798864446,1865195,멜로/로맨스,청소년관람불가,일반영화
32,33,2013,분노의 질주: 더 맥시멈,저스틴 린,유니버설픽쳐스인터내셔널 코리아(유),2013-05-22,미국,656,13203523042,1790457,액션,15세이상관람가,일반영화
33,34,2013,터보,데이빗 소렌,(주)씨제이이엔엠,2013-07-25,미국,634,13113579000,1923748,애니메이션,전체관람가,일반영화
34,35,2013,스타트렉 다크니스,J.J. 에이브럼스,(주)씨제이이엔엠,2013-05-30,미국,607,12964828000,1605271,액션,12세이상관람가,일반영화
35,36,2013,전설의 주먹,강우석,(주)씨제이이엔엠,2013-04-10,한국,724,12732236500,1737253,드라마,청소년관람불가,일반영화
36,37,2013,집으로 가는 길,방은진,(주)씨제이이엔엠,2013-12-11,한국,740,12373339745,1763231,드라마,15세이상관람가,일반영화
37,38,2013,공범,국동석,(주)씨제이이엔엠,2013-10-24,한국,611,12333110882,1766285,스릴러,15세이상관람가,일반영화
38,39,2013,파파로티,윤종찬,(주)쇼박스,2013-03-14,한국,552,11808286000,1713891,드라마,15세이상관람가,일반영화
39,40,2013,오블리비언,조셉 코신스키,유니버설픽쳐스인터내셔널 코리아(유),2013-04-11,미국,634,11165841500,1515356,액션,15세이상관람가,일반영화
40,41,2013,다이하드: 굿 데이 투 다이,존 무어,이십세기폭스코리아(주),2013-02-06,미국,459,10825703000,1438056,액션,15세이상관람가,일반영화
41,42,2013,위대한 개츠비,바즈 루어만,워너브러더스 코리아(주),2013-05-16,미국,562,10580582143,1445124,드라마,15세이상관람가,일반영화
42,43,2013,런닝맨,조동오,이십세기폭스코리아(주),2013-04-04,한국,567,10011200500,1416053,액션,15세이상관람가,일반영화
43,44,2013,미스터 고,김용화,(주)쇼박스,2013-07-17,한국,840,9337990000,1328890,코미디,12세이상관람가,일반영화
44,45,2013,엘리시움,닐 블롬캠프,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-08-29,미국,588,9017994500,1207732,SF,청소년관람불가,일반영화
45,46,2013,깡철이,안권태,(주)씨제이이엔엠,2013-10-02,한국,707,8534777462,1204666,드라마,15세이상관람가,일반영화
46,47,2013,더 웹툰: 예고살인,김용균,(주)씨제이이엔엠,2013-06-27,한국,541,8534322070,1201033,공포(호러),15세이상관람가,일반영화
47,48,2013,결혼전야,홍지영,씨너스엔터테인먼트(주),2013-11-21,한국,524,8421342719,1210277,멜로/로맨스,15세이상관람가,일반영화
48,49,2013,웜 바디스,조나단 레빈,(주)씨제이이엔엠,2013-03-14,미국,477,8361708124,1169839,멜로/로맨스,15세이상관람가,일반영화
49,50,2013,고령화 가족,송해성,(주)씨제이이엔엠,2013-05-09,한국,583,8159482153,1139250,드라마,15세이상관람가,일반영화
50,51,2013,헝거게임: 캣칭 파이어,프란시스 로렌스,롯데쇼핑㈜롯데엔터테인먼트,2013-11-21,미국,630,7850816000,1125739,판타지,15세이상관람가,일반영화
51,52,2013,더 울버린,제임스 맨골드,이십세기폭스코리아(주),2013-07-25,미국,707,7849518000,1075333,액션,15세이상관람가,일반영화
52,53,2013,잭 더 자이언트 킬러,브라이언 싱어,워너브러더스 코리아(주),2013-02-28,미국,507,7376481000,956154,판타지,12세이상관람가,일반영화
53,54,2013,동창생,박홍수,(주)쇼박스,2013-11-06,한국,660,6983395126,1044522,액션,15세이상관람가,일반영화
54,55,2013,뽀로로 극장판 슈퍼썰매 대모험,박영균,"(주)넥스트엔터테인먼트월드(NEW),(주)씨제이이엔엠",2013-01-23,한국,459,6819979500,929985,애니메이션,전체관람가,일반영화
55,56,2013,에픽 : 숲속의 전설,크리스 웻지,이십세기폭스코리아(주),2013-08-07,미국,471,6702639000,973703,애니메이션,전체관람가,일반영화
56,57,2013,전국노래자랑,이종필,롯데쇼핑㈜롯데엔터테인먼트,2013-05-01,한국,581,6606589000,963634,코미디,12세이상관람가,일반영화
57,58,2013,크루즈 패밀리,"커크 드 미코,크리스 샌더스",(주)씨제이이엔엠,2013-05-16,미국,525,6540060500,941615,애니메이션,전체관람가,일반영화
58,59,2013,슈퍼배드 2,"크리스 리노드,피에르 꼬팽",유니버설픽쳐스인터내셔널 코리아(유),2013-09-12,미국,421,6359208000,925108,애니메이션,전체관람가,일반영화
59,60,2013,열한시,김현석,(주)씨제이이엔엠,2013-11-28,한국,512,6097792000,870785,스릴러,15세이상관람가,일반영화
60,61,2013,몬스터 호텔,젠디 타타코브스키,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-01-17,미국,489,6080221500,884885,애니메이션,전체관람가,일반영화
61,62,2013,남쪽으로 튀어,임순례,롯데쇼핑㈜롯데엔터테인먼트,2013-02-06,한국,428,5907297500,821918,코미디,15세이상관람가,일반영화
62,63,2013,몬스터 대학교,댄 스캔론,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-09-12,미국,381,5873833500,870065,애니메이션,전체관람가,일반영화
63,64,2013,잭 리처,크리스토퍼 맥쿼리,(주)씨제이이엔엠,2013-01-17,미국,431,5758577000,784031,액션,15세이상관람가,일반영화
64,65,2013,개구쟁이 스머프 2,라자 고스넬,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-08-01,미국,478,5655415500,869805,애니메이션,전체관람가,일반영화
65,66,2013,하늘에서 음식이 내린다면 2,"코디 카메론,크리스 피언",소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-11-21,미국,545,5411562500,797850,애니메이션,전체관람가,일반영화
66,67,2013,더 파이브,정연식,(주)씨제이이엔엠,2013-11-14,한국,501,5343797000,731212,스릴러,청소년관람불가,일반영화
67,68,2013,더 임파서블,후안 안토니오 바요나,롯데쇼핑㈜롯데엔터테인먼트,2013-01-17,스페인,408,4444581500,622572,액션,12세이상관람가,일반영화
68,69,2013,다이노소어 어드벤처 3D,"베리 쿡,닐 나이팅게일",이십세기폭스코리아(주),2013-12-19,미국,464,4140930000,507164,액션,전체관람가,일반영화
69,70,2013,섀도우 헌터스: 뼈의 도시,해럴드 즈워트,롯데쇼핑㈜롯데엔터테인먼트,2013-09-12,미국,374,4034176500,571074,판타지,15세이상관람가,일반영화
