,순번,개봉연도,영화명,감독,배급사,개봉일,국적,전국스크린수,전국매출액,전국관객수,장르,등급,영화구분
0,1,2019,극한직업,이병헌,(주)씨제이이엔엠,2019-01-23,한국,1978,41223596650,16264944,코미디,15세이상관람가,일반영화
1,2,2019,어벤져스: 엔드게임,"안소니 루소,조 루소",월트디즈니컴퍼니코리아 유한책임회사,2019-04-24,미국,2835,38554527990,13934592,액션,12세이상관람가,일반영화
2,3,2019,겨울왕국 2,"크리스 벅,제니퍼 리",월트디즈니컴퍼니코리아 유한책임회사,2019-11-21,미국,2648,33071341280,13369064,애니메이션,전체관람가,일반영화
3,4,2019,알라딘,가이 리치,월트디즈니컴퍼니코리아 유한책임회사,2019-05-23,미국,1311,20614278000,12552283,어드벤처,전체관람가,일반영화
4,5,2019,기생충,봉준호,(주)씨제이이엔엠,2019-05-30,한국,1948,18396929850,10085275,드라마,15세이상관람가,일반영화
5,6,2019,엑시트,이상근,(주)씨제이이엔엠,2019-07-31,한국,1660,15965329900,9426011,코미디,12세이상관람가,일반영화
6,7,2019,스파이더맨: 파 프롬 홈,존 왓츠,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2019-07-02,미국,2142,14655366110,8020208,액션,12세이상관람가,일반영화
7,8,2019,백두산,"이해준,김병서","(주)씨제이이엔엠,(주)덱스터스튜디오",2019-12-19,한국,1971,14748867550,6290502,어드벤처,12세이상관람가,일반영화
8,9,2019,캡틴 마블,"애너 보든,라이언 플렉",월트디즈니컴퍼니코리아 유한책임회사,2019-03-06,미국,2100,13449206760,5801069,액션,12세이상관람가,일반영화
9,10,2019,조커,토드 필립스,워너브러더스 코리아(주),2019-10-02,미국,1418,13981414470,5247794,액션,15세이상관람가,일반영화
10,11,2019,봉오동 전투,원신연,(주)쇼박스,2019-08-07,한국,1476,12765456530,4779501,사극,15세이상관람가,일반영화
11,12,2019,라이온 킹,존 파브로,월트디즈니컴퍼니코리아 유한책임회사,2019-07-17,미국,1936,13751660410,4743184,어드벤처,전체관람가,일반영화
12,13,2019,나쁜 녀석들: 더 무비,손용호,(주)씨제이이엔엠,2019-09-11,한국,1511,10920792280,4573902,범죄,15세이상관람가,일반영화
13,14,2019,82년생 김지영,김도영,롯데컬처웍스(주)롯데엔터테인먼트,2019-10-23,한국,1486,10979887910,3678156,드라마,12세이상관람가,일반영화
14,15,2019,분노의 질주: 홉스&쇼,데이빗 레이치,유니버설픽쳐스인터내셔널 코리아(유),2019-08-14,미국,1311,10154099090,3657536,액션,12세이상관람가,일반영화
15,16,2019,토이 스토리 4,조시 쿨리,월트디즈니컴퍼니코리아 유한책임회사,2019-06-20,미국,1336,7858099340,3399913,애니메이션,전체관람가,일반영화
16,17,2019,돈,박누리,(주)쇼박스,2019-03-20,한국,1431,7872002760,3389035,범죄,15세이상관람가,일반영화
17,18,2019,악인전,이원태,"(주)에이스메이커무비웍스,(주)키위미디어그룹",2019-05-15,한국,1307,7240616830,3364079,범죄,청소년관람불가,일반영화
18,19,2019,가장 보통의 연애,김한결,(주)넥스트엔터테인먼트월드(NEW),2019-10-02,한국,1073,5442138750,2917213,멜로/로맨스,15세이상관람가,일반영화
19,20,2019,말모이,엄유나,롯데컬처웍스(주)롯데엔터테인먼트,2019-01-09,한국,1203,5057108660,2812444,드라마,12세이상관람가,일반영화
20,21,2019,시동,최정열,(주)넥스트엔터테인먼트월드(NEW),2019-12-18,한국,1515,5015895060,2525986,드라마,15세이상관람가,일반영화
21,22,2019,증인,이한,롯데컬처웍스(주)롯데엔터테인먼트,2019-02-13,한국,1047,4880576760,2516128,드라마,12세이상관람가,일반영화
22,23,2019,블랙머니,정지영,(주)에이스메이커무비웍스,2019-11-13,한국,1117,4496549760,2464978,범죄,12세이상관람가,일반영화
23,24,2019,터미네이터: 다크 페이트,팀 밀러,월트디즈니컴퍼니코리아 유한책임회사,2019-10-30,미국,1315,4806314000,2409062,액션,15세이상관람가,일반영화
24,25,2019,사바하,장재현,(주)씨제이이엔엠,2019-02-20,한국,1174,4704790210,2397792,미스터리,15세이상관람가,일반영화
25,26,2019,타짜: 원 아이드 잭,권오광,롯데컬처웍스(주)롯데엔터테인먼트,2019-09-11,한국,1429,3689131180,2227671,범죄,청소년관람불가,일반영화
26,27,2019,신의 한 수: 귀수편,리건,(주)씨제이이엔엠,2019-11-07,한국,1246,3647897960,2146764,범죄,15세이상관람가,일반영화
27,28,2019,알리타: 배틀 엔젤,로버트 로드리게즈,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)",2019-02-05,미국,1043,3581335060,1949372,액션,12세이상관람가,일반영화
28,29,2019,내안의 그놈,강효진,"(주)메리크리스마스,TCO(주)더콘텐츠온",2019-01-09,한국,1041,3558023900,1901684,판타지,15세이상관람가,일반영화
29,30,2019,뺑반,한준희,(주)쇼박스,2019-01-30,한국,1285,3548999190,1826714,범죄,15세이상관람가,일반영화
30,31,2019,변신,김홍선,(주)에이스메이커무비웍스,2019-08-21,한국,975,3490431460,1804112,공포(호러),15세이상관람가,일반영화
31,32,2019,주먹왕 랄프 2: 인터넷 속으로,리치 무어,월트디즈니컴퍼니코리아 유한책임회사,2019-01-03,미국,1453,2798758600,1754375,애니메이션,전체관람가,일반영화
32,33,2019,걸캅스,정다원,(주)씨제이이엔엠,2019-05-09,한국,973,2777724520,1625037,코미디,15세이상관람가,일반영화
33,34,2019,사자,김주환,롯데컬처웍스(주)롯데엔터테인먼트,2019-07-31,한국,1405,2560441600,1609737,미스터리,15세이상관람가,일반영화
34,35,2019,드래곤 길들이기 3,딘 데블로이스,유니버설픽쳐스인터내셔널 코리아(유),2019-01-30,미국,971,2079737620,1506942,애니메이션,전체관람가,일반영화
35,36,2019,어스,조던 필,유니버설픽쳐스인터내셔널 코리아(유),2019-03-27,미국,1132,2135396020,1475087,공포(호러),15세이상관람가,일반영화
36,37,2019,말레피센트 2,요아킴 뢰닝,월트디즈니컴퍼니코리아 유한책임회사,2019-10-17,미국,1108,1619781870,1444952,어드벤처,12세이상관람가,일반영화
37,38,2019,나의 특별한 형제,육상효,(주)넥스트엔터테인먼트월드(NEW),2019-05-01,한국,936,1673427570,1441813,드라마,12세이상관람가,일반영화
38,39,2019,유열의 음악앨범,정지우,CGV아트하우스,2019-08-28,한국,1078,1651188580,1245532,멜로/로맨스,12세이상관람가,일반영화
39,40,2019,포드 V 페라리,제임스 맨골드,월트디즈니컴퍼니코리아 유한책임회사,2019-12-04,미국,986,1520624340,1202391,액션,12세이상관람가,일반영화
40,41,2019,생일,이종언,(주)넥스트엔터테인먼트월드(NEW),2019-04-03,한국,862,1168000320,1186283,드라마,전체관람가,일반영화
41,42,2019,"힘을 내요, 미스터 리",이계벽,(주)넥스트엔터테인먼트월드(NEW),2019-09-11,한국,990,1288696100,1176076,코미디,12세이상관람가,일반영화
42,43,2019,항거:유관순 이야기,조민호,롯데컬처웍스(주)롯데엔터테인먼트,2019-02-27,한국,1094,1251474838,1157707,드라마,12세이상관람가,독립/예술영화
43,44,2019,퍼펙트맨,용수,(주)쇼박스,2019-10-02,한국,894,1160249000,1144894,코미디,15세이상관람가,일반영화
44,45,2019,장사리 : 잊혀진 영웅들,"곽경택,김태훈",워너브러더스 코리아(주),2019-09-25,한국,1090,1025381740,1140876,전쟁,12세이상관람가,일반영화
45,46,2019,마이펫의 이중생활 2,크리스 리노드,유니버설픽쳐스인터내셔널 코리아(유),2019-07-31,미국,933,1096657740,1114941,애니메이션,전체관람가,일반영화
46,47,2019,롱 리브 더 킹: 목포 영웅,강윤성,"메가박스중앙(주)플러스엠,(주)콘텐츠 난다긴다",2019-06-19,한국,965,1004751550,1092738,액션,15세이상관람가,일반영화
47,48,2019,쥬만지: 넥스트 레벨,제이크 캐스단,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2019-12-11,미국,1195,932457150,1054963,액션,12세이상관람가,일반영화
48,49,2019,존 윅 3: 파라벨룸,채드 스타헬스키,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온",2019-06-26,미국,849,1016037190,1004347,액션,청소년관람불가,일반영화
49,50,2019,천문: 하늘에 묻는다,허진호,롯데컬처웍스(주)롯데엔터테인먼트,2019-12-26,한국,1198,948260200,965624,사극,12세이상관람가,일반영화
