순번,개봉연도,영화명,감독,제작사,수입사,배급사,개봉일,국적,전국스크린수,전국매출액,전국관객수,장르,등급,영화구분
1,2016,부산행,연상호,(주)영화사레드피터,,(주)넥스트엔터테인먼트월드(NEW),2016-07-20,한국,1788,93175877048,11565078,액션,15세이상관람가,일반영화
2,2016,검사외전,이일형,"(주)영화사 월광,(주)사나이픽처스",,(주)쇼박스,2016-02-03,한국,1812,77252755264,9699092,범죄,15세이상관람가,일반영화
3,2016,캡틴 아메리카: 시빌 워,"안소니 루소,조 루소",,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-04-27,미국,1991,72672111827,8677249,액션,12세이상관람가,일반영화
4,2016,밀정,김지운,"(주)다크서클픽쳐스,워너브러더스 코리아(주),(주)영화사하얼빈",,워너브러더스 코리아(주),2016-09-07,한국,1444,61158644831,7487545,액션,15세이상관람가,일반영화
5,2016,터널,김성훈,"(주)어나더썬데이,(주)비에이엔터테인먼트",,(주)쇼박스,2016-08-10,한국,1105,57510324417,7118592,드라마,12세이상관람가,일반영화
6,2016,인천상륙작전,이재한,(주)태원엔터테인먼트,,(주)씨제이이엔엠,2016-07-27,한국,1049,55101410303,7049643,전쟁,12세이상관람가,일반영화
7,2016,럭키,이계벽,(주)용필름,,(주)쇼박스,2016-10-13,한국,1158,56361435256,6965706,코미디,15세이상관람가,일반영화
8,2016,곡성,나홍진,"(주)사이드미러,이십세기폭스 인터내셔널 프로덕션",,이십세기폭스코리아(주),2016-05-12,한국,1485,55853108382,6878264,미스터리,15세이상관람가,일반영화
9,2016,덕혜옹주,허진호,"(주)하이브미디어코프,(주)영화사호필름 ,(주)디씨지플러스",,롯데쇼핑㈜롯데엔터테인먼트,2016-08-03,한국,964,44344141109,5593551,사극,12세이상관람가,일반영화
10,2016,닥터 스트레인지,스콧 데릭슨,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-10-26,미국,1503,47481830396,5446239,액션,12세이상관람가,일반영화
11,2016,마스터,조의석,영화사 집,,(주)씨제이이엔엠,2016-12-21,한국,1501,39784641065,4935320,액션,15세이상관람가,일반영화
12,2016,주토피아,"바이론 하워드,리치 무어",,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-02-17,미국,661,37077444042,4703245,애니메이션,전체관람가,일반영화
13,2016,신비한 동물사전,데이빗 예이츠,,워너브러더스 코리아(주),워너브러더스 코리아(주),2016-11-16,미국,1431,39300515858,4662534,어드벤처,12세이상관람가,일반영화
14,2016,판도라,박정우,(주)씨에이씨엔터테인먼트,,(주)넥스트엔터테인먼트월드(NEW),2016-12-07,한국,1166,33856670164,4301361,드라마,12세이상관람가,일반영화
15,2016,아가씨,박찬욱,"유한회사 아가씨에프에스,(주)모호필름,(주)용필름",,(주)씨제이이엔엠,2016-06-01,한국,1171,35114332791,4277071,스릴러,청소년관람불가,일반영화
16,2016,쿵푸팬더3,"여인영,알레산드로 칼로니",드림웍스 애니메이션,(주)씨제이이엔엠,(주)씨제이이엔엠,2016-01-28,미국,1365,31340798156,3984812,애니메이션,전체관람가,일반영화
17,2016,귀향,조정래,주식회사 제이오엔터테인먼트코리아,,(주)와우픽쳐스,2016-02-24,한국,876,27245051990,3586523,드라마,15세이상관람가,일반영화
18,2016,데드풀,팀 밀러,,이십세기폭스코리아(주),"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)",2016-02-17,미국,1036,27595618651,3317196,액션,청소년관람불가,일반영화
19,2016,나우 유 씨 미 2,존 추,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2016-07-13,미국,1200,25116690113,3100113,범죄,12세이상관람가,일반영화
20,2016,형,권수경,굿초이스컷픽쳐스(주),,(주)씨제이이엔엠,2016-11-23,한국,993,23113768293,2979659,코미디,12세이상관람가,일반영화
21,2016,엑스맨: 아포칼립스,브라이언 싱어,,이십세기폭스코리아(주),이십세기폭스코리아(주),2016-05-25,미국,1262,24467887950,2938818,액션,12세이상관람가,일반영화
22,2016,미스 페레그린과 이상한 아이들의 집,팀 버튼,,이십세기폭스코리아(주),이십세기폭스코리아(주),2016-09-28,미국,904,21841214586,2718158,미스터리,12세이상관람가,일반영화
23,2016,제이슨 본,폴 그린그래스,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-07-27,미국,827,21253434663,2611966,액션,15세이상관람가,일반영화
24,2016,도리를 찾아서,앤드류 스탠튼,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-07-06,미국,1091,20703899933,2601734,애니메이션,전체관람가,일반영화
25,2016,아수라,김성수,(주)사나이픽처스,,(주)씨제이이엔엠,2016-09-28,한국,1278,20576226662,2594028,범죄,청소년관람불가,일반영화
26,2016,정글북,존 파브로,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-06-09,미국,924,21457807134,2532051,어드벤처,12세이상관람가,일반영화
27,2016,마이펫의 이중생활,크리스 리노드,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-08-03,미국,726,19379904655,2517805,애니메이션,전체관람가,일반영화
28,2016,라라랜드,데이미언 셔젤,,판씨네마(주),판씨네마(주),2016-12-07,미국,727,19993531232,2384782,드라마,12세이상관람가,일반영화
29,2016,배트맨 대 슈퍼맨: 저스티스의 시작,잭 스나이더,,워너브러더스 코리아(주),워너브러더스 코리아(주),2016-03-24,미국,1709,18906246428,2256913,액션,12세이상관람가,일반영화
30,2016,굿바이 싱글,김태곤,"호두앤유 엔터테인먼트(주),(주)영화사람",,(주)쇼박스,2016-06-29,한국,841,16912706195,2108273,코미디,15세이상관람가,일반영화
31,2016,봉이 김선달,박대민,"(주)엠픽처스,(주)에스엔케이픽처스",,(주)씨제이이엔엠,2016-07-06,한국,942,16172133642,2044564,사극,12세이상관람가,일반영화
32,2016,레버넌트: 죽음에서 돌아온 자,알레한드로 곤잘레스 이냐리투,,이십세기폭스코리아(주),이십세기폭스코리아(주),2016-01-14,미국,967,16107288130,2007180,어드벤처,15세이상관람가,일반영화
33,2016,컨저링 2,제임스 완,,워너브러더스 코리아(주),워너브러더스 코리아(주),2016-06-09,미국,635,15737956229,1926201,공포(호러),15세이상관람가,일반영화
34,2016,수어사이드 스쿼드,데이비드 에이어,,워너브러더스 코리아(주),워너브러더스 코리아(주),2016-08-03,미국,823,15873106188,1898121,액션,15세이상관람가,일반영화
35,2016,인디펜던스 데이 : 리써전스,롤랜드 에머리히,,이십세기폭스코리아(주),이십세기폭스코리아(주),2016-06-22,미국,926,12770879840,1500830,액션,12세이상관람가,일반영화
36,2016,탐정 홍길동: 사라진 마을,조성희,(주)영화사비단길,,(주)씨제이이엔엠,2016-05-04,한국,764,11483686845,1426873,드라마,15세이상관람가,일반영화
37,2016,벤허,티무르 베크맘베토브,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2016-09-14,미국,717,11405870395,1399771,어드벤처,12세이상관람가,일반영화
38,2016,굿 다이노,피터 손,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-01-07,미국,814,9753434238,1328394,애니메이션,전체관람가,일반영화
39,2016,셜록: 유령신부,더글라스 맥키넌,,메가박스중앙(주)플러스엠,메가박스중앙(주)플러스엠,2016-01-02,영국,891,9992425049,1278894,범죄,12세이상관람가,일반영화
40,2016,특별수사: 사형수의 편지,권종관,(주)콘텐츠케이,,(주)넥스트엔터테인먼트월드(NEW),2016-06-16,한국,691,9792082065,1225142,범죄,15세이상관람가,일반영화
41,2016,시간이탈자,곽재용,"(주)씨제이이엔엠,상상필름(주)",,(주)씨제이이엔엠,2016-04-13,한국,733,9729882195,1202058,스릴러,15세이상관람가,일반영화
42,2016,동주,이준익,(주) 루스이소니도스,,메가박스중앙(주)플러스엠,2016-02-17,한국,499,8864695589,1168427,드라마,12세이상관람가,일반영화
43,2016,워크래프트: 전쟁의 서막,던칸 존스,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-06-09,미국,736,10140269205,1163120,액션,12세이상관람가,일반영화
44,2016,스타트렉 비욘드,저스틴 린,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2016-08-17,미국,716,10190375820,1157156,액션,12세이상관람가,일반영화
45,2016,미씽: 사라진 여자,이언희,다이스필름(주),,메가박스중앙(주)플러스엠,2016-11-30,한국,790,8881616256,1153109,미스터리,15세이상관람가,일반영화
46,2016,"당신, 거기 있어줄래요",홍지영,(주)수필름,,롯데쇼핑㈜롯데엔터테인먼트,2016-12-14,한국,767,8999085248,1124815,판타지,12세이상관람가,일반영화
47,2016,라이트 아웃,데이비드 F. 샌드버그,,워너브러더스 코리아(주),워너브러더스 코리아(주),2016-08-24,미국,659,8892177975,1111158,공포(호러),15세이상관람가,일반영화
48,2016,오빠생각,이한,(주)조이래빗,,(주)넥스트엔터테인먼트월드(NEW),2016-01-21,한국,855,8058857287,1069436,드라마,12세이상관람가,일반영화
49,2016,씽,가스 제닝스,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-12-21,미국,795,8196285789,1061913,애니메이션,전체관람가,일반영화
50,2016,"날, 보러와요",이철하,"영화사올(주),(주)발렌타인필름",,메가박스중앙(주)플러스엠,2016-04-07,한국,683,8821335063,1061412,미스터리,청소년관람불가,일반영화
51,2016,맨 인 더 다크,페드 알바레즈,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-10-05,미국,671,8445645672,999047,스릴러,청소년관람불가,일반영화
52,2016,"고산자, 대동여지도",강우석,(주)시네마서비스,,(주)씨제이이엔엠,2016-09-07,한국,765,7777473258,971194,사극,전체관람가,일반영화
53,2016,미 비포 유,테아 샤록,,워너브러더스 코리아(주),워너브러더스 코리아(주),2016-06-01,미국,481,7618156490,939658,멜로/로맨스,12세이상관람가,일반영화
54,2016,매그니피센트 7,안톤 후쿠아,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-09-14,미국,579,7633490421,921317,액션,15세이상관람가,일반영화
55,2016,갓 오브 이집트,알렉스 프로야스,,(주)나이너스엔터테인먼트,"(주)시네마서비스,(주)나이너스엔터테인먼트",2016-03-03,미국,618,7610472624,918678,어드벤처,12세이상관람가,일반영화
56,2016,레전드 오브 타잔,데이빗 예이츠,,워너브러더스 코리아(주),워너브러더스 코리아(주),2016-06-29,미국,593,7196970717,858402,액션,12세이상관람가,일반영화
57,2016,좋아해줘,박현진,"리양필름(주),(주)제이케이필름",,(주)씨제이이엔엠,2016-02-17,한국,637,6572774337,848148,멜로/로맨스,12세이상관람가,일반영화
58,2016,브리짓 존스의 베이비,샤론 맥과이어,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-09-28,미국,509,6678585874,820995,코미디,15세이상관람가,일반영화
59,2016,스플릿,최국희,오퍼스픽쳐스(유),,오퍼스픽쳐스(유),2016-11-09,한국,702,6097721539,757430,드라마,15세이상관람가,일반영화
60,2016,런던 해즈 폴른,바박 나자피,,우성엔터테인먼트,메가박스중앙(주)플러스엠,2016-03-10,미국,523,5908203979,731551,액션,15세이상관람가,일반영화
61,2016,국가대표 2,김종현,케이엠컬쳐㈜,,메가박스중앙(주)플러스엠,2016-08-10,한국,562,5424324942,703024,드라마,12세이상관람가,일반영화
62,2016,인페르노,론 하워드,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-10-19,미국,754,5656281303,689071,미스터리,15세이상관람가,일반영화
63,2016,앵그리버드 더 무비,"퍼갈 레일리,클레이 케이티스",,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-05-19,미국,661,5218111744,680606,애니메이션,전체관람가,일반영화
64,2016,그날의 분위기,조규장,영화사 문(주),,(주)쇼박스,2016-01-14,한국,592,5142899612,652453,멜로/로맨스,15세이상관람가,일반영화
65,2016,사냥,이우철,(주)빅스톤픽쳐스,,롯데쇼핑㈜롯데엔터테인먼트,2016-06-29,한국,696,4912658515,645922,액션,15세이상관람가,일반영화
66,2016,널 기다리며,모홍진,"(주)영화사수작,모티브픽쳐스(주),(주)디씨지플러스",,(주)넥스트엔터테인먼트월드(NEW),2016-03-10,한국,551,5232611336,634953,스릴러,청소년관람불가,일반영화
67,2016,설리: 허드슨강의 기적,클린트 이스트우드,,워너브러더스 코리아(주),워너브러더스 코리아(주),2016-09-28,미국,573,5234170754,627102,드라마,12세이상관람가,일반영화
68,2016,잭 리처: 네버 고 백,에드워드 즈윅,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2016-11-30,미국,667,4638072258,611097,액션,15세이상관람가,일반영화
69,2016,로그 원: 스타워즈 스토리,가렛 에드워즈,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2016-12-28,미국,907,5127537094,596487,액션,12세이상관람가,일반영화
70,2016,싱 스트리트,존 카니,,(주)이수C&E,(주)이수C&E,2016-05-19,아일랜드,494,4488377672,560578,드라마,15세이상관람가,독립/예술영화
71,2016,아이스 에이지: 지구 대충돌,마이크 트메이어,,이십세기폭스코리아(주),이십세기폭스코리아(주),2016-07-20,미국,580,4092484600,553760,애니메이션,전체관람가,일반영화
72,2016,메카닉: 리크루트,데니스 간젤,,(유)조이앤시네마,(주)제이앤씨미디어그룹,2016-08-31,미국,320,4458200800,551897,액션,15세이상관람가,일반영화
73,2016,고스트버스터즈,폴 페이그,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-08-25,미국,511,4116292075,515522,액션,12세이상관람가,일반영화
74,2016,거울나라의 앨리스,제임스 보빈,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-09-07,미국,515,4145733267,513202,어드벤처,12세이상관람가,일반영화
75,2016,가려진 시간,엄태화,(주)바른손이앤에이,,(주)쇼박스,2016-11-16,한국,884,3946462400,510878,드라마,12세이상관람가,일반영화
76,2016,명탐정 코난: 순흑의 악몽,시즈노 코분,,(주)씨제이이엔엠,(주)씨제이이엔엠,2016-08-03,일본,447,3754104500,507508,애니메이션,12세이상관람가,일반영화
77,2016,해어화,박흥식,더램프(주),,롯데쇼핑㈜롯데엔터테인먼트,2016-04-13,한국,572,3763852759,485083,사극,15세이상관람가,일반영화
78,2016,계춘할망,창,"지오엔터테인먼트,(주)퍼플켓츠필름,(주)빅스토리픽쳐스",,(주)콘텐츠 난다긴다,2016-05-19,한국,526,3589317348,480987,가족,15세이상관람가,일반영화
79,2016,"로봇, 소리",이호재,"(주)영화사 좋은날,(주)디씨지플러스",,롯데쇼핑㈜롯데엔터테인먼트,2016-01-27,한국,609,3519595560,476665,드라마,12세이상관람가,일반영화
80,2016,빅쇼트,아담 맥케이,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2016-01-21,미국,489,3622268707,446664,드라마,청소년관람불가,일반영화
81,2016,헌츠맨: 윈터스 워,세딕 니콜라스 트로얀,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-04-13,미국,557,3544262706,445009,액션,12세이상관람가,일반영화
82,2016,나를 잊지 말아요,이윤정,(주)더블유 팩토리,,(주)씨제이이엔엠,2016-01-07,한국,559,3398915000,425799,멜로/로맨스,15세이상관람가,일반영화
83,2016,나의 소녀시대,프랭키 첸,,오드,오드,2016-05-12,대만,176,3292020500,406284,멜로/로맨스,15세이상관람가,독립/예술영화
84,2016,언더 워터,자움 콜렛 세라,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-07-13,미국,518,3111772391,384789,공포(호러),15세이상관람가,일반영화
85,2016,클로버필드 10번지,댄 트라첸버그,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2016-04-07,미국,575,2922834655,356976,미스터리,15세이상관람가,일반영화
86,2016,위자: 저주의 시작,마이크 플래너건,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-11-09,미국,467,2637517406,331877,공포(호러),12세이상관람가,일반영화
87,2016,극장판 요괴워치: 염라대왕과 5개의 이야기다냥!,타카하시 시게하루,,(주)씨제이이엔엠,(주)씨제이이엔엠,2016-07-20,일본,403,2466913080,330665,애니메이션,전체관람가,일반영화
88,2016,아기배달부 스토크,"니콜라스 스톨러,더그 스윗랜드",,워너브러더스 코리아(주),워너브러더스 코리아(주),2016-12-07,미국,538,2408673700,318977,애니메이션,전체관람가,일반영화
89,2016,캐롤,토드 헤인즈,,주식회사 더쿱,CGV아트하우스,2016-02-04,미국,221,2608179616,315271,드라마,청소년관람불가,독립/예술영화
90,2016,위대한 소원,남대중,주식회사 브레인샤워,,(주)넥스트엔터테인먼트월드(NEW),2016-04-21,한국,524,2438260213,308180,코미디,15세이상관람가,일반영화
91,2016,스포트라이트,토마스 맥카시,,주식회사 더쿱,(주)팝엔터테인먼트,2016-02-24,미국,320,2390611755,297944,드라마,15세이상관람가,일반영화
92,2016,구스범스,롭 레터맨,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-01-14,미국,515,2221639712,297356,액션,12세이상관람가,일반영화
93,2016,포인트 브레이크,에릭슨 코어,,(주)나이너스엔터테인먼트,"(주)시네마서비스,(주)나이너스엔터테인먼트",2016-01-07,미국,409,2323707051,294320,범죄,15세이상관람가,일반영화
94,2016,앨빈과 슈퍼밴드: 악동 어드벤처,월트 벡커,,이십세기폭스코리아(주),이십세기폭스코리아(주),2016-02-04,미국,380,2101036200,289645,애니메이션,전체관람가,일반영화
95,2016,혼숨,이두환,(주)무비스퀘어,,(주)프레인글로벌,2016-10-26,한국,498,2258422445,288016,공포(호러),15세이상관람가,일반영화
96,2016,극장판 안녕 자두야,손석우,"아툰즈,(주)씨제이이엔엠",,(주)씨제이이엔엠,2016-05-04,한국,523,2124832300,278914,애니메이션,전체관람가,일반영화
97,2016,비밀은 없다,이경미,"(주)영화사거미,필름트레인",,(주)씨제이이엔엠,2016-06-23,한국,502,2027801239,250650,스릴러,청소년관람불가,일반영화
98,2016,닌자터틀 : 어둠의 히어로,데이브 그린,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2016-06-16,미국,517,1934052000,235207,액션,12세이상관람가,일반영화
99,2016,드림 쏭,애쉬 브래넌,,(주)시네마리퍼블릭,(주)이수C&E,2016-09-14,미국,399,1817437700,233283,애니메이션,전체관람가,독립/예술영화
100,2016,순정,이은희,(주)주피터필름,,(주)리틀빅픽쳐스,2016-02-24,한국,467,1643792033,229059,드라마,12세이상관람가,일반영화
101,2016,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,유야마 쿠니히코,,(주)포켓몬코리아,(주)이수C&E,2016-12-22,일본,480,1666637400,219047,애니메이션,전체관람가,일반영화
102,2016,원피스 필름 골드,미야모토 히로아키,,(주)씨제이이엔엠,(주)씨제이이엔엠,2016-12-08,일본,445,1697073100,215159,애니메이션,12세이상관람가,일반영화
103,2016,독수리 에디,덱스터 플레처,,이십세기폭스코리아(주),이십세기폭스코리아(주),2016-04-07,미국,528,1699642120,214003,드라마,12세이상관람가,일반영화
104,2016,아이 엠 어 히어로,사토 신스케,,(주)영화사 빅,(주)영화사 빅,2016-09-21,일본,263,1806714900,212599,액션,청소년관람불가,독립/예술영화
105,2016,남과 여,이윤기,(주)영화사봄,,(주)쇼박스,2016-02-25,한국,449,1651122533,203775,멜로/로맨스,청소년관람불가,일반영화
106,2016,짱구는 못말려 극장판: 나의 이사 이야기 선인장 대습격,하시모토 마사카즈,,대원미디어(주),(주)넥스트엔터테인먼트월드(NEW),2016-01-07,일본,350,1472866700,202538,애니메이션,전체관람가,일반영화
107,2016,"무현, 두 도시 이야기",전인환,"<무현, 두 도시 이야기> 제작위원회 ,엠앤씨에프",,(주)모멘텀엔터테인먼트,2016-10-26,한국,66,1511430600,192668,다큐멘터리,15세이상관람가,독립/예술영화
108,2016,글로리데이,최정열,(주)보리픽쳐스,,(주)엣나인필름,2016-03-24,한국,494,1484010868,189047,드라마,15세이상관람가,독립/예술영화
109,2016,부활,케빈 레이놀즈,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-03-17,미국,120,1240599600,175146,드라마,12세이상관람가,일반영화
110,2016,조이,데이빗 O. 러셀,,이십세기폭스코리아(주),이십세기폭스코리아(주),2016-03-10,미국,405,1372216200,171577,코미디,12세이상관람가,일반영화
111,2016,대배우,석민우,주식회사 영화사다,,"(주)대명문화공장,(주)리틀빅픽쳐스",2016-03-30,한국,474,1245426228,169855,코미디,12세이상관람가,일반영화
112,2016,매직브러시,쯔씽 쫑,,(주)영화사 빅,(주)영화사 빅,2016-05-04,중국,460,1269463800,169257,애니메이션,전체관람가,독립/예술영화
113,2016,빅,트레버 월,,(주)누리픽쳐스,(주)이수C&E,2016-07-27,미국,332,1174196720,160860,애니메이션,전체관람가,독립/예술영화
114,2016,달빛궁궐,김현주,"스튜디오홀호리(주),(주)콘텐츠판다",,(주)넥스트엔터테인먼트월드(NEW),2016-09-07,한국,425,1134639700,151360,애니메이션,전체관람가,일반영화
115,2016,미스컨덕트,시모사와 신타로,,㈜코리아스크린,"(주)박수엔터테인먼트,㈜코리아스크린",2016-03-30,미국,470,1133511038,148512,범죄,15세이상관람가,일반영화
116,2016,서울역,연상호,"주식회사 다다쇼,(주)화인컷",,(주)넥스트엔터테인먼트월드(NEW),2016-08-17,한국,440,1157200562,146548,애니메이션,15세이상관람가,독립/예술영화
117,2016,13시간,마이클 베이,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2016-03-03,미국,380,1160889514,144827,액션,15세이상관람가,일반영화
118,2016,장난감이 살아있다,후안 호세 캄파넬라,,㈜코리아스크린,"㈜코리아스크린,와이드 릴리즈(주)",2016-09-07,아르헨티나,294,1109230600,142577,애니메이션,전체관람가,독립/예술영화
119,2016,극장판 아이엠스타 : 꿈의 오디션!,키무라 류이치,,(주)씨제이이엔엠,(주)씨제이이엔엠,2016-02-11,일본,254,1045638100,141025,애니메이션,전체관람가,일반영화
120,2016,플로렌스,스티븐 프리어스,,(주)누리픽쳐스,(주)이수C&E,2016-08-24,영국,382,1079970100,139717,드라마,15세이상관람가,독립/예술영화
121,2016,제 5침공,J 블레이크슨,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-02-25,미국,312,1041049900,135874,액션,12세이상관람가,일반영화
