순번,개봉연도,영화명,감독,제작사,수입사,배급사,개봉일,국적,전국스크린수,전국매출액,전국관객수,장르,등급,영화구분
122,2016,극장판 꼬마버스 타요의 에이스 구출작전,류정우,"(주)아이코닉스,(주)스튜디오게일",,(주)아이코닉스,2016-01-21,한국,200,905899900,135398,애니메이션,전체관람가,일반영화
123,2016,로빈슨 크루소,"벤 스타센,빈센트 케스텔루트",,(유)조이앤시네마,(주)영화사 빅,2016-09-07,벨기에,329,1038675400,135094,애니메이션,전체관람가,독립/예술영화
124,2016,대니쉬 걸,톰 후퍼,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-02-17,미국,246,1074763884,134029,드라마,청소년관람불가,독립/예술영화
125,2016,자백,최승호,한국탐사저널리즘센터,,(주)엣나인필름,2016-10-13,한국,152,1033168200,129774,다큐멘터리,15세이상관람가,독립/예술영화
126,2016,카페 소사이어티,우디 앨런,,찬란,"찬란,CGV아트하우스",2016-09-14,미국,199,1047223666,126439,멜로/로맨스,15세이상관람가,독립/예술영화
127,2016,마이 리틀 자이언트,스티븐 스필버그,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-08-10,미국,128,991375900,125800,어드벤처,전체관람가,일반영화
128,2016,헤이트풀8,쿠엔틴 타란티노,,(주)누리픽쳐스,(주)누리픽쳐스,2016-01-07,미국,167,996168400,120352,액션,청소년관람불가,독립/예술영화
129,2016,죽여주는 여자,이재용,"한국영화아카데미,주식회사 뭉클픽쳐스",,CGV아트하우스,2016-10-06,한국,317,872397300,119964,드라마,청소년관람불가,독립/예술영화
130,2016,감바의 대모험,"카와무라 토모히로,코모리 요시히로",,(주)영화사 빅,(주)영화사 빅,2016-11-10,일본,400,873677700,117362,애니메이션,전체관람가,독립/예술영화
131,2016,최강전사 미니특공대: 영웅의 탄생,이영준,(주)삼지애니메이션,,(주)삼지애니메이션,2016-02-04,한국,349,866704200,115704,애니메이션,전체관람가,일반영화
132,2016,다이노소어 어드벤처 : 백악기 공룡대백과,"닐 나이팅게일,베리 쿡,앤드류 코헨",,(주)박수엔터테인먼트,"(주)박수엔터테인먼트,(주)애니플러스",2016-05-04,영국,325,852443000,112076,애니메이션,전체관람가,독립/예술영화
133,2016,피터와 드래곤,데이빗 로워리,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-09-28,미국,167,865600600,109137,어드벤처,전체관람가,일반영화
134,2016,킹 오브 프리즘 (바이 프리티 리듬),히시다 마사카즈,,동우에이앤이(주),(주)박수엔터테인먼트,2016-08-11,일본,53,859771500,103852,애니메이션,12세이상관람가,일반영화
135,2016,다이버전트 시리즈: 얼리전트,로베르트 슈벤트케,,(유)조이앤시네마,(주)키다리이엔티,2016-05-12,미국,393,818883545,103554,액션,12세이상관람가,일반영화
136,2016,바스티유 데이,제임스 왓킨스,,(주)더블앤조이픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,2016-10-13,미국,422,764700600,96305,액션,15세이상관람가,일반영화
137,2016,걷기왕,백승화,㈜인디스토리,,CGV아트하우스,2016-10-20,한국,462,710905075,95542,드라마,12세이상관람가,일반영화
138,2016,무서운 이야기 3 : 화성에서 온 소녀,"백승빈,김선,김곡,민규동",(주)수필름,,롯데쇼핑㈜롯데엔터테인먼트,2016-06-01,한국,317,764967500,95415,공포(호러),15세이상관람가,일반영화
139,2016,일사각오,"권혁만,고문안",KBS,,파이오니아21,2016-03-17,한국,51,682581500,94767,드라마,12세이상관람가,일반영화
140,2016,나의 산티아고,줄리아 폰 하인츠,,(주)영화사 진진,(주)영화사 진진,2016-07-14,독일,88,721244232,94243,코미디,12세이상관람가,독립/예술영화
141,2016,태풍이 지나가고,고레에다 히로카즈,,(주)티캐스트,(주)티캐스트,2016-07-27,일본,72,772484972,93005,드라마,12세이상관람가,독립/예술영화
142,2016,본 투 비 블루,로버트 뷔드로,,그린나래미디어(주),그린나래미디어(주),2016-06-09,캐나다,147,755724082,92729,드라마,청소년관람불가,독립/예술영화
143,2016,크리미널,아리엘 브로멘,,(유)조이앤시네마,(주)영화사 빅,2016-06-22,영국,351,738985181,92358,액션,15세이상관람가,독립/예술영화
144,2016,루돌프와 많이있어,"유야마 쿠니히코,사카키바라 모토노리",,(주)씨제이이엔엠,(주)씨제이이엔엠,2016-12-28,일본,375,682883600,89510,애니메이션,전체관람가,일반영화
145,2016,오베라는 남자,하네스 홀름,,(주)싸이더스,"(주)싸이더스,(주)디스테이션",2016-05-25,스웨덴,255,711736888,89103,드라마,12세이상관람가,독립/예술영화
146,2016,슈퍼 프렌즈,"이경호,이원재",㈜디지아트프로덕션,,(주)키다리이엔티,2016-08-10,한국,255,633274600,86293,애니메이션,전체관람가,독립/예술영화
