,순번,개봉연도,영화명,감독,배급사,개봉일,국적,전국스크린수,전국매출액,전국관객수,장르,등급,영화구분
159,160,2014,극장판 가면라이더 VS 파워레인저 슈퍼히어로 대전,가네다 오사무,롯데쇼핑㈜롯데엔터테인먼트,2014-01-23,일본,183,405278000,59611,액션,전체관람가,일반영화
160,161,2014,5일의 마중,장예모,찬란,2014-10-08,중국,86,403047100,53753,멜로/로맨스,전체관람가,독립/예술영화
161,162,2014,다이애나,올리버 히르비겔,(주)영화사 빅,2014-03-06,영국,279,402756100,56872,드라마,15세이상관람가,일반영화
162,163,2014,내가 잠들기 전에,로완 조페,(주)영화사 진진,2014-10-30,영국,197,390872600,50098,미스터리,청소년관람불가,독립/예술영화
163,164,2014,"가장 따뜻한 색, 블루",압델라티프 케시시,판씨네마(주),2014-01-16,프랑스,39,380280200,49374,드라마,청소년관람불가,독립/예술영화
164,165,2014,족구왕,우문기,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),2014-08-21,한국,58,359336000,45649,코미디,15세이상관람가,독립/예술영화
165,166,2014,내 연애의 기억,이권,주식회사 디에스이이디,2014-08-20,한국,182,358863117,46775,멜로/로맨스,청소년관람불가,독립/예술영화
166,167,2014,베스트 오퍼,쥬세페 토르나토레,(주)박수엔터테인먼트,2014-06-12,이탈리아,175,355182700,46282,미스터리,15세이상관람가,독립/예술영화
167,168,2014,설계,박창진,(주)팝엔터테인먼트,2014-09-18,한국,257,347188800,45638,스릴러,청소년관람불가,일반영화
168,169,2014,빌리 엘리어트 뮤지컬 라이브,스티븐 달드리,유니버설픽쳐스인터내셔널 코리아(유),2014-11-27,미국,37,341114000,18615,뮤지컬,전체관람가,일반영화
169,170,2014,나쁜 이웃들,니콜라스 스톨러,유니버설픽쳐스인터내셔널 코리아(유),2014-07-03,미국,129,335244700,41301,코미디,청소년관람불가,일반영화
170,171,2014,어네스트와 셀레스틴,"스테판 오비에,뱅상 파타,벤자민 레너",씨너스엔터테인먼트(주),2014-02-20,프랑스,202,328922100,48710,애니메이션,전체관람가,독립/예술영화
171,172,2014,그레이트 뷰티,파올로 소렌티노,(주)영화사 진진,2014-06-12,이탈리아,51,326252373,42274,드라마,청소년관람불가,독립/예술영화
172,173,2014,울브스,데이비드 헤이터,(주)프레인글로벌,2014-11-13,미국,291,313204669,43613,판타지,15세이상관람가,일반영화
173,174,2014,부니 베어: 롤라 구출 대모험,정량,(주)박수엔터테인먼트,2014-11-20,중국,196,309876900,45250,애니메이션,전체관람가,독립/예술영화
174,175,2014,개를 훔치는 완벽한 방법,김성호,"(주)리틀빅픽쳐스,(주)대명문화공장",2014-12-31,한국,205,308655900,42892,드라마,전체관람가,독립/예술영화
175,176,2014,자유의 언덕,홍상수,"(주)영화제작전원사 ,(주)영화사 조제",2014-09-04,한국,46,301956827,37300,드라마,청소년관람불가,독립/예술영화
