순번,개봉연도,네이버ID,씨네21ID,왓챠ID,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국 관객수,서울매출액,서울관객수,장르,등급,영화구분
138,2019,101966,54019,m5XV8LO,토이 스토리 4,조시 쿨리,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019.6.20,개봉영화,장편,미국,"1,336","28,757,726,040","3,399,913","9,071,405,870","1,009,214",애니메이션,전체관람가,일반영화
139,2019,182205,54181,m5Zlv8K,가장 보통의 연애,김한결,영화사 집,,(주)넥스트엔터테인먼트월드(NEW),2019.10.2,개봉영화,장편,한국,"1,073","24,822,316,930","2,917,213","6,614,922,790","753,953",멜로/로맨스,15세이상관람가,일반영화
140,2019,167699,54047,mdjwRKw,말모이,엄유나,더램프(주),,롯데컬처웍스(주)롯데엔터테인먼트,2019.1.9,개봉영화,장편,한국,"1,203","23,682,638,520","2,812,444","5,900,912,990","681,266",드라마,12세이상관람가,일반영화
141,2019,183876,54477,mOVPvvB,시동,최정열,(주)외유내강,,(주)넥스트엔터테인먼트월드(NEW),2019.12.18,개봉영화,장편,한국,"1,515","21,236,477,800","2,525,986","4,648,048,780","536,034",드라마,15세이상관람가,일반영화
142,2019,189053,55362,mdj2axJ,블랙머니,정지영,"유한회사 질라라비,(주)아우라픽처스",,(주)에이스메이커무비웍스,2019.11.13,개봉영화,장편,한국,"1,117","20,744,296,510","2,464,978","5,030,225,390","578,800",범죄,12세이상관람가,일반영화
143,2019,177374,54144,mdjwR8l,증인,이한,"(주)무비락,(주)도서관옆스튜디오",,롯데컬처웍스(주)롯데엔터테인먼트,2019.2.13,개봉영화,장편,한국,"1,047","20,312,348,931","2,516,128","4,478,036,341","547,326",드라마,12세이상관람가,일반영화
144,2019,167605,54815,m5Q9ZMR,터미네이터: 다크 페이트,팀 밀러,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2019.10.30,개봉영화,장편,미국,"1,315","20,153,895,830","2,409,062","5,463,141,420","622,505",액션,15세이상관람가,일반영화
145,2019,167099,52267,mOAZGJQ,사바하,장재현,"(주)외유내강,(주)필름케이",,(주)씨제이이엔엠,2019.2.20,개봉영화,장편,한국,"1,174","20,002,183,194","2,397,792","5,593,443,364","654,182",미스터리,15세이상관람가,일반영화
146,2019,96951,54158,m5rwLXm,타짜: 원 아이드 잭,권오광,"(주)싸이더스,(주)엠씨엠씨,(주)비에이엔터테인먼트",,롯데컬처웍스(주)롯데엔터테인먼트,2019.9.11,개봉영화,장편,한국,"1,429","19,673,441,214","2,227,671","4,585,277,834","513,548",범죄,청소년관람불가,일반영화
147,2019,66728,52300,mOgoNMO,알리타: 배틀 엔젤,로버트 로드리게즈,,이십세기폭스코리아(주),"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)",2019.2.5,개봉영화,장편,미국,"1,043","18,527,661,667","1,949,372","5,508,845,197","540,123",액션,12세이상관람가,일반영화
148,2019,179159,53448,mObBeZz,신의 한 수: 귀수편,리건,"(주)메이스엔터테인먼트,(주)아지트필름",,(주)씨제이이엔엠,2019.11.7,개봉영화,장편,한국,"1,246","18,390,955,050","2,146,764","4,084,690,170","463,426",범죄,15세이상관람가,일반영화
149,2019,164172,51955,mOVvP6Y,내안의 그놈,강효진,"(주)에코필름,(주)전망좋은 영화사",,"(주)메리크리스마스,TCO(주)더콘텐츠온",2019.1.9,개봉영화,장편,한국,"1,041","16,293,580,567","1,901,684","3,159,829,257","357,691",판타지,15세이상관람가,일반영화
150,2019,180351,54976,mOgKbaY,변신,김홍선,(주)다나크리에이티브,,(주)에이스메이커무비웍스,2019.8.21,개봉영화,장편,한국,975,"15,417,922,925","1,804,112","3,329,066,895","375,676",공포(호러),15세이상관람가,일반영화
